id,element_type,minutes,non_penalty_expected_goal_involvements,expected_assists,defensive_contribution,now_cost
1,1,3330,0.08,0.08,94,6.2
2,1,90,0.0,0.0,0,4.0
4,1,0,0.0,0.0,0,3.9
5,2,2751,4.78,1.84,292,7.3
6,2,2615,2.25,1.4,224,6.3
7,2,1707,4.09,0.76,141,5.6
8,2,2457,6.040000000000001,1.6,178,6.0
10,2,698,0.31,0.2,32,5.0
11,2,704,1.03,0.6900000000000001,53,5.1
12,2,353,0.43,0.36,36,4.9
16,3,2225,13.69,7.14,184,10.0
17,3,1370,4.890000000000001,3.64,102,7.8
18,3,1217,4.12,2.85,70,6.8
19,3,1073,5.1899999999999995,1.27,77,6.8
20,3,2006,9.010000000000002,3.5700000000000003,133,6.6
21,3,3099,10.01,7.0,376,7.2
22,3,1027,4.87,1.44,113,5.3
24,3,101,0.12,0.04,16,5.1
25,3,165,0.31,0.08,13,5.0
26,3,2450,4.73,2.07,246,4.9
27,3,118,0.83,0.12,23,4.8
30,4,583,3.95,0.64,32,7.3
31,4,421,2.99,0.26,30,6.4
32,1,2115,0.05,0.05,78,5.0
33,1,585,0.0,0.0,10,4.2
36,2,3020,4.210000000000001,3.0900000000000003,209,4.6
37,2,1852,3.9800000000000004,3.2800000000000002,137,4.5
38,2,3036,1.8399999999999999,0.59,222,4.4
39,2,1599,3.6900000000000004,2.39,140,4.2
40,2,1323,1.7399999999999998,0.42,123,4.3
41,2,1676,1.65,0.39,139,4.3
42,2,83,0.01,0.01,10,3.9
44,2,1047,0.2,0.2,69,4.0
47,3,3285,10.559999999999999,4.29,230,7.3
48,3,1862,4.48,3.33,203,5.9
49,3,452,1.9600000000000002,1.4600000000000002,48,5.5
50,3,1295,4.29,1.55,140,5.3
52,3,1444,2.6399999999999997,1.44,149,5.3
53,3,645,4.359999999999999,0.34,16,5.1
54,3,2157,6.78,3.81,150,5.3
55,3,852,2.85,1.33,74,4.8
58,3,1418,1.33,0.8300000000000001,149,4.9
59,3,1764,2.4,0.68,219,4.8
62,3,8,0.0,0.0,1,4.5
64,4,2852,16.51,1.26,94,8.7
67,1,3420,0.0,0.0,98,4.6
68,1,0,0.0,0.0,0,4.0
72,2,3290,6.21,4.62,462,5.2
73,2,1076,0.23,0.23,73,4.4
74,2,3380,4.35,3.0,351,4.8
77,2,2104,2.04,1.1600000000000001,269,4.2
80,2,34,0.0,0.0,1,3.9
81,3,951,4.03,1.7,65,6.9
82,3,3200,12.63,3.14,236,8.0
83,3,2279,11.84,4.15,185,5.6
84,3,2738,12.12,4.6,251,5.3
85,3,1778,1.21,0.6,232,4.9
86,3,1199,9.030000000000001,3.25,94,5.0
87,3,986,2.72,0.81,123,4.9
88,3,872,0.5900000000000001,0.52,143,4.9
90,3,2859,6.67,2.89,386,4.9
93,3,16,0.0,0.0,4,4.5
96,3,6,0.0,0.0,0,4.5
97,4,2759,12.03,1.44,135,6.6
98,4,214,2.07,0.07,23,5.4
100,4,1064,5.55,0.71,79,4.7
101,1,3330,0.21,0.21,95,4.8
102,1,0,0.0,0.0,0,3.9
105,1,90,0.0,0.0,0,3.8
106,2,2972,3.8200000000000003,1.56,351,4.9
107,2,1968,5.53,2.5,93,4.8
108,2,1807,1.49,0.73,199,4.4
109,2,1328,0.72,0.54,78,4.3
110,2,3264,3.99,2.81,264,4.6
111,2,321,0.07,0.060000000000000005,46,4.2
113,2,2761,4.56,1.45,302,4.4
116,2,685,0.5700000000000001,0.12,58,4.0
119,3,2621,17.12,5.12,139,8.3
120,3,2757,13.420000000000002,2.0500000000000003,190,6.8
121,3,2057,8.030000000000001,5.42,241,5.6
122,3,45,0.01,0.01,4,5.2
123,3,100,0.7300000000000001,0.03,8,4.6
124,3,1922,2.79,2.46,183,5.0
125,3,1437,3.17,2.27,183,4.9
126,3,2252,8.29,6.03,220,4.9
128,3,88,0.36,0.36,10,4.8
129,3,2665,2.6100000000000003,1.3900000000000001,338,5.0
130,3,38,0.09999999999999999,0.01,5,4.4
133,3,1,0.0,0.0,0,4.4
135,4,521,3.5500000000000003,0.54,22,7.3
136,4,3284,15.34,1.8800000000000001,214,7.2
138,1,0,0.0,0.0,0,4.2
139,1,3420,0.07,0.07,102,4.6
143,2,800,0.51,0.47000000000000003,78,4.2
144,2,194,0.01,0.01,19,4.2
145,2,1414,5.92,4.1,88,4.3
146,2,2837,2.23,0.55,273,4.5
148,2,3134,5.33,3.3200000000000003,200,4.5
149,2,103,0.0,0.0,13,4.5
151,2,3211,4.89,1.59,347,4.7
152,2,1050,1.3,0.2,111,4.3
157,3,1721,6.89,2.84,107,6.1
158,3,1790,5.87,2.9,131,5.6
159,3,38,0.06,0.02,5,5.8
160,3,2398,8.93,5.11,185,5.5
162,3,715,2.6,0.8700000000000001,58,5.4
163,3,1750,7.26,2.33,114,5.2
164,3,203,0.59,0.17,10,5.5
166,3,1924,3.8600000000000003,1.1500000000000001,225,4.8
167,3,1662,1.48,0.72,209,4.5
168,3,81,0.34,0.28,6,4.6
169,3,1689,5.97,1.25,177,4.9
170,3,778,0.8700000000000001,0.6300000000000001,80,4.9
172,3,57,0.07,0.03,5,4.8
173,3,1908,3.79,1.86,269,4.8
175,3,1,0.0,0.0,0,4.4
178,4,2263,11.450000000000001,1.3900000000000001,112,6.3
180,4,133,0.5700000000000001,0.11,15,5.2
181,4,353,2.69,0.54,41,4.8
182,1,360,0.0,0.0,41,4.5
183,1,270,0.0,0.0,0,4.2
186,2,0,0.0,0.0,0,4.3
187,2,3097,1.44,1.29,265,4.4
190,2,1539,0.52,0.27,188,3.8
191,2,2937,1.27,0.61,360,3.8
192,2,1830,2.32,1.98,173,4.0
193,2,1578,1.1,0.6799999999999999,141,3.9
195,2,1406,2.06,1.46,93,3.8
197,2,165,0.72,0.08,10,3.8
198,2,1202,0.74,0.13,129,3.9
199,2,497,0.1,0.02,77,3.8
200,3,2735,7.96,2.84,232,5.0
202,3,1023,2.63,1.18,63,5.2
205,3,1519,2.25,1.36,173,4.9
206,3,1064,3.2199999999999998,1.75,67,4.7
207,3,1231,2.98,2.08,111,4.7
209,3,1759,1.35,0.48,186,4.8
210,3,1270,2.12,0.91,69,4.8
213,3,9,0.0,0.0,0,4.5
214,3,19,0.0,0.0,2,4.3
215,4,1776,6.71,0.42,99,5.3
216,4,69,0.26,0.02,1,4.8
217,4,1372,3.74,0.47,85,4.9
218,4,40,0.29,0.04,2,4.2
220,1,3041,0.04,0.04,89,4.8
221,1,378,0.0,0.0,7,4.3
223,1,0,0.0,0.0,0,3.8
224,2,2710,5.54,3.2,219,6.1
