player_code,understat_player_id,name_fpl,name_understat,team,match_method,confidence,verified
119471,76,Schär,Fabian Schär,Newcastle,exact_name_team,1.0,True
180974,87,Joelinton,Joelinton,Newcastle,exact_name_team,1.0,True
80201,181,Leno,Bernd Leno,Fulham,exact_name_team,1.0,True
84450,204,Xhaka,Granit Xhaka,Sunderland,exact_name_team,1.0,True
60307,239,Groß,Pascal Groß,Brighton,exact_name_team,1.0,True
153133,500,Iwobi,Alex Iwobi,Fulham,exact_name_team,1.0,True
88894,592,Barkley,Ross Barkley,Aston Villa,exact_name_team,1.0,True
115556,660,Davies,Ben Davies,Tottenham,exact_name_team,1.0,True
173879,702,Abraham,Tammy Abraham,Aston Villa,exact_name_team,1.0,True
159506,725,Aina,Ola Aina,Nott'm Forest,exact_name_team,1.0,True
111234,741,Pickford,Jordan Pickford,Everton,exact_name_team,1.0,True
54469,825,Smith,Adam Smith,Bournemouth,exact_name_team,1.0,True
97032,833,Virgil,Virgil van Dijk,Liverpool,exact_name_team,1.0,True
155503,852,Woodman,Freddie Woodman,Liverpool,exact_name_team,1.0,True
153366,910,Reed,Harrison Reed,Fulham,exact_name_team,1.0,True
106760,1006,Shaw,Luke Shaw,Man United,exact_name_team,1.0,True
149484,1024,Mings,Tyrone Mings,Aston Villa,exact_name_team,1.0,True
204936,1116,Donnarumma,Gianluigi Donnarumma,Man City,exact_name_team,1.0,True
141746,1228,B.Fernandes,Bruno Fernandes,Man United,exact_name_team,1.0,True
223541,1433,Chiesa,Federico Chiesa,Liverpool,exact_name_team,1.0,True
106611,1653,Keane,Michael Keane,Everton,exact_name_team,1.0,True
17761,1665,Tarkowski,James Tarkowski,Everton,exact_name_team,1.0,True
95658,1687,Maguire,Harry Maguire,Man United,exact_name_team,1.0,True
105717,1760,Masuaku,Arthur Masuaku,Sunderland,exact_name_team,1.0,True
155408,1789,Cook,Lewis Cook,Bournemouth,exact_name_team,1.0,True
101188,1823,Digne,Lucas Digne,Aston Villa,exact_name_team,1.0,True
152551,2182,Lerma,Jefferson Lerma,Crystal Palace,exact_name_team,1.0,True
195546,2203,Buendía,Emiliano Buendía,Aston Villa,exact_name_team,1.0,True
91651,2254,Kovačić,Mateo Kovacic,Man City,exact_name_team,1.0,True
184029,2517,Ødegaard,Martin Odegaard,Arsenal,exact_name_team,1.0,True
204120,3645,Boscagli,Olivier Boscagli,Brighton,exact_name_team,1.0,True
98980,4401,Martinez,Emiliano Martinez,Aston Villa,exact_name_team,1.0,True
60689,4456,Wood,Chris Wood,Nott'm Forest,exact_name_team,1.0,True
219847,5220,Havertz,Kai Havertz,Arsenal,exact_name_team,1.0,True
215711,5221,Bailey,Leon Bailey,Aston Villa,exact_name_team,1.0,True
219168,5232,Isak,Alexander Isak,Liverpool,exact_name_team,1.0,True
135720,5261,Danso,Kevin Danso,Tottenham,exact_name_team,1.0,True
195384,5304,Merino,Mikel Merino,Arsenal,exact_name_team,1.0,True
205651,5543,G.Jesus,Gabriel Jesus,Arsenal,exact_name_team,1.0,True
98747,5552,Pope,Nick Pope,Newcastle,exact_name_team,1.0,True
204480,5553,Rice,Declan Rice,Arsenal,exact_name_team,1.0,True
177815,5555,Calvert-Lewin,Dominic Calvert-Lewin,Leeds,exact_name_team,1.0,True
109646,5590,Tosin,Tosin Adarabioyo,Chelsea,exact_name_team,1.0,True
200617,5595,James,Daniel James,Leeds,exact_name_team,1.0,True
226597,5613,Gabriel,Gabriel,Arsenal,exact_name_team,1.0,True
121709,5652,Benitez,Walter Benítez,Crystal Palace,exact_name_team,1.0,True
200834,5659,Mukiele,Nordi Mukiele,Sunderland,exact_name_team,1.0,True
232185,5675,Sarr,Ismaila Sarr,Crystal Palace,exact_name_team,1.0,True
210462,5722,Sangaré,Ibrahim Sangare,Nott'm Forest,exact_name_team,1.0,True
231747,5735,Mateta,Jean-Philippe Mateta,Crystal Palace,exact_name_team,1.0,True
216646,5786,Wissa,Yoane Wissa,Newcastle,exact_name_team,1.0,True
226944,5789,Kamara,Boubacar Kamara,Aston Villa,exact_name_team,1.0,True
167074,5973,Tete,Kenny Tete,Fulham,exact_name_team,1.0,True
212319,6026,Richarlison,Richarlison,Tottenham,exact_name_team,1.0,True
83299,6048,Dunk,Lewis Dunk,Brighton,exact_name_team,1.0,True
209244,6055,Foden,Phil Foden,Man City,exact_name_team,1.0,True
114243,6063,J.Murphy,Jacob Murphy,Newcastle,exact_name_team,1.0,True
184667,6080,Lindelöf,Victor Lindelöf,Aston Villa,exact_name_team,1.0,True
108413,6104,Hughes,Will Hughes,Crystal Palace,exact_name_team,1.0,True
202993,6108,Bentancur,Rodrigo Bentancur,Tottenham,exact_name_team,1.0,True
209400,6145,Kamada,Daichi Kamada,Crystal Palace,exact_name_team,1.0,True
166477,6157,Castagne,Timothy Castagne,Fulham,exact_name_team,1.0,True
227444,6174,Milenković,Nikola Milenkovic,Nott'm Forest,exact_name_team,1.0,True
168636,6219,Enes Ünal,Enes Ünal,Bournemouth,exact_name_team,1.0,True
244954,6221,Pau,Pau Torres,Aston Villa,exact_name_team,1.0,True
