player_code,role,n_role,n_apps
17761,CB,37,37
54469,FB,11,11
57328,FB,6,6
58621,FB,34,34
77794,FB,18,18
78916,CB,24,24
83299,CB,31,31
87835,CB,8,8
95658,CB,19,19
97032,CB,37,37
101188,FB,19,19
106611,CB,29,29
106760,FB,37,37
109646,CB,7,7
111478,CB,9,9
119471,CB,11,11
122798,FB,9,9
126184,CB,7,7
135720,CB,15,15
149484,CB,14,14
158534,FB,14,14
159506,FB,18,18
166477,FB,19,19
167074,FB,19,19
167512,CB,6,6
169528,FB,16,16
171287,FB,5,5
171314,CB,21,21
174874,CB,31,31
179268,FB,29,29
180736,CB,30,30
180804,CB,13,13
184667,FB,10,10
191866,CB,19,19
194010,FB,13,13
198869,FB,7,7
199796,FB,33,33
199798,FB,34,34
200834,CB,31,31
201895,CB,31,31
204120,FB,8,8
204716,CB,33,33
208912,CB,4,4
209036,CB,35,35
209365,CB,13,13
214048,CB,17,17
214225,CB,32,32
214590,FB,23,23
215136,FB,34,34
216051,FB,28,28
216094,FB,9,9
219924,CB,8,8
220237,CB,20,20
220627,CB,20,20
221466,CB,37,37
221632,CB,20,20
221820,FB,12,12
222694,CB,32,32
223827,CB,22,22
224967,FB,33,33
225796,FB,19,19
226182,FB,31,31
226597,CB,30,30
227444,CB,37,37
230001,CB,10,10
231416,FB,35,35
231480,CB,27,27
232859,FB,22,22
232892,CB,28,28
233963,CB,27,27
242880,CB,3,3
242882,CB,13,13
243526,FB,28,28
244723,FB,35,35
244954,CB,18,18
246301,CB,10,10
247348,FB,20,20
247955,FB,17,17
249231,FB,21,21
427623,CB,31,31
431248,CB,21,21
432830,CB,32,32
434399,CB,21,21
434752,CB,21,21
437499,CB,34,34
441164,FB,31,31
441191,FB,14,14
441302,FB,17,17
444463,CB,18,18
444765,CB,30,30
445122,FB,26,26
448104,CB,18,18
448514,FB,10,10
461188,CB,18,18
462116,CB,19,19
462424,CB,28,28
463981,CB,23,23
465351,FB,30,30
465642,CB,32,32
465730,FB,12,12
466075,CB,19,19
469142,CB,36,36
472713,FB,7,7
472769,FB,28,28
477424,CB,14,14
477717,CB,33,33
478969,CB,17,17
480455,CB,7,7
482609,FB,23,23
483081,FB,7,7
485047,CB,14,14
487053,FB,13,13
487676,FB,32,32
487838,FB,23,23
490721,FB,24,24
491279,CB,33,33
492777,FB,9,9
493125,CB,5,5
494521,FB,38,38
494960,FB,21,21
497949,FB,9,9
499169,FB,5,5
500040,CB,8,8
500151,FB,10,10
501837,CB,24,24
510362,CB,15,15
512462,CB,36,36
515597,FB,10,10
515621,CB,6,6
516939,CB,11,11
523705,FB,16,16
536109,FB,7,7
544877,FB,22,22
549329,FB,14,14
550864,CB,17,17
551210,FB,10,10
551483,FB,20,20
575458,CB,4,4
575476,CB,23,23
577016,FB,7,7
578153,FB,14,14
596777,FB,14,14
606745,CB,10,10
607464,FB,37,37
613804,FB,30,30
651426,CB,14,14
