season,club,competition,round,jul_aug,note
1516,Southampton,EL,3rd qualifying round,1,7th in 14/15
1516,West Ham,EL,1st qualifying round,1,entered earliest of any English club in this window
1516,Man United,CL,play-off round,1,18/25 Aug 2015 verified
1617,West Ham,EL,3rd qualifying round,1,28 Jul / 4 Aug 2016 verified
1617,Man City,CL,play-off round,1,16/24 Aug 2016 verified
1718,Everton,EL,3rd qualifying round,1,27 Jul / 3 Aug 2017 (round dates)
1718,Liverpool,CL,play-off round,1,source self-contradictory; Liverpool named in play-off League Route
1819,Burnley,EL,2nd qualifying round,1,2/9 Aug 2018 verified
1920,Wolves,EL,2nd qualifying round,1,25 Jul / 1 Aug 2019 verified
2021,Tottenham,EL,2nd qualifying round,0,COVID-shifted to 17 Sep 2020 — NOT a July/Aug treatment
2122,Tottenham,ECL,play-off round,1,Aug 2021
2223,West Ham,ECL,play-off round,1,18/25 Aug 2022
2324,Aston Villa,ECL,play-off round,1,first fetch falsely reported no English clubs; confirmed on the competition page
2425,Chelsea,ECL,play-off round,1,22/29 Aug 2024 verified
2526,Crystal Palace,ECL,play-off round,1,21/28 Aug 2025 verified
