Date,Time,HomeTeam,AwayTeam,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,MaxH,MaxD,MaxA,Max>2.5,Max<2.5,B365H,B365D,B365A,B365>2.5,B365<2.5
20/09/2026,14:00,Bournemouth,Liverpool,3.05,3.78,2.13,1.52,2.53,3.2,3.9,2.38,2.25,2.63,3.2,3.8,2.1,1.5,2.63
18/09/2026,20:00,Brentford,Chelsea,2.62,3.7,2.48,1.48,2.59,2.71,3.8,2.5,1.54,2.7,2.55,3.8,2.45,1.5,2.63
19/09/2026,15:00,Brighton,Arsenal,4.77,3.89,1.68,1.71,2.06,5.0,4.0,1.72,1.73,2.1,5.0,3.9,1.67,1.73,2.1
19/09/2026,15:00,Everton,Ipswich,1.76,3.79,4.36,1.7,2.08,1.8,3.9,4.75,1.73,2.1,1.75,3.8,4.5,1.73,2.1
20/09/2026,16:30,Fulham,Man United,3.36,3.71,2.0,1.55,2.35,3.5,3.8,2.05,1.58,2.4,3.5,3.8,2.0,1.57,2.38
20/09/2026,14:00,Leeds,Crystal Palace,1.74,3.79,4.49,1.73,2.03,1.8,4.0,4.9,2.25,2.1,1.73,3.9,4.75,1.73,2.1
20/09/2026,14:00,Man City,Sunderland,1.29,5.56,9.39,1.56,2.32,1.3,6.0,11.0,1.58,2.4,1.3,5.5,9.0,1.57,2.38
19/09/2026,15:00,Newcastle,Hull,1.58,4.26,5.1,1.59,2.27,1.62,4.35,5.5,1.62,2.3,1.6,4.33,5.0,1.62,2.3
19/09/2026,17:30,Nott'm Forest,Coventry,1.58,4.02,5.54,1.75,2.01,1.6,4.2,6.0,1.8,2.05,1.57,4.0,5.75,1.8,2.0
19/09/2026,12:30,Tottenham,Aston Villa,1.99,3.59,3.62,1.78,1.98,2.0,3.7,3.8,1.83,2.03,2.0,3.5,3.7,1.83,2.03
