team,player,role,as_of
Arsenal,Raya,start,2026-08-20
Arsenal,White,start,2026-08-20
Arsenal,Mosquera,start,2026-08-20
Arsenal,Gabriel Magalhães,start,2026-08-20
Arsenal,Calafiori,start,2026-08-20
Arsenal,Odegaard,start,2026-08-20
Arsenal,Lewis-Skelly,start,2026-08-20
Arsenal,Rice,start,2026-08-20
Arsenal,Madueke,start,2026-08-20
Arsenal,Havertz,start,2026-08-20
Arsenal,Tzolis,start,2026-08-20
Aston Villa,Bizot,start,2026-08-20
Aston Villa,Cash,start,2026-08-20
Aston Villa,Lindelof,start,2026-08-20
Aston Villa,Torres,start,2026-08-20
Aston Villa,Maatsen,start,2026-08-20
Aston Villa,Barkley,start,2026-08-20
Aston Villa,Kamara,start,2026-08-20
Aston Villa,McGinn,start,2026-08-20
Aston Villa,Buendía,start,2026-08-20
Aston Villa,Garnacho,start,2026-08-20
Aston Villa,Watkins,start,2026-08-20
Bournemouth,Petrovic,start,2026-08-20
Bournemouth,Smith,start,2026-08-20
Bournemouth,Hill,start,2026-08-20
Bournemouth,António Silva,start,2026-08-20
Bournemouth,Truffert,start,2026-08-20
Bournemouth,Cook,start,2026-08-20
Bournemouth,Scott,start,2026-08-20
Bournemouth,Rayan,start,2026-08-20
Bournemouth,Kluivert,start,2026-08-20
Bournemouth,Tavernier,start,2026-08-20
Bournemouth,Evanilson,start,2026-08-20
Brentford,Kelleher,start,2026-08-20
Brentford,Kayode,start,2026-08-20
Brentford,Ajer,start,2026-08-20
Brentford,Collins,start,2026-08-20
Brentford,Lewis-Potter,start,2026-08-20
Brentford,Sangaré,start,2026-08-20
Brentford,Janelt,start,2026-08-20
Brentford,Dango Ouattara,start,2026-08-20
Brentford,Jensen,start,2026-08-20
Brentford,Schade,start,2026-08-20
Brentford,Thiago,start,2026-08-20
Brighton,Verbruggen,start,2026-08-20
Brighton,Wieffer,start,2026-08-20
Brighton,Vuskovic,start,2026-08-20
Brighton,Boscagli,start,2026-08-20
Brighton,Kadioglu,start,2026-08-20
Brighton,Ayari,start,2026-08-20
Brighton,Groß,start,2026-08-20
Brighton,Gómez,start,2026-08-20
Brighton,Hinshelwood,start,2026-08-20
Brighton,De Cuyper,start,2026-08-20
Brighton,Rutter,start,2026-08-20
Chelsea,Sanchez,start,2026-08-20
Chelsea,James,start,2026-08-20
Chelsea,Lacroix,start,2026-08-20
Chelsea,Colwill,start,2026-08-20
Chelsea,Neto,start,2026-08-20
Chelsea,Lavia,start,2026-08-20
Chelsea,Moises Caicedo,start,2026-08-20
Chelsea,Palestra,start,2026-08-20
Chelsea,Palmer,start,2026-08-20
Chelsea,João Pedro,start,2026-08-20
Chelsea,Rogers,start,2026-08-20
