team,player,role,as_of
Arsenal,Raya,start,2026-08-14
Arsenal,White,start,2026-08-14
Arsenal,Mosquera,start,2026-08-14
Arsenal,Gabriel,start,2026-08-14
Arsenal,Hincapié,start,2026-08-14
Arsenal,Bruno Guimarães,start,2026-08-14
Arsenal,Ødegaard,start,2026-08-14
Arsenal,Eze,start,2026-08-14
Arsenal,Madueke,start,2026-08-14
Arsenal,Gyökeres,start,2026-08-14
Arsenal,Tzolis,start,2026-08-14
Aston Villa,Martínez,start,2026-08-14
Aston Villa,Cash,start,2026-08-14
Aston Villa,Konsa,start,2026-08-14
Aston Villa,Pau Torres,start,2026-08-14
Aston Villa,Maatsen,start,2026-08-14
Aston Villa,Kamara,start,2026-08-14
Aston Villa,João Gomes,start,2026-08-14
Aston Villa,McGinn,start,2026-08-14
Aston Villa,Buendía,start,2026-08-14
Aston Villa,Manzambi,start,2026-08-14
Aston Villa,Watkins,start,2026-08-14
Bournemouth,Petrović,start,2026-08-14
Bournemouth,Smith,start,2026-08-14
Bournemouth,Hill,start,2026-08-14
Bournemouth,António Silva,start,2026-08-14
Bournemouth,Truffert,start,2026-08-14
Bournemouth,Tyler Adams,start,2026-08-14
Bournemouth,Alex Scott,start,2026-08-14
Bournemouth,Tavernier,start,2026-08-14
Bournemouth,Kluivert,start,2026-08-14
Bournemouth,Rayan,start,2026-08-14
Bournemouth,Evanilson,start,2026-08-14
Brentford,Kelleher,start,2026-08-14
Brentford,Kayode,start,2026-08-14
Brentford,Ajer,start,2026-08-14
Brentford,Collins,start,2026-08-14
Brentford,Lewis-Potter,start,2026-08-14
Brentford,Yarmolyuk,start,2026-08-14
Brentford,Janelt,start,2026-08-14
Brentford,Dango Ouattara,start,2026-08-14
Brentford,Jensen,start,2026-08-14
Brentford,Schade,start,2026-08-14
Brentford,Igor Thiago,start,2026-08-14
Brighton,Verbruggen,start,2026-08-14
Brighton,Kadıoğlu,start,2026-08-14
Brighton,Vušković,start,2026-08-14
Brighton,Dunk,start,2026-08-14
Brighton,De Cuyper,start,2026-08-14
Brighton,Baleba,start,2026-08-14
Brighton,Groß,start,2026-08-14
Brighton,Diego Gómez,start,2026-08-14
Brighton,Hinshelwood,start,2026-08-14
Brighton,Minteh,start,2026-08-14
