team,player,role,as_of
Crystal Palace,Henderson,start,2026-08-28
Crystal Palace,Richards,start,2026-08-28
Crystal Palace,Tomiyasu,start,2026-08-28
Crystal Palace,Canvot,start,2026-08-28
Crystal Palace,Mitchell,start,2026-08-28
Crystal Palace,Kamada,start,2026-08-28
Crystal Palace,Wharton,start,2026-08-28
Crystal Palace,Khalaili,start,2026-08-28
Crystal Palace,McNeil,start,2026-08-28
Crystal Palace,Yeremy,start,2026-08-28
Crystal Palace,Strand Larsen,start,2026-08-28
Man City,Donnarumma,start,2026-08-28
Man City,Gvardiol,start,2026-08-28
Man City,Guehi,start,2026-08-28
Man City,Rúben,start,2026-08-28
Man City,Khusanov,start,2026-08-28
Man City,O'Reilly,start,2026-08-28
Man City,Anderson,start,2026-08-28
Man City,Semenyo,start,2026-08-28
Man City,Cherki,start,2026-08-28
Man City,Foden,start,2026-08-28
Man City,Haaland,start,2026-08-28
Liverpool,A.Becker,start,2026-08-28
Liverpool,Kerkez,start,2026-08-28
Liverpool,Jacquet,start,2026-08-28
Liverpool,Virgil,start,2026-08-28
Liverpool,Frimpong,start,2026-08-28
Liverpool,Szoboszlai,start,2026-08-28
Liverpool,Gravenberch,start,2026-08-28
Liverpool,Gakpo,start,2026-08-28
Liverpool,Wirtz,start,2026-08-28
Liverpool,Munoz,start,2026-08-28
Liverpool,Isak,start,2026-08-28
Nott'm Forest,Sels,start,2026-08-28
Nott'm Forest,Milenkovic,start,2026-08-28
Nott'm Forest,Diomande,start,2026-08-28
Nott'm Forest,Murillo,start,2026-08-28
Nott'm Forest,Williams,start,2026-08-28
Nott'm Forest,Schlager,start,2026-08-28
Nott'm Forest,McAtee,start,2026-08-28
Nott'm Forest,Aina,start,2026-08-28
Nott'm Forest,Gibbs-White,start,2026-08-28
Nott'm Forest,Ndoye,start,2026-08-28
Nott'm Forest,Jesus,start,2026-08-28
Coventry,Rushworth,start,2026-08-28
Coventry,Dasilva,start,2026-08-28
Coventry,Thomas,start,2026-08-28
Coventry,Amenda,start,2026-08-28
Coventry,van Ewijk,start,2026-08-28
Coventry,Yirenkyi,start,2026-08-28
Coventry,Grimes,start,2026-08-28
Coventry,Hamer,start,2026-08-28
Coventry,Rudoni,start,2026-08-28
Coventry,Tchaouna,start,2026-08-28
