team,player,role,as_of,band,p_band,ring_hue,ocr_conf,author_confidence
Arsenal,Havertz,start,2026-09-17,85-99,0.92,74.0,0.827,0.95
Arsenal,Odegaard,start,2026-09-17,>99,0.995,91.0,0.726,0.95
Arsenal,Tzolis,start,2026-09-17,70-84,0.77,24.0,0.846,0.95
Arsenal,Saka,start,2026-09-17,85-99,0.92,74.0,0.793,0.95
Arsenal,Bruno G,start,2026-09-17,50-69,0.6,11.0,0.794,0.95
Arsenal,Rice,start,2026-09-17,>99,0.995,91.0,0.78,0.95
Arsenal,Calafiori,start,2026-09-17,85-99,0.92,74.0,0.867,0.95
Arsenal,Timber,start,2026-09-17,50-69,0.6,12.0,0.761,0.95
Arsenal,Gabriel,start,2026-09-17,>99,0.995,91.0,0.873,0.95
Arsenal,Konsa,start,2026-09-17,>99,0.995,91.0,0.755,0.95
Arsenal,Raya,start,2026-09-17,>99,0.995,91.0,0.773,0.95
Aston Villa,Jackson,start,2026-09-17,>99,0.995,92.0,0.873,0.91
Aston Villa,Hemmings,start,2026-09-17,50-69,0.6,11.0,0.786,0.91
Aston Villa,Buendia,start,2026-09-17,70-84,0.77,25.0,0.867,0.91
Aston Villa,McGinn,start,2026-09-17,85-99,0.92,74.0,0.845,0.91
Aston Villa,Barkley,start,2026-09-17,50-69,0.6,12.0,0.818,0.91
Aston Villa,Kamara,start,2026-09-17,85-99,0.92,74.0,0.769,0.91
Aston Villa,Ruggeri,start,2026-09-17,85-99,0.92,74.0,0.852,0.91
Aston Villa,Cash,start,2026-09-17,50-69,0.6,12.0,0.702,0.91
Aston Villa,Mings,start,2026-09-17,85-99,0.92,74.0,0.746,0.91
Aston Villa,Lindelof,start,2026-09-17,50-69,0.6,12.0,0.751,0.91
Aston Villa,Suzuki,start,2026-09-17,>99,0.995,91.0,0.779,0.91
Bournemouth,Evanilson,start,2026-09-17,85-99,0.92,74.0,0.821,0.95
Bournemouth,Kluivert,start,2026-09-17,85-99,0.92,75.0,0.862,0.95
Bournemouth,Tavernier,start,2026-09-17,>99,0.995,91.0,0.866,0.95
Bournemouth,Rayan,start,2026-09-17,85-99,0.92,75.0,0.833,0.95
Bournemouth,Scott,start,2026-09-17,>99,0.995,91.0,0.739,0.95
Bournemouth,Adams,start,2026-09-17,70-84,0.77,25.0,0.781,0.95
Bournemouth,Truffert,start,2026-09-17,>99,0.995,91.0,0.868,0.95
Bournemouth,Smith,start,2026-09-17,70-84,0.77,25.0,0.75,0.95
Bournemouth,Hill,start,2026-09-17,>99,0.995,92.0,0.796,0.95
Bournemouth,Silva,start,2026-09-17,>99,0.995,91.0,0.719,0.95
Bournemouth,Petrovic,start,2026-09-17,85-99,0.92,75.0,0.838,0.95
