code,name,short_name,elo,as_of,source
3,Arsenal,ARS,2064,2026-08-14,olbauday/FPL-Core-Insights@88fbea0 data/2026-2027/teams.csv
43,Man City,MCI,1971,2026-08-14,olbauday/FPL-Core-Insights@88fbea0 data/2026-2027/teams.csv
7,Aston Villa,AVL,1921,2026-08-14,olbauday/FPL-Core-Insights@88fbea0 data/2026-2027/teams.csv
1,Man Utd,MUN,1915,2026-08-14,olbauday/FPL-Core-Insights@88fbea0 data/2026-2027/teams.csv
14,Liverpool,LIV,1911,2026-08-14,olbauday/FPL-Core-Insights@88fbea0 data/2026-2027/teams.csv
91,Bournemouth,BOU,1872,2026-08-14,olbauday/FPL-Core-Insights@88fbea0 data/2026-2027/teams.csv
36,Brighton,BHA,1842,2026-08-14,olbauday/FPL-Core-Insights@88fbea0 data/2026-2027/teams.csv
4,Newcastle,NEW,1838,2026-08-14,olbauday/FPL-Core-Insights@88fbea0 data/2026-2027/teams.csv
94,Brentford,BRE,1837,2026-08-14,olbauday/FPL-Core-Insights@88fbea0 data/2026-2027/teams.csv
8,Chelsea,CHE,1831,2026-08-14,olbauday/FPL-Core-Insights@88fbea0 data/2026-2027/teams.csv
17,Nott'm Forest,NFO,1822,2026-08-14,olbauday/FPL-Core-Insights@88fbea0 data/2026-2027/teams.csv
54,Fulham,FUL,1813,2026-08-14,olbauday/FPL-Core-Insights@88fbea0 data/2026-2027/teams.csv
31,Crystal Palace,CRY,1804,2026-08-14,olbauday/FPL-Core-Insights@88fbea0 data/2026-2027/teams.csv
11,Everton,EVE,1803,2026-08-14,olbauday/FPL-Core-Insights@88fbea0 data/2026-2027/teams.csv
2,Leeds,LEE,1797,2026-08-14,olbauday/FPL-Core-Insights@88fbea0 data/2026-2027/teams.csv
6,Spurs,TOT,1777,2026-08-14,olbauday/FPL-Core-Insights@88fbea0 data/2026-2027/teams.csv
56,Sunderland,SUN,1736,2026-08-14,olbauday/FPL-Core-Insights@88fbea0 data/2026-2027/teams.csv
9,Coventry City,COV,1661,2026-08-14,olbauday/FPL-Core-Insights@88fbea0 data/2026-2027/teams.csv
40,Ipswich Town,IPS,1640,2026-08-14,olbauday/FPL-Core-Insights@88fbea0 data/2026-2027/teams.csv
88,Hull City,HUL,1533,2026-08-14,olbauday/FPL-Core-Insights@88fbea0 data/2026-2027/teams.csv
