gw,team,opp,venue,xGA,cs_prob
10,Arsenal,Hull,H,0.4621,0.637
1,Arsenal,Coventry,H,0.5687,0.5752
8,Arsenal,Everton,H,0.6652,0.5246
7,Man City,Ipswich,H,0.6959,0.5101
6,Arsenal,Leeds,H,0.6938,0.5099
3,Man City,Coventry,H,0.7199,0.4987
4,Arsenal,Sunderland,A,0.7311,0.4931
5,Man City,Sunderland,H,0.7507,0.4834
7,Fulham,Hull,H,0.7871,0.4678
4,Chelsea,Hull,H,0.8099,0.4583
3,Arsenal,Chelsea,H,0.8176,0.4538
7,Arsenal,Nott'm Forest,A,0.8313,0.4489
5,Newcastle,Hull,H,0.8377,0.4462
5,Arsenal,Brighton,A,0.8956,0.4224
2,Man United,Ipswich,H,0.9107,0.4172
9,Man City,Brighton,H,0.921,0.4121
5,Everton,Ipswich,H,0.9301,0.4098
4,Crystal Palace,Ipswich,H,0.9335,0.4084
1,Man United,Hull,A,0.9412,0.406
3,Aston Villa,Hull,A,0.9483,0.4033
2,Man City,Crystal Palace,A,0.946,0.4029
2,Arsenal,Aston Villa,A,0.9511,0.4011
7,Brighton,Crystal Palace,H,0.9504,0.4004
6,Everton,Hull,A,0.9604,0.3985
10,Everton,Coventry,H,0.9624,0.3976
5,Nott'm Forest,Coventry,H,0.9784,0.3916
8,Brentford,Hull,A,0.9925,0.3869
2,Coventry,Hull,H,1.0215,0.3796
1,Man City,Bournemouth,H,1.0255,0.3734
1,Everton,Crystal Palace,H,1.0265,0.373
3,Fulham,Crystal Palace,H,1.0361,0.3697
3,Brentford,Sunderland,H,1.0376,0.3696
10,Man City,Nott'm Forest,A,1.0502,0.3656
9,Arsenal,Liverpool,A,1.0523,0.3649
7,Tottenham,Coventry,H,1.0667,0.3613
7,Bournemouth,Sunderland,H,1.0704,0.3581
2,Sunderland,Fulham,H,1.0808,0.3543
3,Brighton,Leeds,H,1.0876,0.3527
4,Brighton,Coventry,A,1.0975,0.3519
1,Sunderland,Ipswich,A,1.1004,0.3504
6,Man United,Tottenham,H,1.1086,0.3457
9,Aston Villa,Fulham,H,1.1081,0.3451
4,Aston Villa,Nott'm Forest,H,1.1234,0.3404
5,Leeds,Crystal Palace,H,1.1299,0.3394
8,Sunderland,Leeds,H,1.1281,0.3392
9,Sunderland,Coventry,A,1.1385,0.3385
9,Tottenham,Crystal Palace,H,1.1386,0.3365
6,Brighton,Sunderland,A,1.1445,0.3355
6,Crystal Palace,Nott'm Forest,H,1.1448,0.3343
6,Fulham,Ipswich,A,1.1549,0.3334
3,Nott'm Forest,Tottenham,H,1.1518,0.3323
4,Liverpool,Fulham,H,1.1484,0.3322
8,Nott'm Forest,Ipswich,A,1.1649,0.3307
3,Liverpool,Ipswich,A,1.1707,0.3287
2,Liverpool,Nott'm Forest,H,1.1654,0.3276
1,Brentford,Tottenham,H,1.1702,0.3266
8,Chelsea,Tottenham,H,1.1739,0.3254
9,Brentford,Nott'm Forest,H,1.1776,0.324
6,Sunderland,Brighton,H,1.1829,0.323
8,Fulham,Coventry,A,1.1947,0.3215
1,Nott'm Forest,Leeds,H,1.1945,0.3195
2,Bournemouth,Everton,H,1.1983,0.3181
8,Man City,Aston Villa,A,1.2037,0.3175
9,Newcastle,Everton,H,1.2052,0.3161
1,Brighton,Aston Villa,H,1.2099,0.315
10,Brighton,Brentford,H,1.2092,0.315
10,Bournemouth,Ipswich,A,1.2224,0.3138
4,Tottenham,Everton,H,1.2452,0.3051
2,Fulham,Sunderland,A,1.2456,0.3051
10,Leeds,Tottenham,H,1.2456,0.305
9,Bournemouth,Leeds,H,1.2523,0.3024
8,Liverpool,Brighton,H,1.2584,0.3013
6,Newcastle,Coventry,A,1.2719,0.2999
8,Crystal Palace,Newcastle,H,1.2678,0.2984
2,Chelsea,Brighton,H,1.2757,0.2965
10,Fulham,Newcastle,H,1.2744,0.2965
10,Chelsea,Sunderland,A,1.2817,0.2958
10,Man United,Aston Villa,H,1.279,0.2954
9,Ipswich,Hull,A,1.3053,0.2944
6,Nott'm Forest,Crystal Palace,A,1.2861,0.2943
6,Aston Villa,Brentford,H,1.2881,0.2928
10,Liverpool,Crystal Palace,A,1.2922,0.2922
9,Coventry,Sunderland,H,1.3128,0.2902
6,Man City,Liverpool,A,1.3324,0.2822
10,Sunderland,Chelsea,H,1.3299,0.2819
8,Man United,Bournemouth,H,1.3421,0.2786
1,Ipswich,Sunderland,H,1.3635,0.2774
3,Man United,Everton,A,1.3534,0.2765
8,Newcastle,Crystal Palace,A,1.3581,0.2757
5,Man United,Fulham,A,1.3539,0.2756
8,Leeds,Sunderland,A,1.3568,0.2755
5,Aston Villa,Tottenham,A,1.3728,0.271
7,Everton,Chelsea,H,1.3832,0.2686
1,Crystal Palace,Everton,A,1.3865,0.2681
3,Crystal Palace,Fulham,A,1.3891,0.2673
4,Leeds,Newcastle,H,1.3898,0.2672
4,Everton,Tottenham,A,1.3931,0.2665
4,Bournemouth,Brentford,H,1.3936,0.2657
1,Fulham,Chelsea,H,1.3946,0.2653
9,Crystal Palace,Tottenham,A,1.3989,0.2653
2,Tottenham,Newcastle,H,1.3999,0.2645
7,Newcastle,Aston Villa,H,1.4009,0.2636
7,Man United,Leeds,A,1.4144,0.2613
6,Chelsea,Bournemouth,H,1.4223,0.2591
5,Brentford,Chelsea,H,1.4282,0.2573
7,Chelsea,Everton,A,1.4331,0.2572
1,Chelsea,Fulham,A,1.435,0.2563
2,Leeds,Brentford,H,1.434,0.2557
4,Man City,Man United,A,1.4462,0.2544
5,Tottenham,Aston Villa,H,1.4477,0.2532
5,Crystal Palace,Leeds,A,1.4508,0.2531
10,Crystal Palace,Liverpool,H,1.4504,0.2522
8,Coventry,Fulham,H,1.4723,0.2515
9,Hull,Ipswich,H,1.4997,0.2482
3,Newcastle,Bournemouth,H,1.4727,0.2475
5,Brighton,Arsenal,H,1.4814,0.2458
10,Newcastle,Fulham,A,1.4858,0.2447
1,Aston Villa,Brighton,A,1.4951,0.2437
2,Brentford,Leeds,A,1.493,0.2433
2,Newcastle,Tottenham,A,1.4959,0.2428
7,Brentford,Liverpool,H,1.4939,0.2425
6,Ipswich,Fulham,H,1.5275,0.239
7,Crystal Palace,Brighton,A,1.5196,0.2378
8,Ipswich,Nott'm Forest,H,1.5513,0.235
7,Aston Villa,Newcastle,A,1.5333,0.2346
4,Sunderland,Arsenal,H,1.5374,0.2332
1,Leeds,Nott'm Forest,A,1.5431,0.2327
3,Sunderland,Brentford,A,1.5447,0.232
5,Bournemouth,Liverpool,H,1.5425,0.2319
4,Newcastle,Leeds,A,1.5511,0.2308
3,Tottenham,Nott'm Forest,A,1.5559,0.2302
9,Everton,Newcastle,A,1.5543,0.2302
1,Newcastle,Liverpool,H,1.5501,0.2298
10,Brentford,Brighton,A,1.5652,0.2284
3,Everton,Man United,H,1.5695,0.2265
2,Brighton,Chelsea,A,1.5765,0.2259
2,Aston Villa,Arsenal,H,1.5781,0.225
5,Fulham,Man United,H,1.583,0.2235
4,Coventry,Brighton,H,1.6105,0.223
1,Liverpool,Newcastle,A,1.59,0.2229
10,Tottenham,Leeds,A,1.6021,0.2209
7,Sunderland,Bournemouth,A,1.6224,0.2164
9,Fulham,Aston Villa,A,1.6203,0.2163
7,Nott'm Forest,Arsenal,H,1.6275,0.2153
9,Chelsea,Man United,H,1.6274,0.2149
6,Coventry,Newcastle,H,1.6523,0.2142
9,Nott'm Forest,Brentford,A,1.6354,0.2142
4,Nott'm Forest,Aston Villa,A,1.6351,0.2141
9,Liverpool,Arsenal,H,1.6347,0.2133
7,Liverpool,Brentford,A,1.6425,0.2121
8,Brighton,Liverpool,A,1.6493,0.2119
3,Bournemouth,Newcastle,A,1.6603,0.2095
6,Brentford,Aston Villa,A,1.6613,0.209
3,Leeds,Brighton,A,1.6639,0.2088
9,Man United,Chelsea,A,1.6676,0.2082
5,Chelsea,Brentford,A,1.6654,0.2079
2,Everton,Bournemouth,A,1.6886,0.2043
4,Ipswich,Crystal Palace,A,1.7196,0.2035
4,Man United,Man City,H,1.7144,0.1988
5,Liverpool,Bournemouth,A,1.7264,0.1972
7,Leeds,Man United,H,1.7238,0.1966
8,Aston Villa,Man City,H,1.7259,0.1964
4,Brentford,Bournemouth,A,1.7449,0.1942
2,Crystal Palace,Man City,H,1.7569,0.1912
10,Coventry,Everton,A,1.8104,0.1879
1,Tottenham,Brentford,A,1.7818,0.1878
6,Hull,Everton,H,1.8106,0.1873
10,Nott'm Forest,Man City,H,1.7812,0.1873
6,Liverpool,Man City,H,1.7898,0.1854
4,Fulham,Liverpool,A,1.7956,0.1853
7,Coventry,Tottenham,A,1.8228,0.1852
2,Nott'm Forest,Liverpool,A,1.8096,0.1829
5,Coventry,Nott'm Forest,A,1.8355,0.1829
6,Bournemouth,Chelsea,A,1.8178,0.182
10,Ipswich,Bournemouth,H,1.8643,0.1783
5,Ipswich,Everton,A,1.8784,0.1767
9,Leeds,Bournemouth,A,1.8558,0.1758
2,Hull,Coventry,A,1.9089,0.1746
8,Tottenham,Chelsea,A,1.8872,0.1711
10,Aston Villa,Man United,A,1.9071,0.1681
3,Ipswich,Liverpool,H,1.9637,0.1631
8,Everton,Arsenal,A,1.97,0.1591
9,Brighton,Man City,A,1.9968,0.1554
3,Chelsea,Arsenal,A,2.0421,0.1491
8,Bournemouth,Man United,A,2.0621,0.1462
5,Sunderland,Man City,A,2.0731,0.1451
3,Hull,Aston Villa,H,2.1067,0.145
8,Hull,Brentford,H,2.1055,0.145
6,Tottenham,Man United,A,2.143,0.1367
6,Leeds,Arsenal,A,2.1642,0.1338
7,Hull,Fulham,A,2.2299,0.1304
1,Bournemouth,Man City,A,2.3014,0.1188
5,Hull,Newcastle,A,2.508,0.1038
1,Hull,Man United,H,2.5339,0.1013
1,Coventry,Arsenal,A,2.5775,0.0977
2,Ipswich,Man United,A,2.6261,0.0936
4,Hull,Chelsea,A,2.7464,0.0854
3,Coventry,Man City,A,2.8202,0.0796
7,Ipswich,Man City,A,2.9299,0.0729
10,Hull,Arsenal,A,3.1751,0.0601
