id,player,pos,team,own,cost,nfix,mean,sd,defcon_ev,cs_ev,p5,p25,median,p75,p95,ppm
411,Haaland,FWD,Man City,70.3,15.5,6,43.13,16.59,0.0,0.0,18.71,31.41,42.12,53.1,72.51,2.78
426,B.Fernandes,MID,Man United,44.9,12.0,6,33.4,13.38,0.15,1.74,15.0,23.88,31.34,41.22,57.68,2.78
427,Mbeumo,MID,Man United,13.6,8.0,6,33.37,13.55,0.0,1.72,14.63,23.61,31.7,41.33,58.79,4.17
12,Saka,MID,Arsenal,11.4,9.5,6,29.89,14.72,0.13,1.98,10.0,19.25,27.72,37.89,56.96,3.15
154,Palmer,MID,Chelsea,13.1,9.5,6,29.73,13.4,0.01,1.36,11.0,19.99,28.08,37.43,54.79,3.13
397,Semenyo,MID,Man City,20.0,8.5,6,28.91,11.83,0.03,2.0,13.0,20.25,27.24,35.7,51.15,3.4
4,Gabriel,DEF,Arsenal,23.3,8.0,6,28.66,10.13,2.44,10.55,13.36,21.72,27.97,34.59,46.32,3.58
387,O'Reilly,DEF,Man City,25.2,6.5,6,27.73,12.91,0.65,7.79,10.0,18.72,25.97,34.96,51.66,4.27
106,Thiago,FWD,Brentford,20.2,8.0,6,26.9,11.26,0.14,0.0,11.35,18.71,26.06,33.41,47.47,3.36
388,Guéhi,DEF,Man City,26.1,6.0,6,26.68,9.91,0.72,9.24,12.36,19.72,25.61,32.6,44.03,4.45
379,Isak,FWD,Liverpool,13.6,9.0,6,26.05,12.88,0.0,0.0,8.0,16.71,24.33,33.41,49.47,2.89
399,Cherki,MID,Man City,11.1,7.5,6,25.96,14.04,0.48,1.39,8.0,15.99,23.51,32.87,53.05,3.46
428,Cunha,MID,Man United,14.5,8.0,6,25.81,12.08,0.07,1.55,10.0,16.99,23.99,32.52,48.42,3.23
155,Enzo,MID,Chelsea,5.5,7.0,6,25.72,11.17,0.07,1.43,11.0,17.63,23.99,32.08,46.87,3.67
78,Kroupi.Jr,MID,Bournemouth,19.3,7.5,6,25.21,13.11,0.22,0.92,8.0,15.36,22.72,32.08,50.15,3.36
498,Senesi,DEF,Tottenham,15.7,6.0,6,24.33,8.46,7.26,5.55,12.0,18.36,23.44,29.25,39.14,4.06
237,Ndiaye,MID,Everton,17.3,6.0,6,24.22,9.99,0.36,1.62,11.0,17.36,22.72,30.24,42.45,4.04
391,Gvardiol,DEF,Man City,6.3,5.5,6,24.21,11.54,0.06,7.95,8.61,15.99,22.34,30.51,46.04,4.4
55,Watkins,FWD,Aston Villa,15.3,8.0,6,24.2,10.92,0.0,0.0,9.35,15.63,22.71,31.41,44.12,3.03
445,Thiaw,DEF,Newcastle,2.7,5.0,6,24.18,10.34,4.49,5.87,9.36,16.72,22.94,30.15,43.05,4.84
366,Wirtz,MID,Liverpool,14.8,7.5,6,23.95,11.53,0.49,1.31,9.63,15.63,21.88,30.08,45.79,3.19
480,Gibbs-White,MID,Nott'm Forest,13.5,8.0,6,23.7,9.96,0.01,1.59,11.0,16.36,21.99,29.24,43.06,2.96
398,Foden,MID,Man City,5.3,7.0,6,23.43,12.5,0.07,1.44,7.0,14.36,21.25,30.24,47.32,3.35
40,Rogers,MID,Chelsea,37.4,7.5,6,23.17,9.31,0.07,1.56,12.0,16.63,21.36,27.72,41.22,3.09
8,Calafiori,DEF,Arsenal,11.7,5.5,6,23.15,10.96,1.13,7.92,8.0,15.36,21.72,29.61,43.03,4.21
368,Szoboszlai,MID,Liverpool,36.2,7.0,6,23.07,9.37,0.46,1.43,10.0,16.36,21.62,28.61,40.12,3.3
13,Rice,MID,Arsenal,23.9,7.5,6,23.04,9.07,0.89,2.37,11.0,16.63,21.36,27.99,39.7,3.07
165,João Pedro,FWD,Chelsea,45.9,7.5,6,22.98,10.87,0.0,0.0,8.0,15.35,20.98,28.23,43.12,3.06
481,Anderson,MID,Man City,12.6,6.5,6,22.83,8.22,3.11,1.99,12.0,17.25,21.63,26.99,38.08,3.51
61,Truffert,DEF,Bournemouth,5.5,5.5,6,22.55,8.16,5.92,5.29,10.61,16.72,21.72,27.61,37.24,4.1
9,Hincapie,DEF,Arsenal,6.3,5.5,6,22.53,9.57,3.62,8.23,8.0,15.72,21.99,28.34,39.14,4.1
356,Virgil,DEF,Liverpool,15.3,6.5,6,22.45,8.59,2.93,6.5,10.0,16.36,21.72,27.61,37.33,3.45
229,Tarkowski,DEF,Everton,12.9,6.0,6,22.3,8.32,1.36,7.87,10.36,16.36,21.34,27.15,37.6,3.72
367,Gakpo,MID,Liverpool,4.4,7.0,6,22.25,11.08,0.01,1.19,8.0,14.36,20.36,28.08,42.79,3.18
1,Raya,GK,Arsenal,29.0,6.0,6,22.16,6.43,0.0,11.7,11.51,18.02,22.53,26.04,32.55,3.69
94,Schade,MID,Brentford,2.5,6.0,6,22.05,11.0,0.05,1.19,8.0,14.0,20.36,28.34,42.06,3.67
452,Bruno G.,MID,Newcastle,9.5,7.0,6,21.85,9.12,0.09,1.57,10.0,15.33,20.25,26.72,39.23,3.12
533,Mukiele,DEF,Sunderland,9.5,5.5,6,21.84,8.2,4.83,6.3,10.0,16.36,21.34,26.72,36.15,3.97
201,Muñoz,DEF,Crystal Palace,14.2,5.5,6,21.71,9.16,0.31,6.89,9.0,14.99,20.72,26.97,38.4,3.95
26,Havertz,FWD,Arsenal,5.7,7.5,6,21.7,12.55,0.0,0.0,5.6,12.35,19.71,28.41,44.78,2.89
11,Mosquera,DEF,Arsenal,13.7,5.5,6,21.51,9.34,4.04,7.42,7.36,15.0,20.72,27.08,38.07,3.91
25,Gyökeres,FWD,Arsenal,16.6,7.5,6,21.51,11.58,0.01,0.0,6.0,13.35,19.71,27.96,42.5,2.87
95,O.Dango,MID,Brentford,2.0,6.5,6,21.28,11.15,0.08,1.1,7.0,13.36,19.25,27.34,42.13,3.27
14,Eze,MID,Arsenal,3.1,6.5,6,21.26,11.27,0.01,1.71,6.0,13.36,19.36,27.34,41.45,3.27
208,Sarr,MID,Crystal Palace,9.7,6.5,6,21.21,10.16,0.01,1.34,8.0,14.0,19.36,26.72,40.06,3.26
431,Amad,MID,Man United,1.4,6.0,6,21.13,11.17,0.08,1.29,6.63,13.0,18.99,27.34,42.06,3.52
223,Mateta,FWD,Crystal Palace,8.2,6.5,6,21.05,10.02,0.0,0.0,7.0,13.35,19.71,26.99,39.69,3.24
200,Lacroix,DEF,Crystal Palace,13.6,6.0,6,20.93,8.28,2.44,6.86,9.0,15.36,19.99,25.64,36.05,3.49
346,Calvert-Lewin,FWD,Leeds,16.4,6.0,6,20.9,9.56,0.0,0.0,7.98,13.35,19.98,26.33,38.77,3.48
-45,van Ewijk,DEF,Coventry,14.5,4.0,6,20.85,11.27,7.09,4.8,7.0,14.0,19.36,25.36,37.69,5.21
68,Tavernier,MID,Bournemouth,1.8,6.0,6,20.71,9.97,0.25,1.01,7.0,13.63,19.25,26.34,38.7,3.45
389,Matheus N.,DEF,Man City,7.5,6.0,6,20.68,8.68,0.46,7.86,8.36,14.36,19.72,25.7,36.23,3.45
112,Van Hecke,DEF,Tottenham,8.1,5.0,6,20.46,8.06,3.38,5.57,9.0,14.36,19.36,25.25,34.97,4.09
239,Garner,MID,Everton,3.9,6.0,6,20.34,7.26,2.9,1.65,11.0,15.0,19.25,24.36,34.08,3.39
423,Shaw,DEF,Man United,14.5,4.5,6,20.29,8.36,1.46,7.36,8.24,14.36,19.34,25.08,34.87,4.51
400,Doku,MID,Man City,7.7,7.5,6,20.09,10.69,0.06,1.39,7.0,12.36,18.25,25.53,40.33,2.68
-9,Manzambi,MID,Aston Villa,4.2,6.0,6,20.07,16.14,1.65,1.41,6.0,11.0,15.13,23.02,49.44,3.35
-35,Palestra,DEF,Chelsea,1.9,5.5,6,19.93,14.67,3.33,5.37,5.0,11.36,16.9,24.08,45.05,3.62
535,Alderete,DEF,Sunderland,1.6,5.0,6,19.73,8.17,5.31,5.49,7.0,14.0,19.35,24.72,34.08,3.95
417,Dalot,DEF,Man United,3.7,5.0,6,19.7,9.37,0.21,6.6,7.0,12.72,18.52,24.88,37.5,3.94
490,Wood,FWD,Nott'm Forest,1.8,6.0,6,19.64,10.2,0.0,0.0,6.0,12.35,18.71,26.06,38.77,3.27
67,Rayan,MID,Bournemouth,4.5,6.5,6,19.59,10.16,0.56,1.01,7.0,12.25,17.63,24.61,39.71,3.01
328,Struijk,DEF,Brighton,0.6,5.0,6,19.56,8.77,2.84,6.13,7.0,13.36,18.72,24.81,35.41,3.91
384,Donnarumma,GK,Man City,11.3,5.5,6,19.41,6.64,0.0,9.57,9.0,14.51,19.02,23.53,30.04,3.53
532,Ballard,DEF,Sunderland,2.3,5.0,6,19.4,8.66,5.25,4.88,7.0,13.36,18.36,24.72,35.15,3.88
338,Ampadu,MID,Leeds,1.3,5.5,6,19.36,6.54,4.87,1.19,10.0,15.0,18.63,22.99,31.34,3.52
79,Evanilson,FWD,Bournemouth,2.0,6.0,6,19.21,9.45,0.0,0.0,6.0,12.35,17.71,24.33,36.77,3.2
469,N.Williams,DEF,Nott'm Forest,9.4,5.0,6,19.15,8.42,0.41,6.43,7.0,13.36,18.08,23.97,34.14,3.83
156,Neto,MID,Chelsea,1.2,6.5,6,19.13,9.66,0.0,1.16,7.0,12.0,17.36,24.53,37.39,2.94
231,Keane,DEF,Everton,1.6,5.0,6,19.12,8.58,2.51,6.24,7.0,13.36,18.25,24.25,34.69,3.82
236,Dewsbury-Hall,MID,Everton,5.3,6.5,6,19.08,9.08,0.81,1.4,7.0,12.63,17.36,23.88,36.44,2.94
-33,Vuskovic,DEF,Brighton,2.3,5.0,6,19.08,12.52,2.78,5.9,5.0,11.36,17.08,23.79,38.4,3.82
136,Welbeck,FWD,Brighton,3.1,6.0,6,18.96,10.25,0.0,0.0,5.0,11.35,17.35,24.63,37.67,3.16
544,Xhaka,MID,Sunderland,5.6,5.5,6,18.87,6.1,4.13,1.42,10.0,15.0,18.0,22.36,29.99,3.43
390,Rúben,DEF,Man City,1.3,5.5,6,18.76,8.36,0.41,7.46,7.0,12.72,17.72,23.81,33.51,3.41
392,Aït-Nouri,DEF,Man City,1.0,5.5,6,18.73,9.71,0.01,6.33,5.0,11.63,17.52,24.34,35.87,3.41
113,F.Kadıoğlu,DEF,Brighton,3.0,4.5,6,18.61,8.26,0.59,6.41,7.0,12.63,17.72,23.34,33.15,4.14
19,Zubimendi,MID,Arsenal,1.2,5.5,6,18.61,8.63,1.73,2.0,7.0,12.63,17.0,23.0,34.72,3.38
88,Kayode,DEF,Brentford,5.7,4.5,6,18.54,7.86,1.63,5.89,7.0,13.0,17.72,23.09,32.8,4.12
84,Collins,DEF,Brentford,2.5,5.5,6,18.49,7.86,1.57,5.86,7.0,12.72,17.72,23.25,32.51,3.36
499,Pedro Porro,DEF,Tottenham,23.2,5.5,6,18.44,8.13,1.49,5.19,7.0,12.63,17.72,23.25,32.51,3.35
254,Robinson,DEF,Fulham,3.4,4.5,6,18.38,9.01,0.12,5.41,6.0,11.36,17.52,23.88,34.68,4.09
329,Rodon,DEF,Leeds,2.6,4.5,6,18.37,7.71,4.56,4.98,7.0,13.0,17.63,23.08,32.08,4.08
471,Milenković,DEF,Nott'm Forest,2.7,5.5,6,18.3,7.52,0.59,6.82,7.0,13.0,17.72,23.08,31.51,3.33
-43,Thomas,DEF,Coventry,4.9,4.0,6,18.3,10.56,6.38,4.11,5.0,12.0,17.0,22.72,34.43,4.57
335,Stach,MID,Leeds,1.3,6.0,6,18.26,8.2,2.52,1.07,7.0,12.63,17.0,22.72,34.08,3.04
204,Mitchell,DEF,Crystal Palace,7.3,4.5,6,18.14,7.55,0.58,6.57,7.0,12.63,17.36,22.34,31.97,4.03
453,Barnes,MID,Newcastle,1.0,6.0,6,18.14,10.81,0.01,0.84,5.0,10.0,16.36,23.72,38.79,3.02
429,Rashford,MID,Man United,1.4,7.0,6,18.12,12.12,0.0,0.99,4.0,9.63,15.36,23.61,42.06,2.59
260,Wilson,MID,Leeds,10.7,6.5,6,18.11,8.69,0.09,1.08,7.0,12.0,16.63,22.72,34.6,2.79
542,E.Le Fée,MID,Sunderland,3.3,6.0,6,18.09,6.96,2.52,1.29,9.0,13.0,17.0,21.88,30.72,3.01
32,Cash,DEF,Aston Villa,9.1,4.5,6,18.07,7.66,0.11,6.62,7.0,12.36,17.25,22.61,31.33,4.02
202,Richards,DEF,Crystal Palace,0.9,5.0,6,18.05,8.04,2.05,5.85,6.0,12.36,17.36,22.34,32.97,3.61
85,Van den Berg,DEF,Brentford,0.7,5.0,6,18.03,8.53,1.39,5.49,6.0,11.99,16.99,23.08,33.51,3.61
60,Hill,DEF,Bournemouth,1.9,5.5,6,17.99,8.4,5.21,4.1,6.0,12.0,17.0,22.79,33.15,3.27
143,Chalobah,DEF,Chelsea,2.3,5.5,6,17.9,8.19,1.84,5.62,6.0,12.27,16.99,22.61,33.51,3.26
418,Maguire,DEF,Man United,6.2,5.0,6,17.89,9.2,0.63,6.15,6.0,11.36,16.72,22.61,34.33,3.58
233,Mykolenko,DEF,Everton,1.9,4.5,6,17.85,7.42,0.18,7.07,7.0,12.36,16.99,22.25,30.97,3.97
17,Merino,MID,Arsenal,1.1,6.0,6,17.7,10.99,0.15,1.24,5.0,9.63,15.36,23.61,38.06,2.95
15,Ødegaard,MID,Arsenal,2.7,6.5,6,17.64,9.58,0.01,1.62,6.0,10.91,15.99,22.51,35.88,2.71
226,Pickford,GK,Everton,10.1,5.5,6,17.6,6.3,0.0,8.08,8.0,13.51,17.02,21.53,29.04,3.2
157,Estêvão,MID,Chelsea,1.5,6.5,6,17.55,11.18,0.3,0.72,5.0,9.36,15.25,22.72,37.96,2.7
