gameweek,team,opp,is_home,xg_for,xg_against,cs_prob,market_priced
1,Arsenal,Coventry,1,2.5626,0.6198,0.5526,0
2,Arsenal,Aston Villa,0,1.5172,0.9824,0.3881,0
3,Arsenal,Chelsea,1,1.9685,0.824,0.4498,0
4,Arsenal,Sunderland,0,1.4907,0.7707,0.4735,0
5,Arsenal,Brighton,0,1.4574,0.9471,0.4023,0
6,Arsenal,Leeds,1,2.1177,0.6997,0.506,0
1,Aston Villa,Brighton,0,1.1891,1.5104,0.2384,0
2,Aston Villa,Arsenal,1,0.9824,1.5172,0.2358,0
3,Aston Villa,Hull,0,1.6301,1.2732,0.3102,0
4,Aston Villa,Nott'm Forest,1,1.6015,1.1092,0.344,0
5,Aston Villa,Tottenham,0,1.376,1.4212,0.2583,0
6,Aston Villa,Brentford,1,1.6619,1.2216,0.3102,0
1,Bournemouth,Man City,0,0.99,2.2647,0.1201,0
2,Bournemouth,Everton,1,1.6603,1.1643,0.3254,0
3,Bournemouth,Newcastle,0,1.3858,1.6914,0.2027,0
4,Bournemouth,Brentford,1,1.7296,1.3304,0.2806,0
5,Bournemouth,Liverpool,1,1.7165,1.5397,0.2323,0
6,Bournemouth,Chelsea,0,1.3233,1.816,0.18,0
1,Brentford,Tottenham,1,1.7151,1.1875,0.3195,0
2,Brentford,Leeds,0,1.3437,1.4967,0.2391,0
3,Brentford,Sunderland,1,1.5237,1.0308,0.3703,0
4,Brentford,Bournemouth,0,1.3304,1.7296,0.1947,0
5,Brentford,Chelsea,1,1.588,1.3968,0.2638,0
6,Brentford,Aston Villa,0,1.2216,1.6619,0.2068,0
1,Brighton,Aston Villa,1,1.5104,1.1891,0.3187,0
2,Brighton,Chelsea,0,1.2205,1.6045,0.2187,0
3,Brighton,Leeds,1,1.6661,1.0749,0.3551,0
4,Brighton,Coventry,0,1.5854,1.2085,0.3277,0
5,Brighton,Arsenal,1,0.9471,1.4574,0.249,0
6,Brighton,Sunderland,0,1.1707,1.183,0.3214,0
1,Chelsea,Fulham,0,1.3494,1.423,0.2581,0
2,Chelsea,Brighton,1,1.6045,1.2205,0.3102,0
3,Chelsea,Arsenal,0,0.824,1.9685,0.1568,0
4,Chelsea,Hull,1,2.2047,1.0322,0.3829,0
5,Chelsea,Brentford,0,1.3968,1.588,0.2227,0
6,Chelsea,Bournemouth,1,1.816,1.3233,0.2828,0
1,Coventry,Arsenal,0,0.6198,2.5626,0.1087,0
2,Coventry,Hull,1,1.6583,1.3465,0.3072,0
3,Coventry,Man City,0,0.7625,2.772,0.0919,0
4,Coventry,Brighton,1,1.2085,1.5854,0.237,0
5,Coventry,Nott'm Forest,0,1.0118,1.8671,0.187,0
6,Coventry,Newcastle,1,1.353,1.6293,0.2283,0
1,Crystal Palace,Everton,0,1.0038,1.3878,0.2653,0
2,Crystal Palace,Man City,1,0.9661,1.6801,0.2028,0
3,Crystal Palace,Fulham,0,1.0152,1.4155,0.2583,0
4,Crystal Palace,Ipswich,1,1.6804,1.027,0.3837,0
5,Crystal Palace,Leeds,0,1.0937,1.4509,0.2514,0
6,Crystal Palace,Nott'm Forest,1,1.2763,1.1341,0.3358,0
1,Everton,Crystal Palace,1,1.3878,1.0038,0.3787,0
2,Everton,Bournemouth,0,1.1643,1.6603,0.2076,0
3,Everton,Man United,1,1.395,1.5118,0.2367,0
4,Everton,Tottenham,0,1.1897,1.4463,0.2532,0
5,Everton,Ipswich,1,1.821,1.0231,0.386,0
6,Everton,Hull,0,1.4085,1.292,0.3046,0
1,Fulham,Chelsea,1,1.423,1.3494,0.2745,0
2,Fulham,Sunderland,0,1.0747,1.2642,0.2985,0
3,Fulham,Crystal Palace,1,1.4155,1.0152,0.3752,0
4,Fulham,Liverpool,0,1.1483,1.8326,0.1773,0
5,Fulham,Man United,1,1.4218,1.5259,0.2336,0
6,Fulham,Ipswich,0,1.4613,1.3055,0.3018,0
1,Hull,Man United,1,1.3089,1.9667,0.174,0
2,Hull,Coventry,0,1.3465,1.6583,0.2388,0
3,Hull,Aston Villa,1,1.2732,1.6301,0.2273,0
4,Hull,Chelsea,0,1.0322,2.2047,0.1441,0
5,Hull,Newcastle,0,1.0789,2.0435,0.1629,0
6,Hull,Everton,1,1.292,1.4085,0.2732,0
1,Ipswich,Sunderland,1,1.2561,1.3034,0.3008,0
2,Ipswich,Man United,0,1.0316,2.5298,0.1102,0
3,Ipswich,Liverpool,1,1.3368,1.8884,0.183,0
4,Ipswich,Crystal Palace,0,1.027,1.6804,0.2183,0
5,Ipswich,Everton,0,1.0231,1.821,0.1943,0
6,Ipswich,Fulham,1,1.3055,1.4613,0.2604,0
1,Leeds,Nott'm Forest,0,1.1405,1.5525,0.23,0
2,Leeds,Brentford,1,1.4967,1.3437,0.2761,0
3,Leeds,Brighton,0,1.0749,1.6661,0.2072,0
4,Leeds,Newcastle,1,1.5237,1.3513,0.2753,0
5,Leeds,Crystal Palace,1,1.4509,1.0937,0.3498,0
6,Leeds,Arsenal,0,0.6997,2.1177,0.1372,0
1,Liverpool,Newcastle,0,1.5163,1.6307,0.2139,0
2,Liverpool,Nott'm Forest,1,1.8227,1.1666,0.3267,0
3,Liverpool,Ipswich,0,1.8884,1.3368,0.2939,0
4,Liverpool,Fulham,1,1.8326,1.1483,0.3311,0
5,Liverpool,Bournemouth,0,1.5397,1.7165,0.1976,0
6,Liverpool,Man City,1,1.3802,1.7263,0.1949,0
1,Man City,Bournemouth,1,2.2647,0.99,0.3834,0
2,Man City,Crystal Palace,0,1.6801,0.9661,0.3933,0
3,Man City,Coventry,1,2.772,0.7625,0.4846,0
4,Man City,Man United,0,1.6901,1.4562,0.2509,0
5,Man City,Sunderland,1,2.0467,0.7498,0.4825,0
6,Man City,Liverpool,0,1.7263,1.3802,0.2691,0
1,Man United,Hull,0,1.9667,1.3089,0.3007,0
2,Man United,Ipswich,1,2.5298,1.0316,0.3817,0
3,Man United,Everton,0,1.5118,1.395,0.2636,0
4,Man United,Man City,1,1.4562,1.6901,0.2015,0
5,Man United,Fulham,0,1.5259,1.4218,0.2565,0
6,Man United,Tottenham,1,2.0966,1.1535,0.3304,0
1,Newcastle,Liverpool,1,1.6307,1.5163,0.236,0
2,Newcastle,Tottenham,0,1.3583,1.5255,0.2342,0
3,Newcastle,Bournemouth,1,1.6914,1.3858,0.2661,0
4,Newcastle,Leeds,0,1.3513,1.5237,0.235,0
5,Newcastle,Hull,1,2.0435,1.0789,0.366,0
6,Newcastle,Coventry,0,1.6293,1.353,0.2895,0
1,Nott'm Forest,Leeds,1,1.5525,1.1405,0.3333,0
2,Nott'm Forest,Liverpool,0,1.1666,1.8227,0.1786,0
3,Nott'm Forest,Tottenham,1,1.5603,1.144,0.3327,0
4,Nott'm Forest,Aston Villa,0,1.1092,1.6015,0.2184,0
5,Nott'm Forest,Coventry,1,1.8671,1.0118,0.3879,0
6,Nott'm Forest,Crystal Palace,0,1.1341,1.2763,0.2933,0
1,Sunderland,Ipswich,0,1.3034,1.2561,0.3169,0
2,Sunderland,Fulham,1,1.2642,1.0747,0.3547,0
3,Sunderland,Brentford,0,1.0308,1.5237,0.2364,0
4,Sunderland,Arsenal,1,0.7707,1.4907,0.2416,0
5,Sunderland,Man City,0,0.7498,2.0467,0.1467,0
6,Sunderland,Brighton,1,1.183,1.1707,0.325,0
1,Tottenham,Brentford,0,1.1875,1.7151,0.1962,0
2,Tottenham,Newcastle,1,1.5255,1.3583,0.2721,0
3,Tottenham,Nott'm Forest,0,1.144,1.5603,0.2266,0
4,Tottenham,Everton,1,1.4463,1.1897,0.3179,0
5,Tottenham,Aston Villa,1,1.4212,1.376,0.2678,0
6,Tottenham,Man United,0,1.1535,2.0966,0.1401,0
