display_name,unique_label,team,pos,cost,own,player_code,full_name,team_code,name_ambiguous,player,cold_start,model_total,model_gw1_6,value_per_m,model_gw1,model_gw2,model_gw3,model_gw4,model_gw5,model_gw6,model_gw7,model_gw8,model_gw9,model_gw10,ffs_total,ffs_value_per_m,ffs_gw1,ffs_gw2,ffs_gw3,ffs_gw4,ffs_gw5,ffs_gw6,ffs_minus_model_1_6,solio_gw1,ffs_matched,model_attack_pts,model_cs_pts,model_defcon_pts,model_sd_mean,model_p95_mean,p_start_prior,exp_minutes,exp_minutes_src,minutes_prior,npxgi_rate90,xa_rate90,defcon_rate90,pen_xg90,pen_order,fk_order,corner_order,pl_apps,pl_minutes,pl_xg,pl_xa,pl_xg90,pl_xa90,pl_shots,pl_goals,pl_assists,xi_starts,xi_sheets,xi_rate,pre_minutes,pre_apps,pre_mean_minutes,pre_xg,pre_xa,own_att_strength,own_def_strength,own_att_rank,own_def_rank,own_market_z,own_blended_elo,title_odds_dec,releg_odds_dec,xga_env,ppda_2627,press_factor,promoted,ffs_price
Haaland,Haaland (MCI),Man City,FWD,15.5,68.3,223094,Erling Haaland,MCI,False,Haaland,False,64.04,38.540000000000006,4.131612903225807,6.54,6.51,7.51,5.63,6.51,5.84,8.03,5.81,6.0,5.64,34.82,2.246451612903226,5.58,5.79,7.12,4.83,6.65,4.85,-3.720000000000006,,True,64.037,0.0,0.003,6.0983,18.7854,0.7477196070360411,87.19649446494465,player history,4323.5,0.7214946451485689,0.0738420555470852,3.3464550083436744,0.1,1.0,,,36.0,2953.0,25.78,2.8819209999999997,0.7857094480189638,0.08783369116153064,118.0,27.0,8.0,34.0,36.0,0.9444444444444444,53.0,1.0,53.0,0.44,0.0,0.3979137564561784,0.3023979198869594,1,2,1.5720974480619654,1971.0,3.5,67.0,1.0050081070657415,12.3,0.9984810217456443,0,15.5
B.Fernandes,B.Fernandes (MUN),Man United,MID,12.0,49.3,141746,Bruno Borges Fernandes,MUN,False,B.Fernandes,False,52.78,32.89,4.398333333333333,6.45,6.99,4.69,4.45,4.59,5.72,4.71,5.32,4.66,5.21,34.39,2.8658333333333332,5.97,6.91,5.25,5.04,5.41,5.81,1.5,,True,48.39,2.441,1.949,5.018800000000001,15.401900000000001,0.7679882977862057,88.00124555160141,player history,4577.0,0.4885137726186706,0.315084406230559,8.424342786172634,0.1,1.0,1.0,1.0,35.0,3065.0,10.83,11.9001269,0.3180097879282218,0.3494327637846656,85.0,9.0,24.0,35.0,35.0,1.0,146.0,3.0,48.666666666666664,0.0,0.0,0.2911586787820938,0.036515569746031,3,5,1.2388665527515443,1915.0,7.0,34.0,1.2712178238678356,12.0,1.0271008142253517,0,12.0
Gabriel,Gabriel (ARS),Arsenal,DEF,8.0,29.4,226597,Gabriel dos Santos Magalhães,ARS,False,Gabriel,False,48.52,28.85,6.065,5.34,5.21,4.44,4.63,4.31,4.92,4.5,4.91,4.12,6.14,30.01,3.75125,6.03,4.4,4.57,5.05,4.55,5.41,1.1600000000000001,,True,24.630000000000003,16.36,7.53,4.3776,13.291300000000001,0.712257059425996,89.41390041493776,player history,3932.5,0.1490110735489207,0.0402896832159204,9.587685649202731,0.0,,,,32.0,2750.0,2.94,1.8181463900000001,0.09621818181818181,0.059502972763636364,26.0,3.0,5.0,30.0,32.0,0.9375,226.0,5.0,56.5,0.0,0.0,0.306541748174989,0.5456367033856973,2,1,1.7079738846388108,2064.0,2.5,101.0,0.7593381876414202,10.05,1.1953980873144028,0,8.0
Mbeumo,Mbeumo (MUN),Man United,MID,8.0,36.7,446008,Bryan Mbeumo,MUN,False,Mbeumo,False,47.72,29.410000000000004,5.965,6.13,5.8,4.25,3.87,4.08,5.28,4.32,4.93,4.18,4.88,29.310000000000002,3.6637500000000003,5.67,5.81,4.39,4.23,4.5,4.71,-0.10000000000000142,,True,45.111,2.523,0.086,4.7329,14.103200000000001,0.783435230934313,85.40700179533215,player history,4318.5,0.5068693263790826,0.1920663705374587,5.255756304524003,0.0,2.0,2.0,2.0,33.0,2611.0,12.0,4.9664341,0.4136346227499042,0.17119075794714667,73.0,11.0,3.0,32.0,33.0,0.9696969696969697,341.0,6.0,56.833333333333336,0.0,0.0,0.2911586787820938,0.036515569746031,3,5,1.2388665527515443,1915.0,7.0,34.0,1.2712178238678356,12.0,1.0271008142253517,0,8.0
Guéhi,Guéhi (MCI),Man City,DEF,6.0,18.8,209036,Marc Guéhi,MCI,False,Guéhi,False,47.22,28.130000000000003,7.87,4.5,5.42,5.47,3.74,5.06,3.94,5.82,4.27,4.74,4.27,12.419999999999998,2.07,2.48,1.94,2.45,1.56,2.38,1.61,-15.710000000000004,,True,27.209999999999997,15.748000000000001,4.2620000000000005,4.0799,12.5861,0.8662877324117931,89.74436741767764,player history,4679.5,0.1573880749679184,0.0559263491474286,9.037563636363636,0.0,,,,35.0,3150.0,4.25,2.14639727,0.12142857142857143,0.06132563628571429,30.0,3.0,5.0,35.0,35.0,1.0,37.0,1.0,37.0,0.0,0.03,0.3979137564561784,0.3023979198869594,1,2,1.5720974480619654,1971.0,3.5,67.0,1.0050081070657415,12.3,0.9984810217456443,0,6.0
Semenyo,Semenyo (MCI),Man City,MID,8.5,24.9,437730,Antoine Semenyo,MCI,False,Semenyo,False,43.14,26.13,5.075294117647059,4.34,4.76,4.98,3.72,4.42,3.91,5.24,3.86,4.14,3.76,24.54,2.8870588235294115,4.75,3.98,4.81,3.29,4.47,3.24,-1.5899999999999999,,True,39.257000000000005,3.19,0.6930000000000001,4.4241,13.7822,0.7786003994252205,87.79676320272573,player history,4804.5,0.3634217510507411,0.1037104264970796,6.827091633466135,0.0,3.0,,,37.0,3200.0,11.07,3.14604341,0.31134375,0.08848247090625,73.0,17.0,6.0,37.0,37.0,1.0,221.0,3.0,73.66666666666667,0.27,0.38,0.3979137564561784,0.3023979198869594,1,2,1.5720974480619654,1971.0,3.5,67.0,1.0050081070657415,12.3,0.9984810217456443,0,8.5
Tzolis,Tzolis (ARS),Arsenal,MID,6.5,25.8,439509,Christos Tzolis,ARS,False,Tzolis,True,42.51,25.08,6.54,4.7,4.46,4.06,3.86,3.64,4.36,3.8,4.16,3.86,5.59,25.97,3.9953846153846153,5.37,3.82,4.18,4.14,3.91,4.55,0.8900000000000006,,True,35.189,4.21,3.111,4.9709,14.0719,0.8480050402767291,83.1,positional fallback,0.0,0.2803833916294282,0.1312037730133824,8.189865176177413,0.0,,,3.0,,,,,,,,,,,,,304.0,5.0,60.8,0.0,0.43,0.306541748174989,0.5456367033856973,2,1,1.7079738846388108,2064.0,2.5,101.0,0.7593381876414202,10.05,1.1953980873144028,0,6.5
Virgil,Virgil (LIV),Liverpool,DEF,6.5,19.6,97032,Virgil van Dijk,LIV,False,Virgil,False,42.28,26.03,6.504615384615385,4.47,4.43,4.99,4.61,3.84,3.69,3.77,4.49,3.68,4.32,25.380000000000003,3.904615384615385,3.99,4.56,4.62,4.64,3.96,3.61,-0.6499999999999986,,True,20.351,9.844,12.085,3.4869,10.3049,0.8846835529322771,89.77090032154341,player history,5085.0,0.1172932631492362,0.0320446956290269,9.791655405405406,0.0,,,,38.0,3420.0,3.7928,1.25552621,0.09981052631578947,0.03304016342105263,30.0,6.0,1.0,38.0,38.0,1.0,149.0,2.0,74.5,0.0,0.0,0.2217904378795187,-0.0207728027571259,4,13,1.3549493323437265,1911.0,6.0,51.0,1.4367612878896527,9.9,1.2427165780373892,0,6.5
Tarkowski,Tarkowski (EVE),Everton,DEF,6.0,8.8,17761,James Tarkowski,EVE,False,Tarkowski,False,41.79,26.130000000000003,6.965,4.4,4.25,3.46,4.05,5.03,4.94,3.96,2.87,3.87,4.96,24.03,4.005,4.34,3.58,3.38,3.3,4.79,4.64,-2.1000000000000014,,True,20.952999999999996,12.649000000000001,8.188,3.3792999999999997,9.96,0.9041250140537684,89.68909710391823,player history,4792.0,0.1214409380338814,0.0542294654388409,10.75546712802768,0.0,,,,37.0,3330.0,2.75,1.94008787,0.07432432432432433,0.0524348072972973,21.0,2.0,3.0,37.0,37.0,1.0,190.0,3.0,63.333333333333336,0.0,0.0,-0.0485965292955978,-0.0016800106760029,14,8,-0.3604498186276618,1803.0,251.0,13.0,1.3469411290581967,14.0,0.8592747333873535,0,6.0
Thiago,Thiago (BRE),Brentford,FWD,8.0,17.0,502500,Igor Thiago Nascimento Rodrigues,BRE,False,Thiago,False,41.7,25.049999999999997,5.2125,4.28,4.8,4.07,3.89,4.18,3.83,4.23,4.82,4.07,3.53,27.03,3.37875,4.78,4.31,5.11,4.37,4.44,4.02,1.980000000000004,,True,41.536,0.0,0.164,4.3697,12.707,0.7116792131535536,86.8761574074074,player history,3366.0,0.4112608516792323,0.0498728027061847,5.745501285347043,0.1901069518716577,1.0,,,38.0,3282.0,20.57,1.79870236,0.5640767824497258,0.04932456197440585,84.0,22.0,1.0,37.0,38.0,0.9736842105263158,71.0,2.0,71.0,1.88,0.08,0.1430094199147795,-0.010658247439459,7,9,-0.3895837925260162,1837.0,251.0,11.0,1.3527334738773589,13.0,0.9307068915414188,0,8.0
