gw,team,opp,venue,xGA,cs_prob
10,Arsenal,Hull,H,0.495,0.6204
1,Arsenal,Coventry,H,0.61,0.557
8,Arsenal,Everton,H,0.7025,0.5053
7,Man City,Ipswich,H,0.7255,0.501
6,Arsenal,Leeds,H,0.7291,0.492
3,Man City,Coventry,H,0.7509,0.4895
7,Fulham,Hull,H,0.7915,0.4715
5,Man City,Sunderland,H,0.7811,0.4686
4,Chelsea,Hull,H,0.8116,0.4632
4,Arsenal,Sunderland,A,0.8038,0.4593
5,Newcastle,Hull,H,0.8363,0.4528
3,Arsenal,Chelsea,H,0.8429,0.4419
2,Man United,Ipswich,H,0.9199,0.42
7,Arsenal,Nott'm Forest,A,0.9007,0.4194
5,Everton,Ipswich,H,0.937,0.4135
4,Crystal Palace,Ipswich,H,0.9408,0.4122
9,Man City,Brighton,H,0.9356,0.4051
10,Everton,Coventry,H,0.9703,0.4014
1,Man United,Hull,A,0.9763,0.4003
3,Aston Villa,Hull,A,0.9826,0.3979
5,Nott'm Forest,Coventry,H,0.9847,0.3962
5,Arsenal,Brighton,A,0.9616,0.3958
7,Brighton,Crystal Palace,H,0.9631,0.3944
6,Everton,Hull,A,0.9932,0.3936
2,Coventry,Hull,H,1.0503,0.3859
8,Brentford,Hull,A,1.0225,0.3836
2,Man City,Crystal Palace,A,1.0092,0.3784
2,Arsenal,Aston Villa,A,1.0145,0.3766
1,Man City,Bournemouth,H,1.0295,0.3706
1,Everton,Crystal Palace,H,1.0303,0.3702
7,Tottenham,Coventry,H,1.0634,0.37
3,Brentford,Sunderland,H,1.0395,0.3674
3,Fulham,Crystal Palace,H,1.0389,0.3673
7,Bournemouth,Sunderland,H,1.0685,0.3572
2,Sunderland,Fulham,H,1.0786,0.3535
3,Brighton,Leeds,H,1.0845,0.3522
6,Man United,Tottenham,H,1.1025,0.3461
9,Aston Villa,Fulham,H,1.1021,0.3456
10,Man City,Nott'm Forest,A,1.1067,0.3454
9,Arsenal,Liverpool,A,1.1093,0.3446
1,Sunderland,Ipswich,A,1.1452,0.344
4,Brighton,Coventry,A,1.1478,0.3438
4,Aston Villa,Nott'm Forest,H,1.1156,0.3414
5,Leeds,Crystal Palace,H,1.1217,0.3403
8,Sunderland,Leeds,H,1.12,0.3402
9,Tottenham,Crystal Palace,H,1.1293,0.3379
6,Crystal Palace,Nott'm Forest,H,1.1343,0.336
3,Nott'm Forest,Tottenham,H,1.1405,0.3342
4,Liverpool,Fulham,H,1.1375,0.3341
9,Sunderland,Coventry,A,1.1859,0.3323
2,Liverpool,Nott'm Forest,H,1.1523,0.33
6,Fulham,Ipswich,A,1.195,0.3295
1,Brentford,Tottenham,H,1.1563,0.3292
8,Chelsea,Tottenham,H,1.16,0.3281
8,Nott'm Forest,Ipswich,A,1.2045,0.3272
9,Brentford,Nott'm Forest,H,1.1629,0.3268
6,Sunderland,Brighton,H,1.1677,0.3259
3,Liverpool,Ipswich,A,1.2096,0.3255
1,Nott'm Forest,Leeds,H,1.1777,0.3228
2,Bournemouth,Everton,H,1.1809,0.3217
9,Newcastle,Everton,H,1.1872,0.3198
6,Brighton,Sunderland,A,1.1943,0.3188
1,Brighton,Aston Villa,H,1.1919,0.3187
10,Brighton,Brentford,H,1.1914,0.3186
8,Fulham,Coventry,A,1.2371,0.3177
10,Bournemouth,Ipswich,A,1.2561,0.3126
4,Tottenham,Everton,H,1.222,0.31
10,Leeds,Tottenham,H,1.2223,0.3099
