player,pos,team,cost,own,gw,mean,solio,blended,src,sd,defcon_ev,cs_ev,p5,median,p95
Haaland,FWD,Man City,15.5,74.4,1,7.539,6.61,7.074,blend(w_ours=0.5),6.182,0.0,0.0,0.0,7.353,18.06
Mbeumo,MID,Man United,8.0,20.2,1,6.866,6.64,6.753,blend(w_ours=0.5),5.802,0.0,0.394,0.0,5.627,18.344
B.Fernandes,MID,Man United,12.0,48.6,1,6.696,6.8,6.748,blend(w_ours=0.5),5.555,0.021,0.394,0.0,5.627,16.612
Saka,MID,Arsenal,9.5,10.8,1,5.762,,5.762,model,5.84,0.023,0.392,0.0,3.0,16.612
Gabriel,DEF,Arsenal,8.0,26.5,1,5.629,6.0,5.815,blend(w_ours=0.5),4.23,0.303,2.198,0.0,6.358,13.254
Cunha,MID,Man United,8.0,13.6,1,5.0,,5.0,model,5.001,0.008,0.336,0.0,3.0,14.717
Semenyo,MID,Man City,8.5,23.2,1,4.851,5.3,5.075,blend(w_ours=0.5),4.479,0.006,0.305,0.0,3.0,14.717
O'Reilly,DEF,Man City,6.5,22.5,1,4.68,,4.68,model,4.731,0.075,1.222,0.0,2.0,13.254
Palmer,MID,Chelsea,9.5,11.7,1,4.583,5.18,4.881,blend(w_ours=0.5),4.65,0.0,0.23,0.0,2.0,14.717
Thiago,FWD,Brentford,8.0,16.1,1,4.467,4.69,4.579,blend(w_ours=0.5),4.38,0.022,0.0,0.0,2.0,12.707
Guéhi,DEF,Man City,6.0,23.5,1,4.451,,4.451,model,3.942,0.08,1.477,0.0,2.0,13.254
Calafiori,DEF,Arsenal,5.5,16.8,1,4.45,4.52,4.485,blend(w_ours=0.5),4.499,0.093,1.679,0.0,2.0,13.254
Rice,MID,Arsenal,7.5,22.4,1,4.427,,4.427,model,3.71,0.119,0.507,0.0,3.0,11.985
Szoboszlai,MID,Liverpool,7.0,46.5,1,4.361,4.73,4.546,blend(w_ours=0.5),3.942,0.053,0.221,0.0,2.0,11.985
Amad,MID,Man United,6.0,1.6,1,4.293,,4.293,model,4.937,0.013,0.289,0.0,2.0,14.717
Mukiele,DEF,Sunderland,5.5,7.5,1,4.265,,4.265,model,3.433,0.738,1.428,0.0,4.0,9.985
Shaw,DEF,Man United,4.5,24.5,1,4.196,,4.196,model,3.436,0.281,1.675,0.0,3.0,9.985
Raya,GK,Arsenal,6.0,31.0,1,4.194,4.56,4.377,blend(w_ours=0.5),2.538,0.0,2.342,1.0,5.51,6.51
Dalot,DEF,Man United,5.0,3.0,1,4.186,4.5,4.343,blend(w_ours=0.5),3.983,0.041,1.469,0.0,2.0,12.254
Enzo,MID,Chelsea,7.0,5.5,1,4.132,,4.132,model,3.889,0.012,0.256,0.0,2.0,11.985
Cherki,MID,Man City,7.5,9.2,1,4.094,,4.094,model,4.704,0.043,0.212,0.0,2.0,13.985
Foden,MID,Man City,7.0,7.3,1,4.071,,4.071,model,4.605,0.007,0.228,0.0,2.0,14.717
Tzolis,MID,Arsenal,6.5,2.3,1,4.069,4.65,4.36,blend(w_ours=0.5),5.638,0.261,0.399,0.0,3.0,15.717
Eze,MID,Arsenal,6.5,3.2,1,4.042,,4.042,model,4.792,0.001,0.359,0.0,2.0,14.717
Isak,FWD,Liverpool,9.0,11.4,1,4.035,5.07,4.553,blend(w_ours=0.5),4.413,0.0,0.0,0.0,2.0,12.707
Hincapie,DEF,Arsenal,5.5,4.2,1,4.026,,4.026,model,3.858,0.455,1.607,0.0,3.0,10.031
Gvardiol,DEF,Man City,5.5,12.6,1,3.962,,3.962,model,3.953,0.004,1.22,0.0,2.0,12.254
Havertz,FWD,Arsenal,7.5,3.8,1,3.946,4.52,4.233,blend(w_ours=0.5),4.912,0.0,0.0,0.0,2.0,12.707
Wirtz,MID,Liverpool,7.5,12.6,1,3.883,4.58,4.232,blend(w_ours=0.5),4.111,0.052,0.196,0.0,2.0,11.985
Rogers,MID,Chelsea,7.5,28.8,1,3.87,,3.87,model,3.4,0.007,0.268,0.0,2.0,9.358
Ballard,DEF,Sunderland,5.0,3.8,1,3.868,,3.868,model,3.579,0.873,1.162,0.0,3.0,9.896
Mosquera,DEF,Arsenal,5.5,15.7,1,3.816,5.54,4.678,blend(w_ours=0.5),3.718,0.499,1.492,0.0,2.0,8.896
Senesi,DEF,Tottenham,6.0,10.6,1,3.802,,3.802,model,3.1,1.104,0.798,0.0,3.0,8.896
Gibbs-White,MID,Nott'm Forest,8.0,11.6,1,3.799,5.36,4.58,blend(w_ours=0.5),3.572,0.003,0.259,0.0,2.0,9.358
Gyökeres,FWD,Arsenal,7.5,13.1,1,3.795,,3.795,model,4.299,0.0,0.0,0.0,2.0,12.707
João Pedro,FWD,Chelsea,7.5,54.9,1,3.782,4.8,4.291,blend(w_ours=0.5),3.902,0.0,0.0,0.0,2.0,12.707
Maguire,DEF,Man United,5.0,8.7,1,3.761,,3.761,model,3.744,0.116,1.434,0.0,2.0,10.896
Alderete,DEF,Sunderland,5.0,1.1,1,3.737,,3.737,model,3.478,0.789,1.236,0.0,3.0,8.896
Tarkowski,DEF,Everton,6.0,9.9,1,3.737,4.69,4.213,blend(w_ours=0.5),3.071,0.285,1.347,0.0,2.0,8.896
Ndiaye,MID,Everton,6.0,15.9,1,3.73,4.8,4.265,blend(w_ours=0.5),3.407,0.05,0.298,0.0,2.0,9.358
Schade,MID,Brentford,6.0,2.1,1,3.722,,3.722,model,4.169,0.004,0.217,0.0,2.0,11.985
Lacroix,DEF,Chelsea,6.0,11.7,1,3.701,,3.701,model,3.181,0.486,1.155,0.0,2.0,8.896
Virgil,DEF,Liverpool,6.5,16.5,1,3.671,,3.671,model,3.27,0.491,0.984,0.0,2.0,8.9
Anderson,MID,Man City,6.5,12.0,1,3.597,,3.597,model,2.832,0.419,0.305,0.0,3.0,9.358
Gakpo,MID,Liverpool,7.0,3.4,1,3.551,4.35,3.95,blend(w_ours=0.5),3.922,0.0,0.182,0.0,2.0,11.985
Lammens,GK,Man United,5.0,20.2,1,3.55,,3.55,model,2.556,0.0,1.834,0.0,2.0,6.51
Groß,MID,Brighton,5.5,9.3,1,3.53,4.53,4.03,blend(w_ours=0.5),3.431,0.005,0.251,0.0,2.0,9.358
E.Le Fée,MID,Sunderland,6.0,12.8,1,3.482,4.42,3.951,blend(w_ours=0.5),2.914,0.409,0.321,0.0,3.0,9.358
Keane,DEF,Everton,5.0,1.6,1,3.427,,3.427,model,3.333,0.517,1.164,0.0,2.0,8.896
Rashford,MID,Man United,7.0,1.4,1,3.415,,3.415,model,4.722,0.0,0.221,0.0,2.0,12.985
Bruno G.,MID,Newcastle,7.0,10.0,1,3.385,,3.385,model,3.029,0.005,0.192,0.0,2.0,9.259
Watkins,FWD,Aston Villa,8.0,12.7,1,3.385,4.39,3.887,blend(w_ours=0.5),3.515,0.0,0.0,0.0,2.0,10.98
Thiaw,DEF,Newcastle,5.0,2.0,1,3.382,,3.382,model,3.459,0.739,0.67,0.0,2.0,9.896
Ødegaard,MID,Arsenal,6.5,2.9,1,3.378,,3.378,model,3.907,0.003,0.332,0.0,2.0,11.985
O.Dango,MID,Brentford,6.5,1.4,1,3.376,4.29,3.833,blend(w_ours=0.5),3.99,0.008,0.184,0.0,2.0,11.985
Doku,MID,Man City,7.5,6.4,1,3.357,,3.357,model,3.737,0.006,0.23,0.0,2.0,10.254
Xhaka,MID,Sunderland,5.5,5.6,1,3.352,,3.352,model,2.662,0.617,0.309,0.0,3.0,8.627
Calvert-Lewin,FWD,Leeds,6.0,24.1,1,3.321,,3.321,model,3.499,0.0,0.0,0.0,2.0,10.98
Muñoz,DEF,Crystal Palace,5.5,11.6,1,3.307,,3.307,model,3.243,0.025,1.063,0.0,2.0,8.896
Hume,DEF,Sunderland,4.5,2.9,1,3.299,,3.299,model,3.232,0.205,1.209,0.0,2.0,8.896
Ampadu,MID,Leeds,5.5,1.6,1,3.296,,3.296,model,2.589,0.798,0.226,0.0,3.0,8.358
Sarr,MID,Crystal Palace,6.5,8.8,1,3.279,,3.279,model,3.556,0.001,0.24,0.0,2.0,9.358
Matheus N.,DEF,Man City,6.0,4.8,1,3.276,,3.276,model,3.233,0.045,1.19,0.0,2.0,9.254
Collins,DEF,Brentford,5.5,2.0,1,3.248,,3.248,model,3.191,0.215,1.071,0.0,2.0,8.896
Mateta,FWD,Crystal Palace,6.5,6.8,1,3.246,,3.246,model,3.735,0.0,0.0,0.0,2.0,12.707
Palestra,DEF,Chelsea,5.5,1.8,1,3.229,,3.229,model,3.793,0.506,0.918,0.0,2.0,8.896
N.Williams,DEF,Nott'm Forest,5.0,12.5,1,3.224,4.5,3.862,blend(w_ours=0.5),3.19,0.111,1.052,0.0,2.0,8.896
Kayode,DEF,Brentford,4.5,3.8,1,3.221,,3.221,model,3.109,0.223,1.139,0.0,2.0,8.358
Merino,MID,Arsenal,6.0,1.2,1,3.209,,3.209,model,4.169,0.016,0.234,0.0,1.0,11.985
F.Kadıoğlu,DEF,Brighton,4.5,2.9,1,3.198,,3.198,model,3.087,0.113,1.072,0.0,2.0,8.896
Vuskovic,DEF,Brighton,5.0,2.9,1,3.192,,3.192,model,3.552,0.478,0.968,0.0,2.0,8.358
Roefs,GK,Sunderland,5.0,5.0,1,3.182,,3.182,model,2.536,0.0,1.56,0.0,2.0,6.51
Van Hecke,DEF,Tottenham,5.0,8.3,1,3.18,,3.18,model,2.954,0.506,0.867,0.0,2.0,8.896
Pickford,GK,Everton,5.5,8.9,1,3.171,,3.171,model,2.416,0.0,1.517,0.0,2.0,6.51
Struijk,DEF,Brighton,5.0,0.5,1,3.171,,3.171,model,3.212,0.529,0.941,0.0,2.0,8.896
Van den Berg,DEF,Brentford,5.0,0.7,1,3.167,,3.167,model,3.29,0.199,1.027,0.0,2.0,8.896
