player,pos,team,cost,own,0.0,0.25,0.5,0.75,1.0,range
Haaland,FWD,Man City,15.5,70.3,41.043,42.022,42.107,42.64,43.499,2.456
B.Fernandes,MID,Man United,12.0,44.9,37.155,35.017,34.11,33.899,33.812,3.343
Mbeumo,MID,Man United,8.0,13.6,34.362,33.41,33.509,33.412,32.459,1.903
Guéhi,DEF,Man City,6.0,26.1,30.695,28.548,27.2,26.234,25.847,4.848
Gabriel,DEF,Arsenal,8.0,23.3,30.691,28.584,27.806,26.653,26.516,4.176
Thiago,FWD,Brentford,8.0,20.2,29.648,28.498,27.512,25.993,25.154,4.494
Semenyo,MID,Man City,8.5,20.0,28.434,29.036,29.255,29.581,29.74,1.306
Saka,MID,Arsenal,9.5,11.4,28.266,28.496,28.55,29.42,29.588,1.322
Enzo,MID,Chelsea,7.0,5.5,28.037,27.352,27.062,26.243,26.143,1.894
O'Reilly,DEF,Man City,6.5,25.2,27.898,27.196,27.056,26.455,26.221,1.677
Ndiaye,MID,Everton,6.0,17.3,27.64,25.955,24.567,23.945,24.101,3.695
Tarkowski,DEF,Everton,6.0,12.9,27.585,25.301,23.366,22.185,21.536,6.049
Anderson,MID,Man City,6.5,12.6,27.515,24.77,22.579,20.91,20.559,6.956
Palmer,MID,Chelsea,9.5,13.1,26.413,27.837,28.979,30.049,31.366,4.953
Rice,MID,Arsenal,7.5,23.9,26.381,24.565,23.489,22.916,22.934,3.464
Senesi,DEF,Tottenham,6.0,15.7,26.27,24.952,23.598,22.24,21.365,4.904
Thiaw,DEF,Newcastle,5.0,2.7,25.755,25.913,26.19,25.668,26.042,0.521
Virgil,DEF,Liverpool,6.5,15.3,25.712,22.894,21.14,20.602,19.923,5.788
Schade,MID,Brentford,6.0,2.5,25.061,23.755,23.245,23.048,22.555,2.507
Muñoz,DEF,Crystal Palace,5.5,14.2,25.001,22.592,22.17,22.091,22.042,2.959
Garner,MID,Everton,6.0,3.9,24.719,22.811,21.244,20.117,19.198,5.521
Cunha,MID,Man United,8.0,14.5,24.609,24.657,25.479,26.079,25.996,1.47
Watkins,FWD,Aston Villa,8.0,15.3,24.505,24.175,24.281,24.199,23.875,0.63
Szoboszlai,MID,Liverpool,7.0,36.2,24.322,23.253,22.651,22.609,22.417,1.905
Lacroix,DEF,Crystal Palace,6.0,13.6,24.296,22.712,21.099,20.15,19.994,4.302
João Pedro,FWD,Chelsea,7.5,45.9,24.261,22.727,22.818,22.374,22.201,2.06
Keane,DEF,Everton,5.0,1.6,24.112,22.701,21.906,21.015,20.069,4.043
Struijk,DEF,Brighton,5.0,0.6,24.099,24.005,24.221,24.031,23.891,0.331
Wieffer,DEF,Brighton,5.0,0.5,23.954,20.846,18.803,16.931,15.991,7.963
Tavernier,MID,Bournemouth,6.0,1.8,23.891,22.645,22.5,21.653,21.364,2.527
Bruno G.,MID,Newcastle,7.0,9.5,23.674,22.511,22.265,22.366,22.783,1.409
Gibbs-White,MID,Nott'm Forest,8.0,13.5,23.655,23.478,23.848,23.807,23.757,0.37
Van den Berg,DEF,Brentford,5.0,0.7,23.447,21.277,19.84,19.247,18.945,4.502
Wirtz,MID,Liverpool,7.5,14.8,23.392,23.808,23.34,23.583,23.257,0.551
Richards,DEF,Crystal Palace,5.0,0.9,23.34,21.827,20.481,19.38,18.804,4.536
Rogers,MID,Chelsea,7.5,37.4,23.278,22.878,23.452,23.465,23.671,0.793
Grealish,MID,Man City,6.5,0.4,23.239,21.072,19.966,18.436,18.287,4.952
Gakpo,MID,Liverpool,7.0,4.4,23.122,22.795,22.741,22.293,22.106,1.016
Calafiori,DEF,Arsenal,5.5,11.7,23.092,21.602,20.387,19.394,18.832,4.26
Gvardiol,DEF,Man City,5.5,6.3,23.082,23.364,24.169,24.789,25.808,2.726
Van Hecke,DEF,Tottenham,5.0,8.1,23.058,20.551,19.146,18.143,17.734,5.324
Mateta,FWD,Crystal Palace,6.5,8.2,22.913,21.838,21.807,21.736,21.522,1.391
O.Dango,MID,Brentford,6.5,2.0,22.668,22.172,22.085,22.155,22.172,0.583
Calvert-Lewin,FWD,Leeds,6.0,16.4,22.606,22.072,21.319,20.548,20.942,2.057
Scott,MID,Bournemouth,6.0,1.6,22.488,20.687,18.841,17.411,16.496,5.992
Foden,MID,Man City,7.0,5.3,22.347,22.444,23.063,23.149,23.884,1.537
Botman,DEF,Newcastle,5.0,0.4,22.298,21.65,20.904,20.382,19.899,2.399
Collins,DEF,Brentford,5.5,2.5,22.283,20.5,19.032,18.664,18.363,3.92
Dewsbury-Hall,MID,Everton,6.5,5.3,22.262,20.493,19.209,17.901,17.14,5.122
Amad,MID,Man United,6.0,1.4,22.221,22.199,22.997,22.37,22.718,0.798
Ampadu,MID,Leeds,5.5,1.3,22.11,21.664,21.927,21.656,21.849,0.454
Cherki,MID,Man City,7.5,11.1,22.063,21.719,22.302,22.757,22.332,1.038
Truffert,DEF,Bournemouth,5.5,5.5,22.034,22.08,22.059,21.916,21.971,0.165
Shaw,DEF,Man United,4.5,14.5,21.934,20.853,20.47,19.932,19.511,2.423
Mukiele,DEF,Sunderland,5.5,9.5,21.867,22.123,22.183,22.061,22.333,0.466
Matheus N.,DEF,Man City,6.0,7.5,21.748,20.899,20.647,20.331,20.425,1.417
N.Williams,DEF,Nott'm Forest,5.0,9.4,21.72,20.149,19.386,18.727,18.424,3.296
Neto,MID,Chelsea,6.5,1.2,21.665,21.022,20.257,19.395,19.465,2.27
Raya,GK,Arsenal,6.0,29.0,21.645,22.006,22.248,22.282,22.254,0.637
O'Brien,DEF,Everton,5.0,0.6,21.477,20.48,19.395,19.113,18.792,2.685
Rúben,DEF,Man City,5.5,1.3,21.459,20.776,20.396,20.468,20.656,1.063
Mykolenko,DEF,Everton,4.5,1.9,21.432,19.903,19.327,19.055,19.102,2.377
Milenković,DEF,Nott'm Forest,5.5,2.7,21.393,20.162,19.365,19.52,19.537,2.028
Alderete,DEF,Sunderland,5.0,1.6,21.33,21.66,21.32,21.609,21.494,0.339
Maguire,DEF,Man United,5.0,6.2,21.118,18.856,17.377,17.017,16.606,4.512
Zubimendi,MID,Arsenal,5.5,1.2,20.887,20.814,20.962,20.691,20.758,0.272
Gyökeres,FWD,Arsenal,7.5,16.6,20.827,20.619,20.497,20.778,20.458,0.369
Dalot,DEF,Man United,5.0,3.7,20.819,19.97,20.052,20.199,20.421,0.849
Bassey,DEF,Fulham,4.5,0.5,20.803,18.366,17.684,17.38,17.19,3.613
Stach,MID,Leeds,6.0,1.3,20.793,20.893,20.942,20.951,20.776,0.176
Dunk,DEF,Brighton,4.5,0.7,20.73,19.369,18.645,18.188,17.908,2.822
Sessegnon,DEF,Fulham,4.5,0.5,20.717,19.379,18.626,17.678,16.931,3.786
Kayode,DEF,Brentford,4.5,5.7,20.602,19.767,18.852,18.205,18.024,2.578
Caicedo,MID,Chelsea,5.5,3.5,20.503,18.133,16.91,16.362,16.412,4.141
Aina,DEF,Nott'm Forest,4.5,4.3,20.469,18.594,18.262,18.019,17.991,2.478
Wood,FWD,Nott'm Forest,6.0,1.8,20.453,21.82,22.859,23.616,24.054,3.601
Rashford,MID,Man United,7.0,1.4,20.404,20.157,19.859,19.931,19.671,0.733
Mitchell,DEF,Crystal Palace,4.5,7.3,20.378,19.337,18.817,18.526,18.645,1.852
Chalobah,DEF,Chelsea,5.5,2.3,20.365,19.444,18.411,17.997,18.078,2.367
Ballard,DEF,Sunderland,5.0,2.3,20.218,20.302,20.218,20.528,20.27,0.31
Romero,DEF,Tottenham,5.0,0.8,20.162,18.861,17.916,17.42,16.731,3.431
Burn,DEF,Newcastle,5.0,2.3,20.09,18.807,17.84,17.797,17.997,2.293
F.Kadıoğlu,DEF,Brighton,4.5,3.0,20.08,20.151,19.955,19.482,19.482,0.669
Rayan,MID,Bournemouth,6.5,4.5,20.028,20.436,19.896,20.433,20.247,0.54
Evanilson,FWD,Bournemouth,6.0,2.0,19.999,21.133,21.439,21.952,22.776,2.777
Cash,DEF,Aston Villa,4.5,9.1,19.993,18.967,18.701,18.172,17.918,2.075
Doku,MID,Man City,7.5,7.7,19.973,18.622,18.715,18.455,17.757,2.216
Kroupi.Jr,MID,Bournemouth,7.5,19.3,19.921,20.411,20.176,20.116,20.203,0.49
Welbeck,FWD,Brighton,6.0,3.1,19.916,20.015,20.78,20.866,20.842,0.95
Fernandes,MID,Tottenham,6.0,5.4,19.727,17.999,17.271,16.902,16.922,2.825
Hincapie,DEF,Arsenal,5.5,6.3,19.688,19.746,19.573,19.723,19.949,0.376
Pedro Porro,DEF,Tottenham,5.5,23.2,19.671,18.095,17.268,17.098,16.893,2.778
Sarr,MID,Crystal Palace,6.5,9.7,19.459,20.008,20.378,21.112,21.316,1.858
Gomez,MID,Brighton,5.0,1.8,19.405,18.082,17.111,16.214,15.458,3.947
Wilson,MID,Leeds,6.5,10.7,19.242,18.355,17.833,17.261,17.31,1.981
Xhaka,MID,Sunderland,5.5,5.6,19.237,19.402,19.369,19.43,19.409,0.193
Woltemade,FWD,Newcastle,6.0,1.5,19.159,19.023,18.957,19.007,19.132,0.202
Rodon,DEF,Leeds,4.5,2.6,19.13,19.12,19.151,19.046,19.152,0.106
Donnarumma,GK,Man City,5.5,11.3,19.102,18.986,19.125,19.024,19.11,0.139
Hill,DEF,Bournemouth,5.5,1.9,19.06,17.889,17.408,16.794,16.231,2.829
Gomes,MID,Aston Villa,5.5,0.3,19.01,17.0,16.009,16.161,15.993,3.017
Iwobi,MID,Fulham,5.5,0.9,18.99,18.421,18.883,19.068,19.239,0.818
E.Le Fée,MID,Sunderland,6.0,3.3,18.953,19.192,19.187,19.147,19.006,0.24
Bogle,DEF,Leeds,4.5,0.5,18.903,18.848,18.796,19.083,18.703,0.38
Bijol,DEF,Leeds,5.0,0.4,18.769,18.925,18.867,18.851,19.125,0.356
Konsa,DEF,Aston Villa,4.5,16.9,18.718,18.132,17.792,17.655,17.749,1.063
Bentancur,MID,Tottenham,5.5,0.1,18.668,16.512,14.786,13.89,13.28,5.388
Damsgaard,MID,Brentford,5.5,0.7,18.665,18.104,17.709,18.038,17.786,0.956
Anthony,MID,Brentford,6.0,0.3,18.652,18.831,18.659,18.799,18.692,0.179
Hinshelwood,MID,Brighton,6.0,0.4,18.595,17.904,17.555,17.521,17.328,1.266
McGinn,MID,Aston Villa,5.5,2.6,18.515,17.826,17.382,16.973,17.376,1.542
Gravenberch,MID,Liverpool,6.0,1.5,18.449,17.546,16.901,16.943,16.916,1.548
Jensen,MID,Brentford,5.5,0.1,18.396,16.78,15.697,14.615,14.363,4.034
Groß,MID,Brighton,5.5,1.8,18.351,18.202,18.296,17.919,18.201,0.432
Robinson,DEF,Fulham,4.5,3.4,18.269,18.218,18.862,19.449,20.147,1.929
Eze,MID,Arsenal,6.5,3.1,18.261,20.127,21.38,22.353,23.377,5.116
Van de Ven,DEF,Tottenham,5.0,5.5,18.025,17.519,16.9,16.472,16.502,1.553
Hume,DEF,Sunderland,4.5,1.0,18.014,17.681,17.949,18.036,18.097,0.416
Gudmundsson,DEF,Leeds,4.5,0.7,18.002,17.805,17.406,17.576,17.821,0.595
Havertz,FWD,Arsenal,7.5,5.7,17.922,20.11,22.169,23.272,23.945,6.023
Hall,DEF,Newcastle,5.0,4.7,17.922,17.354,17.465,17.76,17.945,0.591
Tete,DEF,Fulham,4.5,0.2,17.87,16.96,16.396,16.217,16.203,1.667
Sangaré,MID,Nott'm Forest,5.0,0.3,17.773,16.239,15.176,14.548,13.684,4.09
Canvot,DEF,Crystal Palace,5.0,0.3,17.703,17.44,17.928,17.828,17.502,0.488
Pickford,GK,Everton,5.5,10.1,17.485,17.29,17.757,17.919,17.766,0.629
Mings,DEF,Aston Villa,4.5,0.2,17.401,16.412,16.127,16.065,16.0,1.402
Aaronson,MID,Leeds,5.5,0.7,17.284,17.324,17.64,17.439,17.645,0.361
Merino,MID,Arsenal,6.0,1.1,17.28,17.191,17.683,18.307,18.458,1.267
Mitoma,MID,Brighton,6.0,0.9,17.155,18.021,18.68,19.404,19.564,2.41
Mac Allister,MID,Liverpool,5.5,1.8,17.113,17.118,17.189,17.264,17.724,0.611
Lammens,GK,Man United,5.0,18.4,17.084,17.145,17.316,17.144,17.109,0.232
Barnes,MID,Newcastle,6.0,1.0,17.01,18.076,18.701,19.353,19.507,2.497
Reijnders,MID,Man City,6.0,0.3,16.977,17.43,17.147,17.18,17.189,0.452
Yarmoliuk,MID,Brentford,5.0,1.3,16.959,15.229,13.773,12.99,12.365,4.593
Isak,FWD,Liverpool,9.0,13.6,16.944,21.907,25.57,27.32,28.459,11.515
Minteh,MID,Brighton,6.0,0.8,16.902,16.515,16.486,17.003,16.643,0.518
Reinildo,DEF,Sunderland,4.5,0.8,16.777,16.811,17.045,16.913,16.98,0.268
Verbruggen,GK,Brighton,4.5,16.0,16.692,16.953,17.048,17.147,17.272,0.58
Okafor,MID,Leeds,6.0,1.1,16.596,16.378,16.668,17.042,16.553,0.665
Ayari,MID,Brighton,5.5,0.6,16.553,15.421,14.429,14.262,14.429,2.29
Khusanov,DEF,Man City,5.5,2.3,16.537,16.464,16.245,15.916,15.982,0.621
Brooks,MID,Bournemouth,5.0,0.2,16.536,15.919,15.315,15.021,15.037,1.515
Aït-Nouri,DEF,Man City,5.5,1.0,16.496,18.768,20.281,21.571,22.42,5.924
Branthwaite,DEF,Everton,5.5,2.4,16.459,15.782,16.33,16.838,17.075,1.293
Murillo,DEF,Nott'm Forest,5.5,0.1,16.435,14.789,13.865,13.687,13.745,2.748
Danso,DEF,Tottenham,5.0,0.2,16.429,15.732,15.091,14.862,14.484,1.945
Adams,MID,Bournemouth,5.0,0.7,16.326,14.259,13.654,12.988,12.909,3.417
Gusto,DEF,Chelsea,5.0,1.2,16.283,15.461,15.162,15.011,15.134,1.272
Kamada,MID,Crystal Palace,5.0,0.3,16.232,14.015,13.146,12.432,12.208,4.024
James,DEF,Chelsea,5.5,8.1,16.222,15.347,14.779,14.401,14.025,2.197
Sadiki,MID,Sunderland,5.0,0.5,16.213,16.286,16.199,16.228,16.257,0.088
Diarra,MID,Sunderland,5.5,0.1,16.207,16.226,16.444,16.552,16.275,0.345
Martinez,DEF,Man United,5.0,2.6,16.155,16.299,17.225,17.764,18.416,2.261
Justin,DEF,Leeds,4.5,0.6,16.145,14.846,14.337,14.189,14.333,1.956
Buendía,MID,Aston Villa,6.0,0.8,16.142,15.828,15.1,14.581,14.246,1.896
Berge,MID,Fulham,5.0,0.4,16.081,14.715,13.632,13.165,12.956,3.125
Šeško,FWD,Man United,7.0,2.8,16.053,15.999,16.038,16.228,15.795,0.433
Leno,GK,Fulham,4.5,3.4,15.845,16.086,16.312,16.353,16.296,0.507
Gallagher,MID,Tottenham,5.5,0.2,15.748,15.8,15.538,15.849,15.588,0.311
Beto,FWD,Everton,5.5,3.3,15.739,15.826,16.407,16.327,16.52,0.781
Yoro,DEF,Man United,5.0,0.5,15.671,14.701,13.881,13.323,13.178,2.492
C.Jones,MID,Liverpool,5.5,0.1,15.666,15.064,14.756,14.52,14.338,1.328
Kelleher,GK,Brentford,5.0,5.8,15.622,15.755,15.402,15.775,15.837,0.435
Yeremy,MID,Crystal Palace,5.5,0.2,15.58,15.665,15.584,15.316,15.724,0.408
Roefs,GK,Sunderland,5.0,6.7,15.579,15.612,15.843,15.343,15.63,0.5
Estêvão,MID,Chelsea,6.5,1.5,15.572,15.449,15.502,15.413,15.643,0.23
Tielemans,MID,Man United,6.0,1.1,15.553,14.706,14.369,14.529,14.531,1.184
Richarlison,FWD,Tottenham,6.0,1.4,15.542,15.248,15.399,14.671,14.696,0.871
Morato,DEF,Nott'm Forest,5.0,0.0,15.483,13.774,12.332,11.469,10.737,4.746
Tonali,MID,Tottenham,5.5,3.0,15.471,14.802,14.911,15.058,14.96,0.669
Martinez,GK,Aston Villa,5.0,3.8,15.44,15.769,15.774,15.824,15.744,0.385
Osula,FWD,Newcastle,6.0,2.4,15.298,14.225,13.883,13.537,12.861,2.437
Sels,GK,Nott'm Forest,5.0,1.6,15.253,15.717,15.89,16.182,16.423,1.17
Castagne,DEF,Fulham,4.5,0.2,15.249,14.13,13.651,13.457,13.636,1.792
J.Murphy,MID,Newcastle,6.0,0.2,15.229,16.346,17.66,18.341,18.655,3.426
Solanke,FWD,Tottenham,6.0,3.9,15.213,17.329,18.834,20.124,20.635,5.422
