player_code,display_name,unique_label,player,team,pos,price,ep,in_xi,is_captain
95658,Maguire,Maguire (MUN),Maguire,Man United,DEF,5.0,5.266,True,False
97032,Virgil,Virgil (LIV),Virgil,Liverpool,DEF,6.5,4.125,False,False
141746,B.Fernandes,B.Fernandes (MUN),B.Fernandes,Man United,MID,12.0,7.936,True,True
154561,Raya,Raya (ARS),Raya,Arsenal,GK,6.0,4.222,True,False
177815,Calvert-Lewin,Calvert-Lewin (LEE),Calvert-Lewin,Leeds,FWD,6.0,4.089,True,False
204936,Donnarumma,Donnarumma (MCI),Donnarumma,Man City,GK,5.5,3.351,False,False
215379,Anderson,Anderson (MCI),Anderson,Man City,MID,6.5,4.771,True,False
226597,Gabriel,Gabriel (ARS),Gabriel,Arsenal,DEF,8.0,6.465,True,False
437499,Lacroix,Lacroix (CHE),Lacroix,Chelsea,DEF,6.0,4.682,False,False
439509,Tzolis,Tzolis (ARS),Tzolis,Arsenal,MID,6.5,5.102,True,False
446008,Mbeumo,Mbeumo (MUN),Mbeumo,Man United,MID,8.0,7.747,True,False
477424,Gvardiol,Gvardiol (MCI),Gvardiol,Man City,DEF,5.5,5.264,True,False
502500,Thiago,Thiago (BRE),Thiago,Brentford,FWD,8.0,5.142,True,False
513418,Schade,Schade (BRE),Schade,Brentford,MID,6.0,4.89,True,False
631786,Kusi-Asare,Kusi-Asare (FUL),Kusi-Asare,Fulham,FWD,4.5,1.945,False,False
