gw,player_code,display_name,team,pos,price,ep,in_xi,is_captain
1,17761,Tarkowski,Everton,DEF,6.0,4.981,True,False
1,97032,Virgil,Liverpool,DEF,6.5,4.421,True,False
1,141746,B.Fernandes,Man United,MID,12.0,7.65,True,True
1,154561,Raya,Arsenal,GK,6.0,4.285,True,False
1,209036,Guéhi,Man City,DEF,6.0,4.547,True,False
1,226597,Gabriel,Arsenal,DEF,8.0,6.232,True,False
1,424876,Szoboszlai,Liverpool,MID,7.0,4.389,True,False
1,439509,Tzolis,Arsenal,MID,6.5,4.968,True,False
1,440993,Ndiaye,Everton,MID,6.0,3.973,False,False
1,446008,Mbeumo,Man United,MID,8.0,7.166,True,False
1,477424,Gvardiol,Man City,DEF,5.5,5.021,True,False
1,489639,Verbruggen,Brighton,GK,4.5,2.977,False,False
1,502500,Thiago,Brentford,FWD,8.0,5.242,True,False
1,557012,Walle Egeli,Ipswich,FWD,4.5,1.766,False,False
1,631786,Kusi-Asare,Fulham,FWD,4.5,1.599,False,False
2,17761,Tarkowski,Everton,DEF,6.0,3.763,True,False
2,97032,Virgil,Liverpool,DEF,6.5,4.523,True,False
2,141746,B.Fernandes,Man United,MID,12.0,5.826,True,True
2,154561,Raya,Arsenal,GK,6.0,3.343,True,False
2,209036,Guéhi,Man City,DEF,6.0,4.741,True,False
2,226597,Gabriel,Arsenal,DEF,8.0,4.636,True,False
2,424876,Szoboszlai,Liverpool,MID,7.0,3.804,True,False
2,439509,Tzolis,Arsenal,MID,6.5,4.019,True,False
2,440993,Ndiaye,Everton,MID,6.0,3.895,True,False
2,446008,Mbeumo,Man United,MID,8.0,5.422,True,False
2,477424,Gvardiol,Man City,DEF,5.5,3.711,False,False
2,489639,Verbruggen,Brighton,GK,4.5,2.409,False,False
2,502500,Thiago,Brentford,FWD,8.0,4.045,True,False
2,557012,Walle Egeli,Ipswich,FWD,4.5,1.119,False,False
2,631786,Kusi-Asare,Fulham,FWD,4.5,1.748,False,False
3,17761,Tarkowski,Everton,DEF,6.0,3.412,True,False
3,97032,Virgil,Liverpool,DEF,6.5,5.126,True,False
3,154561,Raya,Arsenal,GK,6.0,3.194,True,False
3,209036,Guéhi,Man City,DEF,6.0,5.339,True,False
3,223094,Haaland,Man City,FWD,15.5,7.183,True,True
3,226597,Gabriel,Arsenal,DEF,8.0,4.379,True,False
3,424876,Szoboszlai,Liverpool,MID,7.0,4.215,True,False
3,439509,Tzolis,Arsenal,MID,6.5,4.071,True,False
3,440993,Ndiaye,Everton,MID,6.0,3.852,True,False
3,446008,Mbeumo,Man United,MID,8.0,4.304,True,False
3,477424,Gvardiol,Man City,DEF,5.5,4.216,True,False
3,489639,Verbruggen,Brighton,GK,4.5,2.964,False,False
3,514254,D. Gomez (BHA),Brighton,MID,5.0,2.157,False,False
3,557012,Walle Egeli,Ipswich,FWD,4.5,1.195,False,False
3,631786,Kusi-Asare,Fulham,FWD,4.5,1.87,False,False
4,17761,Tarkowski,Everton,DEF,6.0,4.015,True,False
4,97032,Virgil,Liverpool,DEF,6.5,4.581,True,False
4,154561,Raya,Arsenal,GK,6.0,3.542,True,False
4,209036,Guéhi,Man City,DEF,6.0,3.756,True,False
4,223094,Haaland,Man City,FWD,15.5,5.634,True,True
4,226597,Gabriel,Arsenal,DEF,8.0,4.536,True,False
4,424876,Szoboszlai,Liverpool,MID,7.0,3.937,True,False
4,437499,Lacroix,Chelsea,DEF,6.0,5.123,True,False
4,439509,Tzolis,Arsenal,MID,6.5,3.837,True,False
4,440993,Ndiaye,Everton,MID,6.0,3.928,True,False
4,446008,Mbeumo,Man United,MID,8.0,3.932,True,False
4,489639,Verbruggen,Brighton,GK,4.5,3.102,False,False
4,514254,D. Gomez (BHA),Brighton,MID,5.0,2.12,False,False
4,557012,Walle Egeli,Ipswich,FWD,4.5,1.046,False,False
