player_code,display_name,pos,team,price,own,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,EV,o,peak,valley
154561,Raya,GK,Arsenal,6.0,38.0,3.158,3.602,3.313,3.693,3.361,3.659,2.982,4.408,3.351,3.006,3.032,3.448,3.435,3.15,3.617,3.326,54.541000000000004,0,GW7-10 (14.4),GW11-14 (12.8)
489639,Verbruggen,GK,Brighton,4.5,21.5,2.896,3.043,2.401,2.92,3.321,2.224,1.84,2.69,3.464,3.018,2.298,2.631,2.979,3.485,2.612,2.715,44.537,0,GW15-18 (11.8),GW7-10 (10.1)
226597,Gabriel,DEF,Arsenal,8.0,27.9,4.529,4.752,4.451,5.232,4.514,5.021,4.355,6.227,4.788,4.151,4.401,4.834,4.89,4.582,4.767,4.646,76.13999999999999,1,GW8-11 (20.4),GW11-14 (18.2)
209036,Guéhi,DEF,Man City,6.0,19.4,5.55,3.792,5.142,3.995,5.722,4.241,4.822,4.238,4.852,3.365,5.01,3.972,4.602,6.397,4.607,4.222,74.529,1,GW13-16 (20.0),GW12-15 (16.9)
97032,Virgil,DEF,Liverpool,6.5,18.8,4.726,4.596,3.848,3.574,3.765,4.541,3.721,4.336,3.914,4.006,4.889,3.652,4.738,4.879,5.445,3.953,68.583,1,GW15-18 (19.0),GW6-9 (15.6)
17761,Tarkowski,DEF,Everton,6.0,9.7,3.576,4.113,5.153,5.156,4.049,3.03,4.096,5.153,3.562,4.048,3.862,4.443,3.792,3.884,4.727,3.495,66.13900000000001,1,GW4-7 (18.5),GW8-11 (15.8)
477424,Gvardiol,DEF,Man City,5.6,16.4,4.469,2.939,4.035,3.144,4.547,3.425,3.716,3.442,3.879,2.57,4.003,3.234,3.663,5.132,3.628,3.334,59.16,1,GW13-16 (16.0),GW12-15 (13.5)
446008,Mbeumo,MID,Man United,8.0,32.3,4.41,3.922,4.201,5.425,4.457,5.002,4.26,4.897,4.393,4.765,4.691,6.044,4.222,3.194,4.825,4.91,73.618,2,GW11-14 (19.9),GW15-18 (17.2)
439509,Tzolis,MID,Arsenal,6.5,25.6,4.012,3.865,3.731,4.446,3.808,4.293,3.955,5.61,4.189,3.595,3.792,4.125,4.397,4.187,3.969,3.863,65.837,2,GW8-11 (18.0),GW11-14 (15.7)
440993,Ndiaye,MID,Everton,6.0,15.2,3.95,4.018,4.714,4.688,4.106,3.292,4.038,4.714,3.806,4.197,3.805,4.145,3.665,3.778,4.142,3.631,64.689,2,GW4-7 (17.5),GW15-18 (15.2)
201658,Tavernier,MID,Bournemouth,6.0,2.5,3.63,3.604,3.66,3.229,3.558,3.102,3.65,3.741,3.553,3.183,3.333,4.861,2.562,4.175,3.403,3.193,56.437,2,GW14-17 (15.0),GW15-18 (13.3)
513545,M.Sangaré,MID,Brentford,5.6,10.6,3.97,3.097,3.395,3.06,3.38,3.935,3.347,2.946,3.342,2.964,2.756,2.877,3.104,3.644,3.52,3.525,52.862,2,GW15-18 (13.8),GW12-15 (11.7)
223094,Haaland,FWD,Man City,15.5,69.5,8.041,5.68,6.44,5.897,8.109,5.639,6.073,5.553,6.545,4.197,6.892,5.735,6.726,9.686,6.416,5.628,103.257,3,GW13-16 (29.0),GW9-12 (22.4)
177815,Calvert-Lewin,FWD,Leeds,6.0,27.3,2.933,3.536,3.218,2.496,3.262,2.975,3.097,3.455,2.986,3.758,2.631,3.739,3.04,3.216,2.992,3.818,51.152,3,GW9-12 (13.3),GW6-9 (11.8)
631786,Kusi-Asare,FWD,Fulham,4.5,6.8,1.505,1.484,1.624,1.552,2.031,1.629,1.435,1.727,1.277,1.613,1.496,1.45,1.593,1.476,1.503,1.33,24.725,3,GW5-8 (6.8),GW11-14 (5.8)
