rank,player,pos,team,status,cost_m,own,nfix,exp_starts,mean,sd,p5,p25,median,p75,p95,pts_per_fix,pts_per_m,p_ceiling,p_floor,cold_start,adj_delta,adj_total,gw_from,gw_to,id
1.0,Haaland,FWD,Man City,projected,15.5,74.8,6,5.06,44.15,18.325,17.24,31.413,42.12,54.826,76.145,7.358,2.848,0.64,0.017,False,0.0,44.15,1,6,411
2.0,B.Fernandes,MID,Man United,projected,12.0,48.7,6,5.2,35.493,15.213,15.254,24.344,33.187,43.971,64.145,5.915,2.958,0.429,0.029,False,0.0,35.493,1,6,426
3.0,Dasilva,MID,Brentford,projected,5.0,0.0,6,2.63,32.164,26.557,0.0,11.358,26.396,46.151,83.607,5.361,6.433,0.37,0.259,True,0.0,32.164,1,6,-1
4.0,Nyoni,MID,Liverpool,projected,5.0,0.1,6,2.63,31.057,27.808,1.0,9.907,23.799,45.375,85.961,5.176,6.211,0.342,0.301,True,0.0,31.057,1,6,-1
5.0,Thiago,FWD,Brentford,projected,8.0,16.0,6,5.47,30.909,12.336,13.613,22.707,28.06,38.766,54.826,5.151,3.864,0.305,0.037,False,0.0,30.909,1,6,106
6.0,Semenyo,MID,Man City,projected,8.5,22.5,6,5.47,30.707,12.817,13.627,21.358,28.612,38.702,54.778,5.118,3.613,0.288,0.036,False,0.0,30.707,1,6,397
7.0,Maddison,MID,Tottenham,projected,6.5,2.0,6,3.53,30.212,23.83,3.0,12.0,24.799,40.692,80.603,5.035,4.648,0.31,0.253,True,0.0,30.212,1,6,-1
8.0,Mbeumo,MID,Man United,projected,8.0,18.1,6,4.65,30.18,14.794,10.0,18.358,28.344,38.983,56.518,5.03,3.772,0.308,0.082,False,0.0,30.18,1,6,427
9.0,Enzo,MID,Chelsea,projected,7.0,5.5,6,5.2,28.557,12.592,12.0,19.254,26.612,35.598,52.151,4.76,4.08,0.238,0.058,False,0.0,28.557,1,6,155
10.0,Anderson,MID,Man City,projected,6.5,11.9,6,5.47,28.123,9.494,16.0,21.627,26.627,32.717,45.442,4.687,4.327,0.167,0.016,False,0.0,28.123,1,6,481
11.0,Guéhi,DEF,Man City,projected,6.0,23.8,6,5.2,28.116,11.499,12.358,20.254,26.613,34.061,48.333,4.686,4.686,0.208,0.046,False,0.0,28.116,1,6,388
12.0,Saka,MID,Arsenal,projected,9.5,10.6,6,3.82,27.479,14.708,8.614,16.627,24.717,36.065,54.234,4.58,2.892,0.251,0.12,False,0.0,27.479,1,6,12
13.0,O'Reilly,DEF,Man City,projected,6.5,22.7,6,4.37,26.851,13.635,8.358,16.717,24.926,34.136,53.663,4.475,4.131,0.216,0.125,False,0.0,26.851,1,6,387
14.0,Gabriel,DEF,Arsenal,projected,8.0,26.2,6,4.51,26.755,11.032,10.358,18.717,26.075,33.971,45.792,4.459,3.344,0.188,0.069,False,0.0,26.755,1,6,4
15.0,Tarkowski,DEF,Everton,projected,6.0,9.9,6,5.47,25.383,8.966,12.358,19.358,24.717,30.613,40.617,4.23,4.23,0.106,0.047,False,0.0,25.383,1,6,229
16.0,Watkins,FWD,Aston Villa,projected,8.0,12.5,6,4.92,25.359,11.311,9.353,17.353,24.06,31.687,45.487,4.227,3.17,0.173,0.106,False,0.0,25.359,1,6,55
17.0,Rice,MID,Arsenal,projected,7.5,22.4,6,5.2,25.113,9.341,12.0,18.627,23.358,30.254,41.711,4.185,3.348,0.124,0.051,False,0.0,25.113,1,6,13
18.0,Virgil,DEF,Liverpool,projected,6.5,16.2,6,5.61,24.54,9.33,11.0,17.896,23.889,29.814,40.867,4.09,3.775,0.125,0.076,False,0.0,24.54,1,6,356
19.0,Schade,MID,Brentford,projected,6.0,2.2,6,4.78,24.535,11.602,9.0,16.358,22.717,31.075,45.806,4.089,4.089,0.157,0.126,False,0.0,24.535,1,6,94
20.0,João Pedro,FWD,Chelsea,projected,7.5,54.3,6,4.65,24.461,11.453,8.0,16.353,22.707,31.413,43.12,4.077,3.261,0.161,0.129,False,0.0,24.461,1,6,165
21.0,Gakpo,MID,Liverpool,projected,7.0,3.5,6,4.78,24.382,12.098,9.0,15.627,22.12,31.075,45.824,4.064,3.483,0.16,0.131,False,0.0,24.382,1,6,367
22.0,Thiaw,DEF,Newcastle,projected,5.0,2.0,6,4.92,24.136,10.812,9.0,16.358,22.717,30.613,42.867,4.023,4.827,0.13,0.115,False,0.0,24.136,1,6,445
23.0,Gibbs-White,MID,Nott'm Forest,projected,8.0,11.6,6,5.2,24.1,11.065,10.0,16.358,22.358,29.706,44.792,4.017,3.013,0.134,0.115,False,0.0,24.1,1,6,480
24.0,Senesi,DEF,Tottenham,projected,6.0,10.8,6,5.47,23.857,7.903,12.0,18.358,22.985,28.706,38.15,3.976,3.976,0.079,0.052,False,0.0,23.857,1,6,498
25.0,Lacroix,DEF,Chelsea,projected,6.0,11.9,6,5.2,23.849,8.88,11.0,17.358,23.075,29.075,38.635,3.975,3.975,0.083,0.076,False,0.0,23.849,1,6,200
26.0,Ndiaye,MID,Everton,projected,6.0,16.4,6,4.78,23.748,10.459,10.0,16.627,22.306,29.344,43.434,3.958,3.958,0.114,0.103,False,0.0,23.748,1,6,237
27.0,Calvert-Lewin,FWD,Leeds,projected,6.0,23.0,6,4.51,23.443,10.475,8.0,15.353,22.707,29.413,42.133,3.907,3.907,0.127,0.144,False,0.0,23.443,1,6,346
28.0,Szoboszlai,MID,Liverpool,projected,7.0,47.1,6,5.33,22.919,8.59,11.0,17.0,21.627,27.254,39.088,3.82,3.274,0.077,0.079,False,0.0,22.919,1,6,368
29.0,Gyökeres,FWD,Arsenal,projected,7.5,13.0,6,3.96,22.847,12.707,6.0,13.353,20.707,30.707,45.747,3.808,3.046,0.154,0.22,False,0.0,22.847,1,6,25
30.0,Tavernier,MID,Bournemouth,projected,6.0,1.9,6,4.65,22.771,10.465,8.95,14.627,21.0,29.239,42.136,3.795,3.795,0.12,0.163,False,0.0,22.771,1,6,68
31.0,Rogers,MID,Chelsea,projected,7.5,29.9,6,5.47,22.413,9.005,11.0,15.254,21.254,27.612,39.434,3.736,2.988,0.079,0.108,False,0.0,22.413,1,6,40
32.0,Nelson,MID,Arsenal,projected,5.5,0.0,6,2.93,22.405,21.313,2.0,8.0,15.358,30.717,66.226,3.734,4.074,0.196,0.395,True,0.0,22.405,1,6,-1
33.0,Foden,MID,Man City,projected,7.0,7.6,6,3.55,22.269,12.998,5.596,12.627,20.299,29.075,47.06,3.712,3.181,0.139,0.233,False,0.0,22.269,1,6,398
34.0,Cunha,MID,Man United,projected,8.0,14.1,6,4.37,21.83,11.138,7.0,13.56,19.986,27.971,42.366,3.638,2.729,0.116,0.203,False,0.0,21.83,1,6,428
35.0,Struijk,DEF,Brighton,projected,5.0,0.5,6,4.92,21.653,8.839,9.0,15.358,20.717,26.736,37.675,3.609,4.331,0.071,0.131,False,0.0,21.653,1,6,328
36.0,Raya,GK,Arsenal,projected,6.0,30.9,6,5.47,21.612,6.43,11.51,17.019,21.528,25.528,32.548,3.602,3.602,0.01,0.073,False,0.0,21.612,1,6,1
37.0,Scott,MID,Bournemouth,projected,6.0,1.6,6,5.06,21.576,8.045,11.0,16.0,20.358,25.358,36.344,3.596,3.596,0.053,0.096,False,0.0,21.576,1,6,69
38.0,Van Hecke,DEF,Tottenham,projected,5.0,8.3,6,5.33,21.54,8.649,9.0,15.358,20.717,26.613,36.805,3.59,4.308,0.058,0.134,False,0.0,21.54,1,6,112
39.0,Alleyne,DEF,Man City,projected,5.0,0.0,6,3.53,21.194,17.741,2.0,10.0,17.717,26.075,56.093,3.532,4.239,0.134,0.316,True,0.0,21.194,1,6,-1
40.0,Keane,DEF,Everton,projected,5.0,1.5,6,4.37,21.188,9.162,8.358,14.56,20.254,26.818,37.514,3.531,4.238,0.071,0.165,False,0.0,21.188,1,6,231
41.0,Wirtz,MID,Liverpool,projected,7.5,12.4,6,4.1,21.169,11.45,6.596,13.0,18.881,26.639,43.061,3.528,2.823,0.115,0.223,False,0.0,21.169,1,6,366
42.0,Rashford,MID,Man United,projected,7.0,1.4,6,3.83,21.081,20.473,3.0,9.0,14.627,25.717,64.042,3.514,3.012,0.153,0.406,True,0.0,21.081,1,6,-1
