player,pos,team,cost,own,gw,mean,solio,blended,src,sd,defcon_ev,cs_ev,p5,median,p95,opponent,is_home,lam_for,lam_against,opp_att_strength,opp_def_strength,opp_att_rank,opp_def_rank,own_att_strength,own_def_strength,attack_ease,clean_sheet_prob,player_code,cold_start,minutes_prior,p_start_prior,npxgi_rate90,xa_rate90,defcon_rate90,pen_xg90,exp_minutes_src,npxgi_alpha,npxgi_beta,xa_alpha,xa_beta,defcon_alpha,defcon_beta,start_a,start_b,sub_app_rate,exp_minutes,pen_order,fk_order,corner_order
Haaland,FWD,Man City,15.5,73.5,1,7.162,6.61,6.886,blend(w_ours=0.5),5.982,0.0,0.0,0.0,7.353,18.06,Bournemouth,1,2.1225069613908025,1.109835034128053,0.10826347076159326,-0.05559135062668036,6,14,0.34937094255506673,0.2997093233993791,1.472981818010214,0.32961333154107314,223094,False,4323.5,0.8976279650436954,0.7214946451485689,0.08257095451167164,2.3725522911010333,0.1,player history,26.426344699999998,36.62722222222222,3.0243446999999994,36.62722222222222,86.9,36.62722222222222,35.949999999999996,4.1000000000000005,0.038834951456310676,87.19649446494465,1.0,,
B.Fernandes,MID,Man United,12.0,48.1,1,6.803,6.8,6.801,blend(w_ours=0.5),5.722,0.02,0.388,0.0,5.627,18.344,Hull,0,2.733033499913808,0.866082845793049,-0.4634137271367569,-0.46420343043910733,20,20,0.2414384945073154,0.03815348189021553,1.8966763014750996,0.42059586548887884,141746,False,4577.0,0.9087591240875912,0.4885137726186706,0.2983658121131869,5.857681568266213,0.1,player history,18.856088829999997,38.59888888888889,11.51658883,38.59888888888889,226.09999999999997,38.59888888888889,37.349999999999994,3.7500000000000018,0.04716981132075472,88.00124555160141,1.0,1.0,1.0
Mbeumo,MID,Man United,8.0,25.8,1,6.582,6.64,6.611,blend(w_ours=0.5),5.658,0.0,0.378,0.0,5.627,16.612,Hull,0,2.733033499913808,0.866082845793049,-0.4634137271367569,-0.46420343043910733,20,20,0.2414384945073154,0.03815348189021553,1.8966763014750996,0.42059586548887884,446008,False,4318.5,0.9158415841584159,0.5068693263790826,0.19444733394069147,3.348061768323236,0.0,player history,18.545503869999997,36.58833333333333,7.114503869999999,36.58833333333333,122.5,36.58833333333333,37.0,3.3999999999999986,0.038461538461538464,85.40700179533215,,2.0,2.0
Saka,MID,Arsenal,9.5,10.6,1,5.647,,5.647,model,5.795,0.019,0.397,0.0,3.0,15.717,Coventry,1,2.412415862440209,0.6135278628829268,-0.24714999866925966,-0.2569973557142033,18,18,0.2714723575117312,0.5445571299369384,1.6741734031936522,0.5414373789610384,223340,False,3085.5,0.6842105263157894,0.5593103039570344,0.29562736056546696,5.704055805913946,0.1,player history,15.100446023,26.99833333333333,7.981446022999998,26.99833333333333,154.0,26.99833333333333,24.049999999999997,11.100000000000003,0.2696629213483146,85.04489247311827,1.0,2.0,2.0
Gabriel,DEF,Arsenal,8.0,27.0,1,5.356,6.0,5.678,blend(w_ours=0.5),4.001,0.269,2.14,0.0,6.358,13.254,Coventry,1,2.412415862440209,0.6135278628829268,-0.24714999866925966,-0.2569973557142033,18,18,0.2714723575117312,0.5445571299369384,1.6741734031936522,0.5414373789610384,226597,False,3932.5,0.8770718232044199,0.1490110735489207,0.054969224239517,6.764701017285584,0.0,player history,5.004702473,33.58611111111111,1.846202473,33.58611111111111,227.2,33.58611111111111,31.749999999999996,4.449999999999999,0.07608695652173914,89.41390041493776,,,
Cunha,MID,Man United,8.0,12.3,1,5.128,,5.128,model,5.165,0.009,0.346,0.0,3.0,15.612,Hull,0,2.733033499913808,0.866082845793049,-0.4634137271367569,-0.46420343043910733,20,20,0.2414384945073154,0.03815348189021553,1.8966763014750996,0.42059586548887884,430871,False,3793.0,0.7890724269377383,0.3924673540972958,0.13627611277221288,5.319818125876037,0.0,player history,12.755625083,32.501111111111115,4.429125083,32.501111111111115,172.89999999999998,32.501111111111115,31.049999999999997,8.299999999999997,0.15841584158415842,85.44851694915253,,,
Semenyo,MID,Man City,8.5,27.1,1,4.87,5.3,5.085,blend(w_ours=0.5),4.531,0.007,0.309,0.0,3.0,14.717,Bournemouth,1,2.1225069613908025,1.109835034128053,0.10826347076159326,-0.05559135062668036,6,14,0.34937094255506673,0.2997093233993791,1.472981818010214,0.32961333154107314,437730,False,4804.5,0.912485414235706,0.3634217510507411,0.10175625416787085,4.716568267206143,0.0,player history,14.670730386999999,40.36833333333333,4.107730386999999,40.36833333333333,190.39999999999998,40.36833333333333,39.099999999999994,3.7499999999999996,0.04504504504504504,87.79676320272573,3.0,,
O'Reilly,DEF,Man City,6.5,22.2,1,4.718,,4.718,model,4.758,0.067,1.305,0.0,2.0,13.254,Bournemouth,1,2.1225069613908025,1.109835034128053,0.10826347076159326,-0.05559135062668036,6,14,0.34937094255506673,0.2997093233993791,1.472981818010214,0.32961333154107314,472769,False,2906.5,0.754442649434572,0.2780490133041158,0.08950027276908723,6.193833937211169,0.0,player history,7.119753929,25.606111111111108,2.2917539289999995,25.606111111111108,158.59999999999997,25.606111111111108,23.349999999999998,7.599999999999997,0.2077922077922078,87.56215469613258,,,
Palmer,MID,Chelsea,9.5,11.2,1,4.569,5.18,4.875,blend(w_ours=0.5),4.711,0.0,0.232,0.0,2.0,14.717,Fulham,0,1.5201447843930607,1.3270563054998774,-0.09520514737496588,-0.0035171594464234145,14,9,0.11976511913229088,-0.02705992349099506,1.0549532552236267,0.2652569485768734,244851,False,3551.5,0.801641586867305,0.46849758173835754,0.167447165381615,3.9088550643130575,0.12011825989018726,player history,14.346697335000002,30.622777777777774,5.127697335,30.622777777777774,119.7,30.622777777777774,29.299999999999997,7.250000000000001,0.11827956989247312,85.29463087248321,1.0,,
Thiago,FWD,Brentford,8.0,16.0,1,4.562,4.69,4.626,blend(w_ours=0.5),4.344,0.015,0.0,0.0,2.0,12.707,Tottenham,1,1.6621033154275269,1.2718632868158128,-0.08276055477367329,-0.09297374902858409,13,17,0.06619017754922284,-0.025658339285556685,1.1534699333447622,0.28030883911832716,502500,False,3366.0,0.845808383233533,0.4112608516792323,0.05390992638793695,5.616860863605209,0.19010695187165777,player history,12.000591651999997,29.179999999999996,1.573091652,29.179999999999996,163.89999999999998,29.179999999999996,28.25,5.149999999999997,0.10714285714285714,86.8761574074074,1.0,,
Bruno G.,MID,Arsenal,7.0,10.3,1,4.544,4.91,4.727,blend(w_ours=0.5),3.881,0.006,0.485,0.0,3.0,12.985,Coventry,1,2.412415862440209,0.6135278628829268,-0.24714999866925966,-0.2569973557142033,18,18,0.2714723575117312,0.5445571299369384,1.6741734031936522,0.5414373789610384,208706,False,4097.0,0.9095744680851064,0.2938044051435673,0.1567358879824086,4.738200707479524,0.0,player history,10.24365381,34.86555555555556,5.4646838099999995,34.86555555555556,165.2,34.86555555555556,34.199999999999996,3.3999999999999972,0.041666666666666664,86.9955512572534,,,
Rice,MID,Arsenal,7.5,21.7,1,4.454,,4.454,model,3.815,0.128,0.492,0.0,3.0,11.985,Coventry,1,2.412415862440209,0.6135278628829268,-0.24714999866925966,-0.2569973557142033,18,18,0.2714723575117312,0.5445571299369384,1.6741734031936522,0.5414373789610384,204480,False,4509.5,0.8861209964412812,0.2920721414209213,0.1933430619993288,7.574745013351232,0.0,player history,11.12032226,38.07388888888889,7.36132226,38.07388888888889,288.4,38.07388888888889,37.349999999999994,4.799999999999998,0.05504587155963303,86.95142348754449,,1.0,1.0
Calafiori,DEF,Arsenal,5.5,17.8,1,4.429,4.52,4.474,blend(w_ours=0.5),4.503,0.08,1.666,0.0,2.0,13.254,Coventry,1,2.412415862440209,0.6135278628829268,-0.24714999866925966,-0.2569973557142033,18,18,0.2714723575117312,0.5445571299369384,1.6741734031936522,0.5414373789610384,466075,False,2189.0,0.5867768595041323,0.1864021412361982,0.04598156752482938,6.067247406092215,0.0,player history,3.732806435,20.025555555555556,0.920806435,20.025555555555556,121.49999999999999,20.025555555555556,17.75,12.499999999999998,0.3466666666666667,81.51595744680851,,,
