team,attack,attack_sd,defence,defence_sd,net_strength
Arsenal,0.2623,0.183,0.5087,0.2132,0.771
Man City,0.3429,0.1851,0.2983,0.2039,0.6412
Man United,0.243,0.1912,0.0084,0.1933,0.2514
Liverpool,0.189,0.1934,-0.013,0.1987,0.176
Chelsea,0.12,0.1927,0.0116,0.2016,0.1316
Brighton,0.0187,0.1974,0.0764,0.1979,0.0951
Aston Villa,0.0587,0.1891,0.036,0.1989,0.0947
Bournemouth,0.0985,0.1897,-0.0493,0.1963,0.0492
Brentford,0.0434,0.1974,-0.0219,0.1924,0.0215
Newcastle,0.0463,0.1985,-0.0364,0.1954,0.0098
Nott'm Forest,-0.0528,0.1979,0.0153,0.1873,-0.0376
Fulham,-0.0658,0.1951,0.0103,0.1903,-0.0555
Everton,-0.0861,0.1894,0.0199,0.1963,-0.0662
Leeds,-0.0439,0.2014,-0.0619,0.1952,-0.1058
Tottenham,-0.042,0.1977,-0.0706,0.1827,-0.1126
Sunderland,-0.1853,0.2068,0.0538,0.2007,-0.1315
Crystal Palace,-0.1667,0.1938,0.0133,0.1935,-0.1534
Hull,-0.1859,0.3143,-0.2091,0.2984,-0.395
Ipswich,-0.1868,0.3103,-0.2279,0.2927,-0.4147
Coventry,-0.1977,0.3107,-0.219,0.299,-0.4168
