team,n,mae,bias,n_app,mae_app,bias_app,promoted,regime
Coventry,64,0.88034375,0.7059375,29,1.064137931034483,0.6792413793103449,True,False
Aston Villa,58,0.9699827586206896,0.7442586206896552,30,1.1783,0.7419,False,False
Tottenham,73,1.0039452054794522,0.9586027397260273,30,1.2266,1.1162666666666667,False,True
Bournemouth,55,1.062581818181818,0.38530909090909093,29,1.3633103448275863,0.07882758620689653,False,True
Crystal Palace,61,1.0645081967213115,0.9254918032786885,29,1.1956206896551724,0.9032068965517241,False,True
Ipswich,65,1.1540615384615387,0.2996,29,1.623793103448276,-0.29137931034482756,True,False
Liverpool,70,1.2674285714285716,0.6297714285714286,31,2.0343225806451617,0.5944516129032258,False,True
Fulham,46,1.288695652173913,0.8642608695652174,29,1.3151724137931036,0.6419310344827586,False,True
Nott'm Forest,54,1.4607777777777775,0.6215555555555555,28,1.7023928571428573,0.08389285714285714,False,True
Hull,68,1.531205882352941,-0.6922941176470588,29,3.014206896551724,-2.1995172413793105,True,False
Newcastle,52,1.5332115384615383,-0.22828846153846155,30,1.9958999999999998,-1.0573666666666666,False,True
Chelsea,70,1.5668428571428572,0.3982428571428571,33,2.1396969696969697,-0.33915151515151515,False,True
Everton,46,1.576152173913043,-0.1058478260869565,30,1.7482333333333337,-0.8308333333333332,False,False
Leeds,51,1.6083921568627453,-0.22349019607843132,29,2.262931034482758,-0.958655172413793,False,False
Sunderland,51,1.7241372549019607,0.0904901960784314,31,2.2590322580645164,-0.4285806451612903,False,False
Brentford,50,1.7275200000000002,0.008719999999999986,32,2.166875,-0.51875,False,False
Arsenal,57,1.8708421052631576,0.20199999999999999,32,2.311125,-0.6615000000000001,False,False
Man City,54,1.8931481481481482,0.5672222222222223,29,2.7728965517241386,0.30393103448275877,False,True
Man United,66,1.9428939393939393,1.1011969696969697,32,2.8229375,1.0869375000000001,False,True
Brighton,62,1.9493548387096775,-0.11406451612903223,28,3.2260714285714287,-1.3429285714285712,False,False
