horizon,budget,spend,pts,squad
2,22,22.0,24.147998809814453,"Dalot Man 5.0, Hume Sun 4.5, Shaw Man 4.5, Thomas Cov 4.0, van Ewijk Cov 4.0"
2,23,23.0,25.381999969482422,"Guéhi Man 6.0, Hume Sun 4.5, Shaw Man 4.5, Thomas Cov 4.0, van Ewijk Cov 4.0"
2,24,24.0,26.533000946044922,"Calafiori Ars 5.5, Guéhi Man 6.0, Shaw Man 4.5, Thomas Cov 4.0, van Ewijk Cov 4.0"
2,25,25.0,27.41699981689453,"A.García Ast 4.0, Guéhi Man 6.0, O'Reilly Man 6.5, Shaw Man 4.5, van Ewijk Cov 4.0"
2,26,26.0,27.67099952697754,"A.García Ast 4.0, Calafiori Ars 5.5, Guéhi Man 6.0, O'Reilly Man 6.5, van Ewijk Cov 4.0"
2,27,27.0,28.31199836730957,"A.García Ast 4.0, Gabriel Ars 8.0, O'Reilly Man 6.5, Shaw Man 4.5, van Ewijk Cov 4.0"
2,28,28.0,28.565998077392578,"A.García Ast 4.0, Calafiori Ars 5.5, Gabriel Ars 8.0, O'Reilly Man 6.5, van Ewijk Cov 4.0"
2,29,29.0,28.961999893188477,"A.García Ast 4.0, Aina Not 4.5, Gabriel Ars 8.0, Guéhi Man 6.0, O'Reilly Man 6.5"
2,30,29.0,28.961999893188477,"A.García Ast 4.0, Aina Not 4.5, Gabriel Ars 8.0, Guéhi Man 6.0, O'Reilly Man 6.5"
2,35,29.0,28.961999893188477,"A.García Ast 4.0, Aina Not 4.5, Gabriel Ars 8.0, Guéhi Man 6.0, O'Reilly Man 6.5"
3,22,22.0,35.180999755859375,"A.García Ast 4.0, Gvardiol Man 5.5, Shaw Man 4.5, Thomas Cov 4.0, van Ewijk Cov 4.0"
3,23,23.0,37.53900146484375,"Cash Ast 4.5, Guéhi Man 6.0, Shaw Man 4.5, Thomas Cov 4.0, van Ewijk Cov 4.0"
3,24,24.0,39.730003356933594,"A.García Ast 4.0, Guéhi Man 6.0, Gvardiol Man 5.5, Shaw Man 4.5, van Ewijk Cov 4.0"
3,25,25.0,41.746002197265625,"A.García Ast 4.0, Guéhi Man 6.0, O'Reilly Man 6.5, Shaw Man 4.5, van Ewijk Cov 4.0"
3,26,26.0,43.01000213623047,"A.García Ast 4.0, Guéhi Man 6.0, Gvardiol Man 5.5, O'Reilly Man 6.5, van Ewijk Cov 4.0"
3,27,26.5,43.24400329589844,"Guéhi Man 6.0, Gvardiol Man 5.5, O'Reilly Man 6.5, Shaw Man 4.5, van Ewijk Cov 4.0"
3,28,27.5,43.49800109863281,"Calafiori Ars 5.5, Guéhi Man 6.0, Gvardiol Man 5.5, O'Reilly Man 6.5, van Ewijk Cov 4.0"
3,29,28.5,44.503997802734375,"A.García Ast 4.0, A.Murphy New 4.0, Gabriel Ars 8.0, Guéhi Man 6.0, O'Reilly Man 6.5"
3,30,30.0,44.78900146484375,"A.García Ast 4.0, Gabriel Ars 8.0, Guéhi Man 6.0, Gvardiol Man 5.5, O'Reilly Man 6.5"
3,35,30.0,44.78900146484375,"A.García Ast 4.0, Gabriel Ars 8.0, Guéhi Man 6.0, Gvardiol Man 5.5, O'Reilly Man 6.5"
6,22,22.0,66.86099243164062,"Cash Ast 4.5, Shaw Man 4.5, Thiaw New 5.0, Thomas Cov 4.0, van Ewijk Cov 4.0"
6,23,23.0,71.9159927368164,"A.García Ast 4.0, Guéhi Man 6.0, Thiaw New 5.0, Thomas Cov 4.0, van Ewijk Cov 4.0"
6,24,24.0,74.60099029541016,"O'Reilly Man 6.5, Shaw Man 4.5, Thiaw New 5.0, Thomas Cov 4.0, van Ewijk Cov 4.0"
6,25,25.0,77.68899536132812,"A.García Ast 4.0, Guéhi Man 6.0, O'Reilly Man 6.5, Shaw Man 4.5, van Ewijk Cov 4.0"
6,26,26.0,80.81900024414062,"Guéhi Man 6.0, O'Reilly Man 6.5, Shaw Man 4.5, Thiaw New 5.0, van Ewijk Cov 4.0"
6,27,27.0,81.68599700927734,"Guéhi Man 6.0, Gvardiol Man 5.5, O'Reilly Man 6.5, Thiaw New 5.0, van Ewijk Cov 4.0"
6,28,28.0,82.3550033569336,"Gabriel Ars 8.0, O'Reilly Man 6.5, Shaw Man 4.5, Thiaw New 5.0, van Ewijk Cov 4.0"
6,29,29.0,84.59699249267578,"A.García Ast 4.0, Gabriel Ars 8.0, Guéhi Man 6.0, Mitchell Cry 4.5, O'Reilly Man 6.5"
6,30,30.0,85.87899780273438,"Gabriel Ars 8.0, Guéhi Man 6.0, Mitchell Cry 4.5, O'Reilly Man 6.5, Thiaw New 5.0"
6,35,31.5,87.0999984741211,"Gabriel Ars 8.0, Guéhi Man 6.0, Lacroix Che 6.0, O'Reilly Man 6.5, Thiaw New 5.0"
10,22,22.0,113.09599304199219,"A.García Ast 4.0, Guéhi Man 6.0, Nedeljkovic Ast 4.0, Thomas Cov 4.0, van Ewijk Cov 4.0"
10,23,23.0,120.18598937988281,"A.García Ast 4.0, Guéhi Man 6.0, Thiaw New 5.0, Thomas Cov 4.0, van Ewijk Cov 4.0"
10,24,24.0,123.97000885009766,"A.García Ast 4.0, Gvardiol Man 5.5, Masuaku Sun 4.0, O'Reilly Man 6.5, van Ewijk Cov 4.0"
10,25,25.0,130.06898498535156,"A.García Ast 4.0, Guéhi Man 6.0, O'Reilly Man 6.5, Shaw Man 4.5, van Ewijk Cov 4.0"
10,26,26.0,135.43499755859375,"A.García Ast 4.0, Guéhi Man 6.0, Gvardiol Man 5.5, O'Reilly Man 6.5, van Ewijk Cov 4.0"
10,27,27.0,136.6429901123047,"Guéhi Man 6.0, Gvardiol Man 5.5, O'Reilly Man 6.5, Thiaw New 5.0, van Ewijk Cov 4.0"
10,28,28.0,138.5500030517578,"Calafiori Ars 5.5, Guéhi Man 6.0, Gvardiol Man 5.5, Mitchell Cry 4.5, O'Reilly Man 6.5"
10,29,29.0,142.59300231933594,"A.García Ast 4.0, Gabriel Ars 8.0, Guéhi Man 6.0, Mitchell Cry 4.5, O'Reilly Man 6.5"
10,30,30.0,143.875,"Gabriel Ars 8.0, Guéhi Man 6.0, Mitchell Cry 4.5, O'Reilly Man 6.5, Thiaw New 5.0"
10,35,32.0,145.27999877929688,"Gabriel Ars 8.0, Guéhi Man 6.0, Gvardiol Man 5.5, Lacroix Che 6.0, O'Reilly Man 6.5"
