season,player_code,role,dc,hit,mins,opp_str,own_str,conceded,is_home
2025-2026,247955,FB,14.0,1.0,90,1.2277852348993288,1.0265625,1.0,True
2025-2026,223827,CB,12.0,1.0,90,1.2277852348993288,1.0265625,1.0,True
2025-2026,106611,CB,19.0,1.0,90,1.0117021276595746,1.2333802816901407,1.0,False
2025-2026,224967,FB,11.0,1.0,90,1.0117021276595746,1.2333802816901407,1.0,False
2025-2026,512462,CB,12.0,1.0,82,1.0117021276595746,1.2333802816901407,1.0,False
2025-2026,200834,CB,6.0,0.0,90,1.2277852348993288,1.0265625,1.0,True
2025-2026,17761,CB,9.0,0.0,90,1.0117021276595746,1.2333802816901407,1.0,False
2025-2026,434399,CB,10.0,1.0,90,1.2277852348993288,1.0265625,1.0,True
2025-2026,487676,FB,2.0,0.0,90,1.2277852348993288,1.0265625,1.0,True
2025-2026,122798,FB,9.0,0.0,90,1.241111111111111,1.5653225806451612,0.0,True
2025-2026,97032,CB,10.0,1.0,90,1.241111111111111,1.5653225806451612,0.0,True
2025-2026,492777,FB,8.0,0.0,90,1.241111111111111,1.5653225806451612,0.0,True
2025-2026,204716,CB,15.0,1.0,90,1.241111111111111,1.5653225806451612,0.0,True
2025-2026,199798,FB,10.0,1.0,90,1.6056953642384106,1.2532258064516129,2.0,False
2025-2026,101188,FB,9.0,0.0,74,1.6056953642384106,1.2532258064516129,2.0,False
2025-2026,244954,CB,9.0,0.0,73,1.6056953642384106,1.2532258064516129,2.0,False
2025-2026,199796,FB,7.0,0.0,90,1.6056953642384106,1.2532258064516129,2.0,False
2025-2026,171314,CB,8.0,0.0,90,1.6012587412587411,1.8621383647798742,1.0,True
2025-2026,477424,CB,6.0,0.0,90,1.6012587412587411,1.8621383647798742,1.0,True
2025-2026,221466,CB,24.0,1.0,90,1.8812337662337661,1.598169014084507,3.0,False
2025-2026,494521,FB,16.0,1.0,90,1.8812337662337661,1.598169014084507,3.0,False
2025-2026,551483,FB,9.0,0.0,61,1.8812337662337661,1.598169014084507,3.0,False
2025-2026,242882,CB,9.0,0.0,90,1.8812337662337661,1.598169014084507,3.0,False
2025-2026,472769,FB,6.0,0.0,90,1.6012587412587411,1.8621383647798742,1.0,True
2025-2026,465351,FB,13.0,1.0,90,1.6012587412587411,1.8621383647798742,1.0,True
2025-2026,209036,CB,16.0,1.0,90,1.5676973684210527,1.8621383647798742,2.0,False
2025-2026,437499,CB,11.0,1.0,90,1.565845070422535,1.561027397260274,0.0,True
2025-2026,247348,FB,10.0,1.0,90,1.565845070422535,1.561027397260274,0.0,True
2025-2026,244723,FB,9.0,0.0,90,1.565845070422535,1.561027397260274,0.0,True
2025-2026,444765,CB,15.0,1.0,90,1.5676973684210527,1.5833962264150943,2.0,False
2025-2026,607464,FB,12.0,1.0,66,1.5676973684210527,1.5833962264150943,2.0,False
2025-2026,191866,CB,9.0,0.0,90,1.5676973684210527,1.5833962264150943,2.0,False
2025-2026,432830,CB,16.0,1.0,90,1.5676973684210527,1.5833962264150943,2.0,False
2025-2026,427623,CB,10.0,1.0,90,1.565845070422535,1.561027397260274,0.0,True
