team,n,raw,sd,hit_raw,shrunk,hit_shrunk,reliability,shrink_factor,usable,position,category,season
Bournemouth,145,0.9530268322821134,4.058029662404542,0.07784463963410929,0.652778640307076,0.05331992373589951,0.5553545812119635,0.684953055040366,True,Defender,permissive,2025-2026
Leeds,151,0.651173663771752,3.625320180390294,0.03770212942065612,0.4460233903622896,0.025824188728205674,0.5553545812119635,0.684953055040366,True,Defender,permissive,2025-2026
Liverpool,153,0.6018548622320594,3.723037658865717,0.0799655099759097,0.4122423265767477,0.05477262035586021,0.5553545812119635,0.684953055040366,True,Defender,permissive,2025-2026
Everton,152,0.5148370722033925,3.741368545909831,0.07823696640943327,0.35263922545375115,0.05358864915923181,0.5553545812119635,0.684953055040366,True,Defender,permissive,2025-2026
Crystal Palace,142,0.5121532697484982,3.757380228321887,0.08508621597259503,0.3508009467631465,0.05828006357225335,0.5553545812119635,0.684953055040366,True,Defender,permissive,2025-2026
Brentford,144,0.49357442071596247,3.5090319460751314,0.052731686659884716,0.3380753073591774,0.03611872987511935,0.5553545812119635,0.684953055040366,True,Defender,permissive,2025-2026
Tottenham,152,0.43167988892918446,3.633091188031034,0.025881694667194182,0.29568045872153076,0.0177277458319166,0.5553545812119635,0.684953055040366,True,Defender,permissive,2025-2026
Newcastle,148,0.2151373034838642,3.8226482998408726,0.046670342564252086,0.14735895327441914,0.03196699371916489,0.5553545812119635,0.684953055040366,True,Defender,neutral,2025-2026
Arsenal,151,0.18250772925081002,3.6039484591563355,-0.01543481283793864,0.12500922671882228,-0.010572122207322333,0.5553545812119635,0.684953055040366,True,Defender,neutral,2025-2026
Man City,157,-0.02085844670418953,3.4507470975393617,-0.023276440225809755,-0.01428705679343127,-0.01594326884313286,0.5553545812119635,0.684953055040366,True,Defender,neutral,2025-2026
Man United,146,-0.13882650746440778,3.7535043751663495,-0.0247825081815912,-0.09508964040833028,-0.016974854690543755,0.5553545812119635,0.684953055040366,True,Defender,neutral,2025-2026
Sunderland,146,-0.14938979467102922,3.8034969911771945,0.006907432467610509,-0.10232499625177445,0.004731266971174832,0.5553545812119635,0.684953055040366,True,Defender,neutral,2025-2026
Brighton,147,-0.23115844337159414,3.628333427406661,-0.021917046344625518,-0.15833268198574885,-0.015012147851212534,0.5553545812119635,0.684953055040366,True,Defender,neutral,2025-2026
Aston Villa,150,-0.24483776611079083,3.886022203520385,0.012318581526571669,-0.16770237588684475,0.00843765005038908,0.5553545812119635,0.684953055040366,True,Defender,suppressing,2025-2026
Nott'm Forest,147,-0.3083717058837565,3.817547583457311,-0.03467041033835866,-0.21122014203308823,-0.023747603480761853,0.5553545812119635,0.684953055040366,True,Defender,suppressing,2025-2026
Burnley,153,-0.3760685857499173,3.8836683824933718,-0.03751061818475819,-0.2575893267141157,-0.02569301252210283,0.5553545812119635,0.684953055040366,True,Defender,suppressing,2025-2026
Wolves,150,-0.7277500805960034,3.777759927355864,-0.10387954920659412,-0.49847464101010514,-0.07115261458527267,0.5553545812119635,0.684953055040366,True,Defender,suppressing,2025-2026
Chelsea,147,-0.7625311388807332,3.422098062310008,-0.06639775675822558,-0.5222980331397677,-0.04547934633937372,0.5553545812119635,0.684953055040366,True,Defender,suppressing,2025-2026
West Ham,145,-0.7748720460044138,3.0796862388746917,-0.08102409578826744,-0.5307509751761023,-0.05549770194205703,0.5553545812119635,0.684953055040366,True,Defender,suppressing,2025-2026
Fulham,152,-0.8100623154423344,3.521259549337426,-0.09032013906853711,-0.5548546577352996,-0.06186505518666521,0.5553545812119635,0.684953055040366,True,Defender,suppressing,2025-2026
Everton,152,0.5552902825253989,3.384056144251003,0.057406162398830056,0.324981152100876,0.03359669956624616,0.2406530681569421,0.5852455235177133,False,Midfielder,permissive,2025-2026
Aston Villa,172,0.5045033595005712,3.35742520549015,0.010458364593519886,0.2952583327473569,0.006120711061673663,0.2406530681569421,0.5852455235177133,False,Midfielder,permissive,2025-2026
