metric,window,early,baseline,diff,ci_lo,ci_hi,ratio,seasons_up,n_seasons
TOTAL GOALS PER MATCH (both teams),3,2.8138888888888887,2.8030448717948713,0.010844017094017019,-0.18003739316239326,0.27463141025641025,1.0088896990098162,6,12
TOTAL GOALS PER MATCH (both teams),6,2.8229166666666665,2.8030448717948713,0.01987179487179473,-0.12553418803418817,0.18655849358974347,1.0113384331936828,6,12
TOTAL GOALS PER MATCH (both teams),12,2.7975694444444446,2.8030448717948713,-0.005475427350427349,-0.08768763354700866,0.08053685897435907,1.0012668475119237,3,12
xG PER TEAM-MATCH (penalty-inclusive),3,1.412985116388889,1.4280589998557691,-0.015073883466880433,-0.0685972917415866,0.03983640465064089,0.9878395617015795,4,12
xG PER TEAM-MATCH (penalty-inclusive),6,1.4096785745833333,1.4280589998557691,-0.018380425272435958,-0.06835198110082806,0.026801626737713493,0.9873539262033728,6,12
xG PER TEAM-MATCH (penalty-inclusive),12,1.4196960244444445,1.4280589998557691,-0.008362975411324839,-0.046745747826789426,0.029739333998798023,0.995443724591374,5,12
FINISHING: goals minus xG per team-match,3,-0.010207338611111129,-0.027257717804487176,0.017050379193376066,-0.08917241959588676,0.1313832874569979,-1.7717784121555822,7,12
FINISHING: goals minus xG per team-match,6,4.364763888889574e-05,-0.027257717804487176,0.02730136544337607,-0.056031503443509614,0.11770772336084404,0.009312944632476214,6,12
FINISHING: goals minus xG per team-match,12,-0.019348802222222218,-0.027257717804487176,0.00790891558226496,-0.04131667857004541,0.05507378087967417,2.561039066471095,5,12
CLEAN-SHEET RATE,3,0.27222222222222225,0.2701923076923077,0.0020299145299145275,-0.03242654914529914,0.038571047008547014,1.01431799859244,5,12
CLEAN-SHEET RATE,6,0.26805555555555555,0.2701923076923077,-0.002136752136752129,-0.0318923611111111,0.028102297008547016,0.9965459327384228,5,12
CLEAN-SHEET RATE,12,0.2704861111111111,0.2701923076923077,0.00029380341880341776,-0.019632077991452987,0.019820379273504277,1.0054079362534603,7,12
HOME GOALS PER MATCH,3,1.4456989247311827,1.5417429602774433,-0.09604403554626022,-0.23079137272685654,0.04423272623703658,0.9433322504779579,4,12
HOME GOALS PER MATCH,6,1.5098387669414342,1.5417429602774433,-0.03190419333600871,-0.12559109264088078,0.06460344762630295,0.9832813710927483,5,12
HOME GOALS PER MATCH,12,1.5462685005131531,1.5417429602774433,0.004525540235709909,-0.05197742125512154,0.065275482225654,1.0055793054115745,5,12
AWAY GOALS PER MATCH,3,1.3594827586206897,1.2599304306200858,0.09955232800060386,-0.03534802043422733,0.2727687085768982,1.0870803810417982,6,12
AWAY GOALS PER MATCH,6,1.3101220246364733,1.2599304306200858,0.05019159401638732,-0.04924283300237226,0.1655852911695142,1.0456836735356971,7,12
AWAY GOALS PER MATCH,12,1.2538689029330738,1.2599304306200858,-0.006061527687011736,-0.07470686837953572,0.06512303810512829,1.0006045451487793,6,12
HOME ADVANTAGE (goals),3,0.0862161661104932,0.28181252965735726,-0.19559636354686405,-0.37449218778056376,-0.011269236257765127,0.30593446719817396,3,12
HOME ADVANTAGE (goals),6,0.1997167423049612,0.28181252965735726,-0.08209578735239603,-0.20206047853935266,0.059490818654433286,0.7086865248602945,4,12
HOME ADVANTAGE (goals),12,0.2923995975800789,0.28181252965735726,0.010587067922721646,-0.07139295274036765,0.11344006089375927,1.0375677686708749,4,12
