arm,k,n,w_goals,w_shots,r2_prior,r2_goals,r2_shots
established,1,496,0.01,0.01,0.5776371939889495,0.5768037826358139,0.5975574785118736
established,2,496,0.03,0.02,0.5708258140807071,0.5724022460755318,0.6064776842608521
established,3,496,0.07,0.03,0.5738355062150607,0.5808877151827044,0.6176654781120015
established,5,496,0.13,0.03,0.5620239312214341,0.5834732431514029,0.6161275192383417
established,8,496,0.21,0.04,0.5458046925508877,0.58591803234056,0.6170098966108213
established,10,496,0.25,0.04,0.530525149793329,0.5760028227410816,0.6057565540808734
promoted,1,86,0.0,,,,
promoted,2,86,0.05,,,,
promoted,3,86,0.12,,,,
promoted,5,86,0.3,,,,
promoted,8,86,0.39,,,,
promoted,10,86,0.33,,,,
H-B promoted overperf,3,69,,,,0.06775944704459336,0.3530818716485624
