player_code,season,x,nx,pos,si,y,ny,pos_pred,w,player_pred,flat90,delta_vs_pos
1632,2016-17,81.0909090909091,22,MID,0,86.55,20,83.1,0.7932186122041907,81.50635169729885,90.0,-1.5936483027011406
3773,2016-17,85.9090909090909,11,FWD,0,84.35714285714286,14,81.5,0.6573009993574788,84.39809986080343,90.0,2.898099860803427
7645,2016-17,89.68,25,DEF,0,89.17391304347827,23,87.5,0.8134021840999093,89.2732167613378,90.0,1.7732167613378067
7958,2016-17,89.78378378378379,37,FWD,0,77.0,10,81.5,0.8657987767774127,88.67208986708857,90.0,7.172089867088573
8380,2016-17,90.0,18,DEF,0,90.0,11,87.5,0.7583704151151263,89.3959260377878,90.0,1.8959260377878024
9089,2016-17,90.0,38,GK,0,90.0,37,89.9,0.8688672781338241,89.98688672781338,90.0,0.08688672781337914
9089,2017-18,90.0,37,GK,1,90.0,38,89.9,0.8657987767774127,89.98657987767774,90.0,0.08657987767773534
9089,2018-19,90.0,38,GK,2,90.0,38,89.9,0.8688672781338241,89.98688672781338,90.0,0.08688672781337914
11334,2016-17,90.0,34,GK,0,89.38235294117646,34,89.9,0.855666585386568,89.98556665853866,90.0,0.08556665853865297
11352,2017-18,87.95454545454545,22,DEF,1,85.07692307692308,13,87.5,0.7932186122041907,87.86055391463827,90.0,0.3605539146382739
12745,2016-17,89.48387096774194,31,DEF,0,89.66666666666667,21,87.5,0.8438794878379978,89.17414801619475,90.0,1.6741480161947493
13017,2016-17,86.06666666666666,15,FWD,0,81.95833333333333,24,81.5,0.7234109190985335,84.80357653054998,90.0,3.303576530549975
13152,2016-17,83.06666666666666,15,MID,0,84.9090909090909,11,83.1,0.7234109190985335,83.07588630269672,90.0,-0.02411369730327806
14295,2016-17,87.75,36,MID,0,85.88,25,83.1,0.8625832288761219,87.11101201427397,90.0,4.011012014273973
15033,2016-17,90.0,27,DEF,0,90.0,31,87.5,0.8248026562634164,89.56200664065855,90.0,2.062006640658552
15033,2017-18,90.0,31,DEF,1,87.45454545454545,22,87.5,0.8438794878379978,89.609698719595,90.0,2.109698719595002
15149,2016-17,89.71875,32,DEF,0,89.62068965517241,29,87.5,0.8480167631939919,89.38153719333667,90.0,1.8815371933366691
15149,2017-18,89.62068965517241,29,DEF,1,90.0,12,87.5,0.8348902810601913,89.27054318224833,90.0,1.770543182248332
15157,2016-17,88.82857142857142,35,MID,0,85.66666666666667,18,83.1,0.8592098049585397,88.02204473983392,90.0,4.922044739833922
15157,2017-18,85.66666666666667,18,DEF,1,85.29411764705883,17,87.5,0.7583704151151263,86.10965423895561,90.0,-1.3903457610443866
15237,2016-17,88.57894736842105,19,MID,0,89.2,20,83.1,0.7681391063467261,87.3085937352997,90.0,4.208593735299701
15237,2017-18,89.2,20,MID,1,89.0625,16,83.1,0.7771486250823768,87.8406066130025,90.0,4.740606613002512
15749,2017-18,90.0,19,GK,1,90.0,19,89.9,0.7681391063467261,89.97681391063468,90.0,0.07681391063466947
17339,2016-17,88.37931034482759,29,MID,0,83.41176470588235,17,83.1,0.8348902810601913,87.50764489759707,90.0,4.407644897597081
17349,2017-18,81.95,20,MID,1,87.07692307692308,13,83.1,0.7771486250823768,82.20627908115527,90.0,-0.8937209188447213
17476,2017-18,89.26666666666667,15,DEF,1,88.76923076923077,13,87.5,0.7234109190985335,88.77802595707408,90.0,1.2780259570740782
17745,2016-17,90.0,29,GK,0,89.84848484848484,33,89.9,0.8348902810601913,89.98348902810602,90.0,0.08348902810601544
17745,2017-18,89.84848484848484,33,GK,1,90.0,38,89.9,0.8519404196346568,89.85611216020064,90.0,-0.04388783979936761
17745,2018-19,90.0,38,GK,2,90.0,38,89.9,0.8688672781338241,89.98688672781338,90.0,0.08688672781337914
17745,2019-20,90.0,38,GK,3,90.0,38,89.9,0.8688672781338241,89.98688672781338,90.0,0.08688672781337914
17745,2020-21,90.0,38,GK,4,90.0,37,89.9,0.8688672781338241,89.98688672781338,90.0,0.08688672781337914
17761,2017-18,90.0,31,DEF,1,90.0,34,87.5,0.8438794878379978,89.609698719595,90.0,2.109698719595002
17761,2018-19,90.0,34,DEF,2,90.0,38,87.5,0.855666585386568,89.63916646346642,90.0,2.139166463466424
17761,2019-20,90.0,38,DEF,3,90.0,36,87.5,0.8688672781338241,89.67216819533455,90.0,2.1721681953345495
17761,2020-21,90.0,36,DEF,4,90.0,34,87.5,0.8625832288761219,89.6564580721903,90.0,2.156458072190304
17761,2021-22,90.0,34,DEF,5,90.0,38,87.5,0.855666585386568,89.63916646346642,90.0,2.139166463466424
17761,2022-23,90.0,38,DEF,6,90.0,38,87.5,0.8688672781338241,89.67216819533455,90.0,2.1721681953345495
17761,2023-24,90.0,38,DEF,7,89.71875,32,87.5,0.8688672781338241,89.67216819533455,90.0,2.1721681953345495
17761,2024-25,89.71875,32,DEF,8,90.0,37,87.5,0.8480167631939919,89.38153719333667,90.0,1.8815371933366691
17878,2016-17,86.5,12,MID,0,85.625,24,83.1,0.6766242025254809,85.40052228858664,90.0,2.3005222885866488
17997,2016-17,87.83333333333333,12,DEF,0,90.0,12,87.5,0.6766242025254809,87.72554140084182,90.0,0.22554140084181995
17997,2017-18,90.0,12,DEF,1,89.55555555555556,18,87.5,0.6766242025254809,89.19156050631369,90.0,1.6915605063136923
17997,2018-19,89.55555555555556,18,DEF,2,90.0,21,87.5,0.7583704151151263,89.05887251995887,90.0,1.558872519958868
18073,2016-17,86.24,25,MID,0,85.96296296296296,27,83.1,0.8134021840999093,85.65408285807372,90.0,2.554082858073727
18073,2017-18,85.96296296296296,27,MID,1,81.72,25,83.1,0.8248026562634164,85.46137945663563,90.0,2.361379456635632
18073,2018-19,81.72,25,MID,2,85.93333333333334,30,83.1,0.8134021840999093,81.97750498594213,90.0,-1.1224950140578613
18656,2016-17,89.32432432432432,37,GK,0,90.0,23,89.9,0.8657987767774127,89.4015807041795,90.0,-0.49841929582051137
18892,2017-18,88.03703703703704,27,MID,1,90.0,27,83.1,0.8248026562634164,87.17208126221901,90.0,4.072081262219015
18892,2018-19,90.0,27,DEF,2,89.5,10,87.5,0.8248026562634164,89.56200664065855,90.0,2.062006640658552
