player,pos,team,cost,own,0.0,0.25,0.5,0.75,1.0,range
Haaland,FWD,Man City,15.5,71.2,40.951,41.538,42.035,42.282,42.627,1.676
B.Fernandes,MID,Man United,12.0,46.4,36.311,35.289,35.164,35.023,35.092,1.289
Mbeumo,MID,Man United,7.9,25.6,33.679,33.416,32.948,32.824,32.715,0.964
Enzo,MID,Man City,6.9,3.2,32.505,31.685,30.96,30.802,30.331,2.174
Guéhi,DEF,Man City,6.0,18.7,31.659,31.694,31.284,31.319,31.104,0.59
Gabriel,DEF,Arsenal,8.0,24.8,31.383,31.558,31.381,31.217,31.32,0.34
Thiago,FWD,Brentford,7.9,12.0,28.981,27.63,26.741,25.463,24.672,4.309
Semenyo,MID,Man City,8.4,18.1,27.891,28.823,29.334,29.983,30.294,2.403
Szoboszlai,MID,Liverpool,7.0,38.5,27.718,27.206,26.978,27.037,27.084,0.74
Tarkowski,DEF,Everton,6.0,11.2,27.661,27.639,27.872,27.856,27.906,0.267
Ndiaye,MID,Man City,5.9,10.2,27.612,26.352,25.817,25.197,24.794,2.818
Saka,MID,Arsenal,9.5,11.4,27.405,28.04,28.577,28.98,29.633,2.228
Anderson,MID,Man City,6.3,4.6,27.204,26.546,26.171,25.783,25.444,1.76
Senesi,DEF,Tottenham,5.9,4.9,26.717,26.198,25.538,25.054,24.436,2.281
Virgil,DEF,Liverpool,6.5,17.3,26.311,26.105,26.143,25.989,26.038,0.322
Tzolis,MID,Arsenal,6.4,17.5,26.033,,,,,0.0
Rice,MID,Arsenal,7.4,13.6,26.029,26.139,26.125,26.03,25.95,0.189
Thiaw,DEF,Newcastle,5.0,2.1,25.815,25.815,25.815,25.815,25.815,0.0
Gibbs-White,MID,Nott'm Forest,7.9,9.4,25.739,25.87,26.054,25.795,26.006,0.316
Lacroix,DEF,Chelsea,6.0,8.2,25.445,26.106,26.561,26.973,27.326,1.88
Palmer,MID,Chelsea,9.6,22.0,25.394,27.04,28.208,29.407,30.744,5.35
João Pedro,FWD,Chelsea,7.7,72.3,24.74,24.028,23.552,23.015,22.733,2.007
Konsa,DEF,Arsenal,4.4,13.2,24.566,24.828,24.956,24.977,25.191,0.625
Bruno G.,MID,Arsenal,6.8,1.8,24.253,24.736,24.708,24.846,24.892,0.639
Struijk,DEF,Brighton,5.0,0.2,24.019,24.019,24.019,24.019,24.019,0.0
Van Hecke,DEF,Tottenham,4.9,7.0,23.92,23.564,23.309,23.313,23.204,0.716
Schade,MID,Brentford,6.0,4.0,23.915,22.642,22.027,21.616,21.397,2.518
Andersen,DEF,Fulham,5.0,0.1,23.904,24.302,24.563,24.843,25.171,1.267
Richards,DEF,Crystal Palace,5.0,0.7,23.898,23.757,23.684,23.657,23.879,0.241
Keane,DEF,Everton,4.9,0.9,23.825,23.79,23.7,23.625,23.524,0.301
Cunha,MID,Man United,7.9,7.1,23.786,24.951,25.67,26.133,26.561,2.775
Tavernier,MID,Bournemouth,6.0,3.1,23.144,22.752,22.398,22.341,22.128,1.016
Gvardiol,DEF,Man City,5.6,19.8,23.124,25.571,26.822,28.25,29.046,5.922
Gakpo,MID,Liverpool,7.2,14.2,23.083,22.507,22.264,21.768,21.535,1.548
Calafiori,DEF,Arsenal,5.7,47.6,23.003,21.884,20.875,20.441,19.726,3.277
Rogers,MID,Chelsea,7.6,28.3,22.683,23.17,23.38,23.521,23.715,1.032
Mukiele,DEF,Sunderland,5.5,2.3,22.463,22.463,22.463,22.463,22.463,0.0
Wirtz,MID,Liverpool,7.4,8.5,22.346,22.346,22.346,22.346,22.346,0.0
Raya,GK,Arsenal,6.0,38.8,22.309,22.628,22.732,22.789,22.958,0.649
Calvert-Lewin,FWD,Leeds,6.0,24.0,22.062,21.244,20.799,20.461,20.273,1.789
Dewsbury-Hall,MID,Everton,6.5,4.4,22.04,20.422,19.026,18.028,17.152,4.888
Truffert,DEF,Bournemouth,5.5,3.5,21.966,21.966,21.966,21.966,21.966,0.0
Foden,MID,Man City,7.0,4.8,21.884,22.412,22.576,23.044,23.723,1.839
Murillo,DEF,Nott'm Forest,5.5,1.6,21.872,22.775,23.443,23.804,24.081,2.209
Neto,MID,Chelsea,6.5,1.3,21.69,20.608,20.078,19.471,19.193,2.497
Botman,DEF,Newcastle,5.0,0.7,21.684,21.438,21.089,20.78,20.594,1.09
N.Williams,DEF,Nott'm Forest,5.0,8.3,21.682,21.346,21.154,20.763,20.657,1.025
Milenković,DEF,Nott'm Forest,5.5,1.6,21.681,22.675,23.17,23.513,23.945,2.264
Rúben,DEF,Man City,5.5,1.8,21.66,22.607,23.288,23.679,24.01,2.351
Alderete,DEF,Sunderland,4.9,0.3,21.604,21.604,21.604,21.604,21.604,0.0
Ampadu,MID,Leeds,5.5,1.1,21.59,21.59,21.59,21.59,21.59,0.0
Shaw,DEF,Man United,4.4,14.0,21.554,21.253,20.94,20.398,20.228,1.326
O'Reilly,DEF,Man City,6.5,15.2,21.43,21.353,21.523,21.314,20.889,0.634
Groß,MID,Brighton,5.5,16.2,21.13,21.13,21.13,21.13,21.13,0.0
O'Brien,DEF,Everton,4.9,0.3,21.084,20.703,20.704,20.598,20.543,0.541
Maguire,DEF,Man United,4.9,12.5,21.075,20.409,20.043,19.311,19.299,1.776
Scott,MID,Bournemouth,6.0,4.2,21.056,19.593,18.601,17.584,16.841,4.214
Dunk,DEF,Brighton,4.5,1.3,20.986,21.384,21.459,21.443,21.687,0.7
Mykolenko,DEF,Everton,4.5,1.9,20.956,21.014,21.078,21.366,21.464,0.508
Muñoz,DEF,Nott'm Forest,5.4,6.0,20.887,22.057,22.531,23.106,23.403,2.516
Matheus N.,DEF,Man City,5.9,1.0,20.831,20.794,21.358,21.496,21.704,0.909
O.Dango,MID,Brentford,6.4,0.7,20.809,21.053,21.087,21.205,21.31,0.501
Bassey,DEF,Fulham,4.5,0.7,20.719,20.768,21.031,21.138,21.355,0.636
Cherki,MID,Man City,7.8,30.4,20.688,20.688,20.688,20.688,20.688,0.0
M.Sangaré,MID,Brentford,5.7,14.1,20.449,,,,,0.0
F.Kadıoğlu,DEF,Brighton,4.4,1.8,20.396,20.258,19.932,19.773,19.575,0.82
Barcola,MID,Liverpool,8.0,1.7,20.377,,,,,0.0
Dalot,DEF,Man United,4.9,2.0,20.237,21.07,21.447,21.911,22.108,1.872
Ballard,DEF,Sunderland,4.9,3.6,20.235,20.235,20.235,20.235,20.235,0.0
Hincapie,DEF,Arsenal,5.3,1.1,20.214,20.214,20.214,20.214,20.214,0.0
Rashford,MID,Man United,7.0,1.6,20.212,,,,,0.0
Vuskovic,DEF,Brighton,5.0,2.9,20.149,,,,,0.0
