season,team,opp,md,rest,opp_rest,rest_diff,resid
1516,Arsenal,Crystal Palace,2,7.0,7.0,0.0,0.18117566755537817
1516,Arsenal,Liverpool,3,8.0,7.0,1.0,0.20301588013496907
1516,Arsenal,Newcastle,4,4.0,7.0,-3.0,0.4005134596605051
1516,Arsenal,Stoke,5,14.0,14.0,0.0,2.101424548102008
1516,Arsenal,Chelsea,6,6.0,7.0,-1.0,-0.7866720343793492
1516,Arsenal,Leicester,7,7.0,7.0,0.0,2.319456546987863
1516,Arsenal,Man United,8,8.0,8.0,0.0,0.41508825367242386
1516,Arsenal,Watford,9,13.0,14.0,-1.0,0.9720977229062333
1516,Arsenal,Everton,10,7.0,7.0,0.0,0.2487942676190631
1516,Arsenal,Swansea,11,6.0,7.0,-1.0,0.2190212222347352
1516,Arsenal,Tottenham,12,8.0,5.0,3.0,0.381700805110756
1516,Arsenal,West Brom,13,12.0,14.0,-2.0,-0.45102627462342615
1516,Arsenal,Norwich,14,8.0,8.0,0.0,-0.270772172136615
1516,Arsenal,Sunderland,15,5.0,7.0,-2.0,-0.13181369208451388
1516,Arsenal,Aston Villa,16,7.0,7.0,0.0,-1.1498765932389812
1516,Arsenal,Man City,17,8.0,9.0,-1.0,-0.18776295702875112
1516,Arsenal,Southampton,18,4.0,7.0,-3.0,-0.8041323121093756
1516,Arsenal,Bournemouth,19,1.0,2.0,-1.0,0.8567243704219623
1516,Arsenal,Newcastle,20,4.0,5.0,-1.0,-0.4445363648106522
1516,Arsenal,Liverpool,21,11.0,11.0,0.0,0.8945549147257896
1516,Arsenal,Stoke,22,3.0,3.0,0.0,-1.3128151572152866
1516,Arsenal,Chelsea,23,6.0,8.0,-2.0,-0.8039998285523455
1516,Arsenal,Southampton,24,9.0,10.0,-1.0,1.3821369327441655
1516,Arsenal,Bournemouth,25,4.0,4.0,0.0,-0.7161720920367516
1516,Arsenal,Leicester,26,6.0,7.0,-1.0,0.43200654803955185
1516,Arsenal,Man United,27,14.0,15.0,-1.0,0.11104085173897693
1516,Arsenal,Swansea,28,3.0,3.0,0.0,-0.9047453155961911
1516,Arsenal,Tottenham,29,2.0,2.0,0.0,-0.7925797959156632
1516,Arsenal,Everton,30,14.0,13.0,1.0,0.03879434217925248
1516,Arsenal,Watford,31,14.0,13.0,1.0,0.9028229269980286
1516,Arsenal,West Ham,32,6.0,6.0,0.0,-0.3856168576891319
