season,component,reliability,reliability_sd,n_players,n_splits_used
2425,from_corner,0.598238027935317,0.03756301450372391,520,200
2526,from_corner,0.5571956175393936,0.039233494042454846,498,200
2425,open_play,0.895573949048798,0.009336675394496253,520,200
2526,open_play,0.8804673407892903,0.010419842954894563,498,200
2425,penalty,0.6586447409431545,0.06880262779024642,520,200
2526,penalty,0.7266891629803465,0.05973865721458164,498,200
2425,set_piece,0.4956329502621054,0.04559421663037519,520,200
2526,set_piece,0.4619108491250593,0.044705511987279185,498,200
2425,set_piece_all,0.6521240537410035,0.03087322537548477,520,200
2526,set_piece_all,0.6050168320240698,0.032885972196515255,498,200
