scope,state,k,n,h_obs,lo,hi,h_null,null_sd,excess,z,base_rate
native,lag1,1,110294,0.7984645562770563,,,0.07597304462007284,,0.4933137001060558,,0.26808348595571835
nogap,lag1,1,23492,0.8580389144905274,,,0.29753431621759024,,0.4406624538634184,,0.66507747318236
proxy,lag1,1,136179,0.7841896385283706,,,0.11142869903086061,,0.40548831027016957,,0.34230681676323077
native,start,1,6600,0.6563636363636364,0.641519916499397,0.6700810419478183,0.4667508961669843,0.003984000840315757,0.18961274019665209,47.59354924775169,0.2680966091695943
native,start,2,4240,0.7606132075471698,0.7447506163212743,0.7750687464662186,0.5740926318543662,0.006143462319968018,0.18652057569280356,30.360823584212127,0.2680966091695943
native,start,3,3147,0.8004448681283762,0.7834554756149094,0.81815464279608,0.6476195888729062,0.007876006147613126,0.15282527925547007,19.403905531712255,0.2680966091695943
native,start,4,2456,0.8127035830618893,0.7981643449804244,0.8275709000646707,0.703399577715685,0.01068973749460321,0.10930400534620432,10.225134658487846,0.2680966091695943
native,start,5,1943,0.8466289243437982,0.8272711950175572,0.8651947632520498,0.7452276141471049,0.010520973036264173,0.1014013101966933,9.63801635525332,0.2680966091695943
native,start,6,1609,0.8614045991298943,0.8450798745259815,0.8765455933586653,0.7813171869903215,0.013588153587244441,0.08008741213957282,5.893914255926059,0.2680966091695943
native,start,8,1133,0.8587819947043248,0.8368825264932562,0.8797350846074509,0.8290237036419054,0.015876893405019268,0.02975829106241945,1.8743144709286619,0.2680966091695943
native,start,10,809,0.8739184177997528,0.8503105090417659,0.8972066846522782,0.8628536361505149,0.016544883944905463,0.011064781649237854,0.6687736031321602,0.2680966091695943
native,start,15,395,0.8962025316455696,0.8663166902657301,0.924464757331504,0.9057808367759916,0.02113593127254247,-0.009578305130422016,-0.453176394591381,0.2680966091695943
native,start,20,195,0.958974358974359,0.9262987012987013,0.9803501569669162,0.9356257130093789,0.024792260333778827,0.023348645964980097,0.9417715710724511,0.2680966091695943
native,start,25,102,0.9313725490196079,0.8704941860465116,0.9727430555555555,0.9546476889534696,0.024032989059538094,-0.023275139933861766,-0.968466297562951,0.2680966091695943
native,nonstart,1,8291,0.27596188638282476,,,,,,,0.2680966091695943
native,nonstart,2,5902,0.15418502202643172,,,,,,,0.2680966091695943
native,nonstart,3,4899,0.11430904266176771,,,,,,,0.2680966091695943
native,nonstart,4,4273,0.09899368125438802,,,,,,,0.2680966091695943
native,nonstart,5,3784,0.07980972515856237,,,,,,,0.2680966091695943
native,nonstart,6,3424,0.06863317757009346,,,,,,,0.2680966091695943
native,nonstart,8,2953,0.0457162207924145,,,,,,,0.2680966091695943
native,nonstart,10,2640,0.035606060606060606,,,,,,,0.2680966091695943
native,nonstart,15,1917,0.03912363067292645,,,,,,,0.2680966091695943
native,nonstart,20,1466,0.01432469304229195,,,,,,,0.2680966091695943
native,nonstart,25,1250,0.0144,,,,,,,0.2680966091695943
nogap,start,1,2580,0.7236434108527132,0.7028202972588213,0.7474477944322546,0.6116764005507465,0.006198522688142196,0.11196701030196676,18.063499310272785,0.6641726261832913
nogap,start,2,1828,0.8216630196936543,0.8044546405860098,0.8413953153886928,0.6761479373921102,0.008381717867891283,0.14551508230154409,17.361009353343164,0.6641726261832913
nogap,start,3,1467,0.8343558282208589,0.814152522030924,0.8542630852519716,0.7259626283965384,0.009224308647481782,0.1083931998243205,11.750821006397224,0.6641726261832913
nogap,start,4,1203,0.8686616791354946,0.8480305663289824,0.8880995303382513,0.7667227426071003,0.010324159960824433,0.10193893652839436,9.873823818616431,0.6641726261832913
nogap,start,5,1018,0.8742632612966601,0.8529950921012153,0.8968717570593697,0.7993528082976473,0.012045979089457063,0.07491045299901278,6.2187101972123005,0.6641726261832913
nogap,start,6,874,0.8867276887871853,0.8627339235921465,0.9071010928961748,0.8261233312876679,0.013748608495315048,0.060604357499517425,4.408035731046445,0.6641726261832913
nogap,start,8,656,0.8826219512195121,0.8572201926865084,0.9058486140724946,0.8624573190561463,0.016542227108280443,0.020164632163365837,1.2189792844321516,0.6641726261832913
nogap,start,10,504,0.8988095238095238,0.8742006099960645,0.9234485688959218,0.8862774709346587,0.016831613895712267,0.01253205287486514,0.7445544409771419,0.6641726261832913
nogap,start,15,292,0.928082191780822,0.9,0.9536705431478789,0.9167105224648537,0.020257668493378275,0.011371669315968225,0.5613513381209362,0.6641726261832913
nogap,start,20,165,0.9818181818181818,0.9581617289946576,1.0,0.9390442268725121,0.023986728291110232,0.04277395494566971,1.783234229635321,0.6641726261832913
nogap,start,25,94,0.9574468085106383,0.9095760980592441,1.0,0.9540302527528443,0.023067745376791987,0.003416555757794093,0.14810965276352597,0.6641726261832913
nogap,nonstart,1,2496,0.4547275641025641,,,,,,,0.6641726261832913
nogap,nonstart,2,1317,0.3090356871678056,,,,,,,0.6641726261832913
nogap,nonstart,3,863,0.28389339513325607,,,,,,,0.6641726261832913
nogap,nonstart,4,600,0.24833333333333332,,,,,,,0.6641726261832913
nogap,nonstart,5,442,0.15384615384615385,,,,,,,0.6641726261832913
nogap,nonstart,6,363,0.16804407713498623,,,,,,,0.6641726261832913
nogap,nonstart,8,259,0.10810810810810811,,,,,,,0.6641726261832913
nogap,nonstart,10,208,0.09615384615384616,,,,,,,0.6641726261832913
nogap,nonstart,15,43,0.27906976744186046,,,,,,,0.6641726261832913
proxy,start,1,10992,0.6347343522561864,0.6237414528046903,0.6465863261396907,0.4900611443149264,0.0030773360651479547,0.14467320794125993,47.01248251035729,0.34134461093004514
proxy,start,2,6815,0.7460014673514307,0.7341593205204887,0.7587563521429375,0.5979536091529336,0.004717250293326498,0.14804785819849708,31.38435507819898,0.34134461093004514
proxy,start,3,4968,0.787842190016103,0.7767141812208508,0.7993170191151697,0.6670469332258705,0.006071481310401361,0.12079525679023251,19.89551653289158,0.34134461093004514
proxy,start,4,3831,0.8024014617593318,0.7886146860826607,0.814588269506548,0.7169377875571515,0.007522928906273246,0.08546367420218026,11.360425609088706,0.34134461093004514
proxy,start,5,3013,0.827414537006306,0.8099622939215214,0.8407664618183431,0.7550530169564794,0.009223123648321525,0.07236152004982654,7.845663010600026,0.34134461093004514
proxy,start,6,2445,0.8335378323108384,0.8176301105173912,0.8473407978689583,0.7839443305465633,0.00911461755631506,0.04959350176427513,5.441095192185467,0.34134461093004514
proxy,start,8,1692,0.8611111111111112,0.8441861549525436,0.8770058695287607,0.8298696724485731,0.011447249834115162,0.031241438662538035,2.729165442815104,0.34134461093004514
proxy,start,10,1221,0.8869778869778869,0.8715280502740818,0.9034634698014105,0.860261661096059,0.013329026880908293,0.026716225881827982,2.0043643186056377,0.34134461093004514
proxy,start,15,584,0.9006849315068494,0.8687268158430059,0.9229358678955454,0.9083541526808958,0.015554978903450622,-0.007669221174046448,-0.49303963841089843,0.34134461093004514
proxy,start,20,295,0.9152542372881356,0.8788153594771242,0.9423141517696152,0.9369189403917894,0.018734285489433004,-0.02166470310365376,-1.1564200361883907,0.34134461093004514
proxy,start,25,167,0.9760479041916168,0.951075943978545,0.9942701149425287,0.9559881539898466,0.017136640005881578,0.0200597502017702,1.1705766238238862,0.34134461093004514
proxy,nonstart,1,12458,0.3383368116872692,,,,,,,0.34134461093004514
proxy,nonstart,2,8065,0.20632362058276504,,,,,,,0.34134461093004514
proxy,nonstart,3,6268,0.154594767070836,,,,,,,0.34134461093004514
proxy,nonstart,4,5205,0.12353506243996158,,,,,,,0.34134461093004514
proxy,nonstart,5,4471,0.09550436144039365,,,,,,,0.34134461093004514
proxy,nonstart,6,3970,0.09168765743073048,,,,,,,0.34134461093004514
proxy,nonstart,8,3207,0.06361085126286249,,,,,,,0.34134461093004514
proxy,nonstart,10,2724,0.046255506607929514,,,,,,,0.34134461093004514
proxy,nonstart,15,1976,0.030870445344129555,,,,,,,0.34134461093004514
proxy,nonstart,20,1453,0.029593943565037854,,,,,,,0.34134461093004514
proxy,nonstart,25,1139,0.01755926251097454,,,,,,,0.34134461093004514
