section,n_joined,n_replica,n_installed,r_mean,strength_rel_err,strength_median_installed,strength_median_replica,verdict,k,n_rows,n_matches,folds,brier_base,gain_best,folds_pos_best,gain_cap,gain_wt,lever_diff,lever_sign_agree,kappa_cap_median,w_wt_median,q1,q2,kappa_rec,pinned,why,gain_kappa_1,gain_kappa_2,gain_kappa_3,gain_kappa_4,gain_kappa_5,gain_kappa_8,gain_kappa_12,gain_kappa_20,gain_kappa_40,gain_kappa_inf
fidelity,552.0,552.0,552.0,0.9619185531498269,0.0,26.575,25.699999999999996,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
primary,,,,,,,,,2.0,1190.0,42610.0,3.0,0.22528006393633113,0.06264756160139028,3.0,0.06173957234469777,0.05275994804676124,0.008979624297936532,3.0,4.0,6.0,ADOPT,CAP,,,,,,,,,,,,,
primary,,,,,,,,,3.0,1190.0,41420.0,3.0,0.22086897180886242,0.06701566116512804,3.0,0.067392563525839,0.057298686835733977,0.010093876690105023,3.0,4.0,6.0,ADOPT,CAP,,,,,,,,,,,,,
primary,,,,,,,,,5.0,1190.0,39040.0,3.0,0.21401704366252639,0.07261128681153528,3.0,0.07261128681153528,0.06621541440284337,0.006395872408691905,3.0,5.0,6.0,ADOPT,CAP,,,,,,,,,,,,,
primary,,,,,,,,,8.0,1190.0,35470.0,3.0,0.2062880505893403,0.072365577011583,3.0,0.07266854824598333,0.06374604284038268,0.008922505405600648,3.0,5.0,6.0,ADOPT,CAP,,,,,,,,,,,,,
q3,,,,,,,,,,,,,,,,,,,,,,,,4.0,True,,0.009176217284362714,0.05066900913160907,0.06481655178366769,0.06835051535602639,0.06724279057868425,0.05522536163442885,0.038366153029703066,0.01591609974412667,0.0001763500586533797,0.0
S1 target mins>=60,,,,,,,,,2.0,1190.0,42610.0,3.0,0.22853182072931572,0.06060444460248563,3.0,0.059829835258542165,0.05105009398076571,0.008779741277776452,3.0,4.0,6.0,,CAP,,,,,,,,,,,,,
S1 target mins>=60,,,,,,,,,3.0,1190.0,41420.0,3.0,0.2240305262535552,0.06557442892635847,3.0,0.06594354140407789,0.055746960445221254,0.010196580958856637,3.0,4.0,6.0,,CAP,,,,,,,,,,,,,
S1 target mins>=60,,,,,,,,,5.0,1190.0,39040.0,3.0,0.21694574713694945,0.07282477286288218,3.0,0.07282477286288218,0.0660525944575665,0.00677217840531567,3.0,5.0,6.0,,CAP,,,,,,,,,,,,,
S1 target mins>=60,,,,,,,,,8.0,1190.0,35470.0,3.0,0.20929709484825343,0.0734766386082975,3.0,0.07382527321858648,0.06432550930790078,0.0094997639106857,3.0,5.0,6.0,,CAP,,,,,,,,,,,,,
S2 no ownership shrink,,,,,,,,,2.0,1190.0,42610.0,3.0,0.27022246642812425,0.16872431816797864,3.0,0.16683256450363546,0.15585866097891504,0.010973903524720411,3.0,2.0,8.0,,CAP,,,,,,,,,,,,,
S2 no ownership shrink,,,,,,,,,3.0,1190.0,41420.0,3.0,0.2630520300858029,0.1725221104098903,3.0,0.17197306520119093,0.16552092545526448,0.0064521397459264725,3.0,2.0,8.0,,CAP,,,,,,,,,,,,,
S2 no ownership shrink,,,,,,,,,5.0,1190.0,39040.0,3.0,0.25068548288089276,0.17777559586403383,3.0,0.17679798369808053,0.17616739792467748,0.0006305857734030487,2.0,2.0,8.0,,tie,,,,,,,,,,,,,
S2 no ownership shrink,,,,,,,,,8.0,1190.0,35470.0,3.0,0.23652747338696664,0.16997164665243703,3.0,0.16984469579634612,0.16853957388923002,0.0013051219071161045,2.0,3.0,8.0,,tie,,,,,,,,,,,,,
"S3 original stand-in prior, same rows",,,,,,,,,2.0,1139.0,40777.0,3.0,0.22829114794838698,0.08020520387323071,3.0,0.08016022105197557,0.07799240412880827,0.002167816923167294,2.0,3.0,8.0,,tie,,,,,,,,,,,,,
"S3 original stand-in prior, same rows",,,,,,,,,3.0,1139.0,39638.0,3.0,0.22576064217830927,0.08737174571421502,3.0,0.0854848719240106,0.09039621209282163,-0.004911340168811022,2.0,4.0,8.0,,tie,,,,,,,,,,,,,
"S3 original stand-in prior, same rows",,,,,,,,,5.0,1139.0,37360.0,3.0,0.22061844314569037,0.10107198723825345,3.0,0.09845442929615036,0.10630492093280786,-0.00785049163665749,3.0,5.0,8.0,,WEIGHT,,,,,,,,,,,,,
"S3 original stand-in prior, same rows",,,,,,,,,8.0,1139.0,33943.0,3.0,0.21323226337650772,0.10750424350183026,3.0,0.10723558260067699,0.10783259600934623,-0.0005970134086692399,2.0,5.0,8.0,,tie,,,,,,,,,,,,,
S4 next 10 matches,,,,,,,,,2.0,1190.0,11900.0,3.0,0.20511496654002445,0.13275724802042244,3.0,0.13456341104405048,0.12117570506675085,0.013387705977299639,2.0,2.0,8.0,,tie,,,,,,,,,,,,,
S4 next 10 matches,,,,,,,,,3.0,1190.0,11900.0,3.0,0.20084591699558507,0.1314503828110301,3.0,0.13186175506071418,0.12370098252193373,0.008160772538780446,2.0,3.0,8.0,,tie,,,,,,,,,,,,,
S4 next 10 matches,,,,,,,,,5.0,1190.0,11897.0,3.0,0.1950998850560049,0.14145058583688533,3.0,0.14249815598660012,0.13527840125184712,0.007219754734753018,3.0,3.0,8.0,,CAP,,,,,,,,,,,,,
S4 next 10 matches,,,,,,,,,8.0,1190.0,11887.0,3.0,0.19160409202268458,0.1158313691736506,3.0,0.11526802711177121,0.11035548700888183,0.004912540102889381,3.0,3.0,8.0,,tie,,,,,,,,,,,,,
S5 per-match denominator,,,,,,,,,2.0,1190.0,42610.0,3.0,0.21086087420114796,0.041381285221018575,3.0,0.04164941627173844,0.03685747180312806,0.0047919444686103825,2.0,5.0,8.0,,tie,,,,,,,,,,,,,
S5 per-match denominator,,,,,,,,,3.0,1190.0,41420.0,3.0,0.2078999724199366,0.045870585570834746,3.0,0.044339691700113745,0.03989389367567145,0.004445798024442296,3.0,5.0,6.0,,tie,,,,,,,,,,,,,
S5 per-match denominator,,,,,,,,,5.0,1190.0,39040.0,3.0,0.20334712308206981,0.05406528393225866,3.0,0.050781372365183874,0.047964557304708236,0.0028168150604756374,2.0,8.0,6.0,,tie,,,,,,,,,,,,,
S5 per-match denominator,,,,,,,,,8.0,1190.0,35470.0,3.0,0.19785428721881482,0.05546458913333124,3.0,0.057449460886139024,0.050831939222669154,0.006617521663469873,3.0,8.0,6.0,,CAP,,,,,,,,,,,,,
