scope,k,n_players,n_matches,folds,w_fitted,kappa_fitted,w_loso_median,kappa_loso_median,brier_base,brier_new,gain,n_positive,verdict
ALL,2,1560,55075,3,4.0,12.0,4.0,12.0,0.18608093142839113,0.1706879628355929,0.08272190210269802,3,ADOPT
ALL,3,1559,53511,3,6.0,20.0,3.0,12.0,0.18390341608931945,0.1666244058075062,0.09395698377577208,3,ADOPT
ALL,5,1558,50389,3,0.5,2.0,1.5,5.0,0.1795133723747115,0.15946439417194536,0.11168515157141844,3,ADOPT
ALL,8,1555,45707,3,3.0,12.0,3.0,12.0,0.17358935261239003,0.15355998783612917,0.11538360201725442,3,ADOPT
GK,2,163,5742,3,3.0,5.0,1.5,2.0,0.14278972630794115,0.11764446337927367,0.17609994485484942,3,hpos
GK,3,163,5579,3,0.5,1.0,0.5,1.0,0.1392907771297258,0.10948414448941504,0.2139885587152042,3,hpos
GK,5,163,5253,3,2.0,5.0,2.0,5.0,0.13406650938377834,0.1039760096441867,0.22444456768434748,3,hpos
GK,8,162,4761,3,1.5,5.0,1.5,5.0,0.12777649869363356,0.10055562726565148,0.21303503935609366,3,hpos
DEF,2,521,18319,3,3.0,12.0,1.5,5.0,0.20030728867734218,0.18871173654263407,0.057888817782294454,3,hpos
DEF,3,521,17798,3,3.0,12.0,4.0,20.0,0.1985998225467706,0.185392681620782,0.0665012725420653,3,hpos
DEF,5,520,16752,3,1.0,5.0,3.0,12.0,0.19584871444280058,0.18088262972653227,0.07641655835652317,3,hpos
DEF,8,519,15189,3,4.0,20.0,3.0,20.0,0.19038800542903114,0.17377370240354528,0.08726549231946754,3,hpos
MID,2,711,25166,3,1.0,3.0,1.0,3.0,0.19001827983274122,0.174257903203725,0.08294137091909733,3,hpos
MID,3,710,24451,3,1.5,5.0,1.5,5.0,0.1878893536734985,0.16981142046598333,0.09621584647595191,3,hpos
MID,5,710,23031,3,6.0,20.0,6.0,20.0,0.1824020827954557,0.15987245463471542,0.12351628783759466,3,hpos
MID,8,709,20899,3,8.0,40.0,8.0,40.0,0.1758111374356387,0.1541241155290377,0.12335408451890723,3,hpos
FWD,2,165,5848,3,8.0,20.0,6.0,12.0,0.16707924733369503,0.15149624018351993,0.09326716153474354,3,hpos
FWD,3,165,5683,3,6.0,20.0,4.0,12.0,0.1645240584885972,0.14989100747892953,0.08894170946239968,3,hpos
FWD,5,165,5353,3,3.0,12.0,4.0,20.0,0.16056191174825582,0.14375787004483392,0.1046577081728378,3,hpos
FWD,8,165,4858,3,4.0,20.0,4.0,20.0,0.1564068040027077,0.14163080801009403,0.09447156782487462,3,hpos
