month,n,coef,se,t
Aug,566,0.05993358215486089,0.03968617376836435,1.5101879688547013
Sep,589,0.007978718533177331,0.041775720180959826,0.19098937130505297
Oct,668,0.05475924504790097,0.0388299488220487,1.4102322230413855
Nov,618,0.009814982855067877,0.03922915593143228,0.25019612637659744
Dec,1056,0.008705345382025054,0.029618688061739756,0.293913942571625
Jan,726,-0.00602632570916567,0.033325907144366895,-0.1808300576203311
Feb,732,0.017807479396419912,0.03915916607931293,0.4547461342857165
Mar,544,0.039974917122635234,0.039870002946403214,1.0026314062823887
Apr,821,0.01727353646533658,0.03586592099031431,0.48161418941399403
May,631,-0.0064555134935101455,0.0411334842746288,-0.15694059492771725
